DateTime,AddedIPs,RemovedIPs
1576163512,5,5
1576167120,2,5
1576170698,4,7
1576174327,6,10
1576177895,8,4
1576181495,4,2
1576185109,2,4
1576188727,3,3
1576192341,4,1
1576195916,6,5
1576199564,27,3
1576203100,4,4
1576206735,4,5
1576210321,7,22
1576213935,7,5
1576217508,7,10
1576221117,9,6
1576224701,4,4
1576228323,5,4
1576231901,7,6
1576235510,5,6
1576239150,4,6
1576242713,6,6
1576246311,4,15
1576249967,6,9
1576253498,13,4
1576257135,5,5
1576260721,4,7
1576264323,5,2
1576267944,2,7
1576271513,8,4
1576275088,11,3
1576278716,4,6
1576282353,26,5
1576285891,6,3
1576289510,3,10
1576293104,3,20
1576296720,5,27
1576300295,4,2
1576303892,3,7
1576307517,4,3
1576311117,7,3
1576314698,1,5
1576318353,5,5
1576321910,1,10
1576325528,10,2
1576329077,8,1
1576332746,3,4
1576336375,6,1
1576339898,2,5
1576343538,5,11
1576347110,4,8
1576350693,9,5
1576354284,4,5
1576357895,8,9
1576361534,10,7
1576365097,8,8
1576368729,7,3
1576372317,17,5
1576375933,6,6
1576379501,6,17
1576383136,3,20
1576386787,3,5
1576390351,2,4
1576393958,6,6
1576397515,7,2
1576401155,1,2
1576404729,4,1
1576408350,4,3
1576411927,1,10
1576415550,7,3
1576419136,5,6
1576422756,3,7
1576426336,10,5
1576429969,3,7
1576433562,7,5
1576437171,5,3
1576440755,4,1
1576444342,3,6
1576447930,2,5
1576451541,4,6
1576455177,16,8
1576462381,29,3
1576465886,5,1
1576469505,6,14
1576473087,8,17
1576476701,4,7
1576480290,4,6
1576483920,5,4
1576487519,8,6
1576491089,6,7
1576494685,8,5
1576498393,5,5
1576501899,2,5
1576505516,5,3
1576509085,6,8
1576512732,9,5
1576516294,5,5
1576519895,2,4
1576523505,5,2
1576527093,4,5
1576530687,6,3
1576534336,1,4
1576537931,3,4
1576541511,8,2
1576545156,26,8
1576548708,10,3
1576552361,6,11
1576555948,5,18
1576559548,7,7
1576563179,7,2
1576566741,3,4
1576570358,9,6
1576573923,3,8
1576577574,7,8
1576581134,5,6
1576584757,7,6
1576588370,8,5
1576591983,2,4
1576595550,6,3
1576599163,4,9
1576602724,6,7
1576606352,5,4
1576609962,5,10
1576613558,4,3
1576617395,10,3
1576620748,4,2
1576624372,1,4
1576628040,32,2
1576631573,5,15
1576635199,15,7
1576638721,8,26
1576642332,6,13
1576645945,7,5
