DateTime,Entries,UniqueIPs
1576163260,143,143
1576166859,142,142
1576170444,141,141
1576174061,139,139
1576177651,139,139
1576181242,139,139
1576184855,138,138
1576188449,140,140
1576192071,141,141
1576195660,141,141
1576199276,140,140
1576202849,139,139
1576206462,142,142
1576210063,142,142
1576213653,143,143
1576217249,143,143
1576220848,143,143
1576224442,143,143
1576228056,143,143
1576231659,143,143
1576235226,142,142
1576238869,141,141
1576242441,141,141
1576246047,141,141
1576249667,139,139
1576253252,140,140
1576256864,139,139
1576260461,139,139
1576264049,140,140
1576267667,140,140
1576271259,140,140
1576274843,142,142
1576278457,141,141
1576282079,142,142
1576285641,143,143
1576289241,143,143
1576292855,142,142
1576296461,139,139
1576300045,140,140
1576303644,140,140
1576307241,139,139
1576310849,140,140
1576314446,140,140
1576318066,139,139
1576321652,138,138
1576325253,138,138
1576328831,140,140
1576332464,138,138
1576336102,141,141
1576339662,140,140
1576343253,140,140
1576346841,139,139
1576350441,140,140
1576354029,142,142
1576357626,142,142
1576361261,141,141
1576364846,140,140
1576368469,141,141
1576372046,141,141
1576375646,142,142
1576379239,143,143
1576382853,141,141
1576386468,142,142
1576390051,139,139
1576393657,139,139
1576397244,138,138
1576400852,138,138
1576404451,141,141
1576408064,142,142
1576411655,141,141
1576415248,141,141
1576418854,142,142
1576422457,142,142
1576426048,141,141
1576429665,141,141
1576433264,141,141
1576436868,140,140
1576440474,141,141
1576444075,141,141
1576447665,141,141
1576451251,141,141
1576454881,141,141
1576462074,140,140
1576465637,141,141
1576469236,142,142
1576472833,142,142
1576476432,142,142
1576480039,143,143
1576483645,142,142
1576487234,143,143
1576490839,142,142
1576494432,140,140
1576498100,142,142
1576501636,141,141
1576505251,143,143
1576508827,144,144
1576512441,143,143
1576516056,141,141
1576519630,139,139
1576523248,141,141
1576526839,142,142
1576530433,142,142
1576534037,142,142
1576537661,140,140
1576541267,141,141
1576544873,141,141
1576548439,141,141
1576552045,142,142
1576555668,141,141
1576559272,140,140
1576562880,140,140
1576566453,141,141
1576570062,141,141
1576573661,142,142
1576577258,143,143
1576580850,142,142
1576584472,141,141
1576588060,141,141
1576591673,143,143
1576595254,143,143
1576598870,143,143
1576602466,143,143
1576606063,142,142
1576609670,141,141
1576613266,141,141
1576617091,141,141
1576620477,141,141
1576624078,140,140
1576627777,140,140
1576631284,140,140
1576634937,141,141
1576638470,141,141
1576642080,143,143
1576645665,144,144
1576649279,143,143
1576652865,143,143
1576656476,143,143
1576660088,142,142
1576663688,141,141
1576667277,141,141
1576670889,142,142
1576674481,143,143
1576678082,144,144
1576681672,144,144
1576685287,144,144
1576688888,143,143
1576692486,142,142
1576696073,142,142
1576699671,142,142
1576703282,143,143
1576706875,141,141
1576710487,142,142
1576714079,142,142
1576717680,142,142
1576721287,143,143
1576724894,144,144
1576728476,143,143
1576732070,144,144
