DateTime,Entries,UniqueIPs
1576962057,61250,61250
1576963952,61218,61218
1576965868,60965,60965
1576967778,60654,60654
1576969990,60469,60469
1576971862,60403,60403
1576973790,60328,60328
1576975947,60265,60265
1576977850,60229,60229
1576979782,60161,60161
1576981687,59793,59793
1576983636,57322,57322
1576985556,55590,55590
1576987478,54157,54157
1576989616,53800,53800
1576991788,53751,53751
1576993691,53702,53702
1576995630,52591,52591
1576997540,50765,50765
1576999451,48985,48985
1577001390,46798,46798
1577003289,44956,44956
1577006173,42431,42431
1577008329,40001,40001
1577010249,37966,37966
1577012190,35346,35346
1577014088,31793,31793
1577016990,28869,28869
1577019137,26569,26569
1577021054,24884,24884
1577022993,22672,22672
1577025151,21029,21029
1577027312,21071,21071
1577029236,21138,21138
1577031150,21674,21674
1577033054,22361,22361
1577035006,22974,22974
1577036897,23701,23701
1577038812,23715,23715
1577040751,23648,23648
1577042653,27157,27157
1577044591,30562,30562
1577046492,31862,31862
1577048437,33662,33662
1577050362,34886,34886
1577052267,36499,36499
1577054173,38434,38434
1577056138,40096,40096
1577058014,41965,41965
1577060185,44452,44452
1577062336,47754,47754
1577064255,50368,50368
1577066189,53341,53341
1577068092,55577,55577
1577070987,59110,59110
1577073140,61992,61992
1577075048,64686,64686
1577077002,67493,67493
1577078886,68328,68328
1577080834,69222,69222
1577082758,72736,72736
1577084680,73755,73755
1577086814,74679,74679
1577088981,75703,75703
1577091135,76756,76756
1577093051,77490,77490
1577094993,78246,78246
1577096890,79029,79029
1577099785,80576,80576
1577101688,81482,81482
1577103631,82217,82217
1577105535,82258,82258
1577107454,82240,82240
1577109394,82227,82227
1577111291,82229,82229
1577114188,82251,82251
1577116333,82117,82117
1577118249,81753,81753
1577120198,81352,81352
1577122100,81003,81003
1577124986,80711,80711
1577127158,80433,80433
1577129072,79129,79129
1577130993,79011,79011
1577132904,78993,78993
1577136025,79487,79487
1577137930,79606,79606
1577139856,79717,79717
1577142992,79864,79864
1577144888,80182,80182
1577146808,79788,79788
1577148751,78863,78863
1577150648,77896,77896
1577152860,77444,77444
1577154764,76759,76759
1577157616,75518,75518
1577159532,74659,74659
1577161478,73693,73693
1577163368,72720,72720
1577165551,71781,71781
1577167720,70033,70033
1577169611,66709,66709
1577171561,65981,65981
1577173450,65309,65309
1577175377,63241,63241
1577177312,60568,60568
1577179208,58299,58299
1577181129,56016,56016
1577183091,53597,53597
1577184968,50423,50423
1577187145,47396,47396
1577189303,44829,44829
1577191216,42874,42874
1577193151,41553,41553
1577195050,40248,40248
1577196987,38820,38820
1577198907,37240,37240
1577200807,35823,35823
1577202733,33554,33554
1577204656,31696,31696
1577206578,31785,31785
1577208486,31817,31817
1577210431,31831,31831
1577212346,31882,31882
1577214508,31869,31869
1577216409,29373,29373
1577218376,29412,29412
1577220274,29135,29135
1577222188,28437,28437
1577224090,28405,28405
1577226058,28365,28365
1577227930,28333,28333
1577229883,27908,27908
1577231775,27877,27877
1577233945,27816,27816
1577235868,27786,27786
1577237797,27012,27012
1577239706,27528,27528
1577241609,32105,32105
1577243551,32078,32078
1577245452,32034,32034
1577247618,32022,32022
1577249531,32016,32016
1577251449,32047,32047
1577253639,32030,32030
1577255566,32032,32032
1577257482,31756,31756
1577259615,31442,31442
1577261536,29844,29844
1577263472,27821,27821
1577265387,27688,27688
1577267301,27666,27666
1577269228,27617,27617
1577271132,27615,27615
1577273052,27599,27599
1577274993,27450,27450
1577276890,27518,27518
1577278847,27089,27089
1577280773,26544,26544
1577282665,26509,26509
1577284834,26575,26575
1577286994,26626,26626
1577289138,26592,26592
1577291076,26631,26631
1577292971,26580,26580
1577295142,26548,26548
1577297066,29637,29637
1577298996,29639,29639
1577300900,29660,29660
1577302820,29827,29827
1577304770,29797,29797
1577306664,29743,29743
1577308927,29783,29783
1577310753,29858,29858
1577312670,30138,30138
1577314592,30213,30213
1577316497,30175,30175
1577318436,30176,30176
1577320360,30206,30206
1577322266,30220,30220
1577324178,30196,30196
1577326358,28765,28765
1577328257,25038,25038
1577330419,25057,25057
1577332335,25070,25070
1577334270,25041,25041
1577336170,24918,24918
1577338091,24771,24771
1577341221,24810,24810
1577343152,24511,24511
1577345061,24650,24650
1577346967,24750,24750
1577348894,24915,24915
1577351781,25086,25086
1577353950,25157,25157
1577355848,25301,25301
1577357775,25438,25438
1577359686,25549,25549
1577361633,25563,25563
1577363537,25573,25573
1577365503,25601,25601
1577367388,25592,25592
1577369313,25509,25509
1577371210,25466,25466
1577373157,25395,25395
1577375063,25471,25471
1577377225,25548,25548
1577379128,25519,25519
1577381068,25523,25523
1577382968,23052,23052
1577384911,22407,22407
1577386854,22405,22405
1577388738,22390,22390
1577390674,22407,22407
1577392590,22382,22382
1577394750,22366,22366
1577396660,22269,22269
1577398578,22073,22073
1577400487,21956,21956
1577402434,21937,21937
1577404330,21966,21966
1577406269,21890,21890
1577408169,21883,21883
1577410106,21897,21897
1577412028,21912,21912
1577413936,22408,22408
1577416127,26280,26280
1577418015,26403,26403
1577419934,26436,26436
1577421879,26507,26507
1577423783,26557,26557
1577425932,26590,26590
1577427851,25893,25893
1577429791,25605,25605
1577431686,25491,25491
1577434577,26093,26093
1577436751,26226,26226
1577438649,26416,26416
1577440585,27631,27631
1577442489,27758,27758
1577445385,27905,27905
1577447533,27399,27399
1577449478,26980,26980
1577451371,26901,26901
1577453292,26947,26947
1577456207,27045,27045
1577458088,27100,27100
1577460284,27033,27033
1577462196,27080,27080
1577464086,27144,27144
1577466993,27274,27274
1577468899,27340,27340
1577470808,27393,27393
1577472741,27441,27441
1577474684,27520,27520
1577476573,27582,27582
1577478492,27585,27585
1577480450,27565,27565
1577482358,27571,27571
1577484511,27622,27622
1577486410,27607,27607
1577488341,27629,27629
1577490274,27587,27587
1577492185,27592,27592
1577494091,27549,27549
1577496023,27417,27417
1577497929,27157,27157
1577499855,27299,27299
1577501790,23095,23095
1577503699,21894,21894
1577505652,21859,21859
1577507569,21843,21843
1577509487,21801,21801
1577511389,21791,21791
1577513306,21811,21811
1577515213,22587,22587
1577517139,22749,22749
1577519053,22006,22006
1577520991,22048,22048
1577522893,21686,21686
1577524806,21144,21144
1577526747,19513,19513
1577528649,18974,18974
1577530581,17882,17882
1577532495,17881,17881
1577534460,17928,17928
1577536331,17943,17943
1577538539,17919,17919
1577540426,17933,17933
1577542584,17898,17898
1577544489,17904,17904
1577546418,17900,17900
1577548342,17890,17890
1577550265,17865,17865
1577552171,17804,17804
1577554100,17827,17827
1577556046,17764,17764
1577557958,17779,17779
1577559867,17799,17799
1577562031,17868,17868
1577563935,17907,17907
1577565876,18002,18002
1577567783,18016,18016
1577569942,18109,18109
1577571873,18115,18115
1577573772,18185,18185
1577575715,18141,18141
1577578585,18171,18171
1577580492,18226,18226
1577582411,18279,18279
1577584340,18343,18343
1577586253,18203,18203
1577588193,18239,18239
1577590106,18596,18596
1577592989,19985,19985
1577594907,21012,21012
1577596813,21614,21614
1577598728,21595,21595
1577600678,21610,21610
1577602569,20776,20776
1577604747,20707,20707
1577606911,20701,20701
1577608834,20711,20711
1577610741,20720,20720
1577612649,22315,22315
1577614585,23273,23273
1577616735,23257,23257
1577618648,23233,23233
1577620587,23353,23353
1577622494,24118,24118
1577625620,25694,25694
1577627533,28534,28534
1577629486,29466,29466
1577632702,31189,31189
1577634507,32165,32165
1577636467,33069,33069
1577638330,34636,34636
1577640281,36134,36134
1577642170,37908,37908
1577644349,39696,39696
1577646503,41606,41606
1577648410,43517,43517
1577650354,45011,45011
1577652248,46776,46776
1577654197,47749,47749
1577656086,49368,49368
1577658025,50869,50869
1577659948,51765,51765
1577661873,52542,52542
1577663782,54016,54016
1577665699,56156,56156
1577668575,60480,60480
1577670508,61861,61861
1577672436,62559,62559
1577674329,63737,63737
1577676252,64464,64464
1577678178,66667,66667
1577680091,66870,66870
1577682986,67227,67227
1577684890,68194,68194
1577686843,69250,69250
1577688730,70861,70861
1577690668,71559,71559
1577692570,72491,72491
1577694502,73209,73209
1577697376,74478,74478
1577699288,75436,75436
1577701236,76242,76242
1577703159,77180,77180
1577705051,77806,77806
1577706989,78620,78620
1577708887,78846,78846
1577711768,78963,78963
1577713935,76691,76691
1577715873,75729,75729
1577718047,74711,74711
1577719967,73531,73531
1577721890,72961,72961
1577724029,72220,72220
1577726184,70918,70918
1577728092,69558,69558
1577730035,68276,68276
1577731939,66432,66432
1577733877,64528,64528
1577735791,62787,62787
1577737950,61080,61080
1577739890,59803,59803
1577741774,58465,58465
1577743730,56931,56931
1577745615,55476,55476
1577747541,54893,54893
1577749483,53878,53878
1577751382,51796,51796
1577753290,50868,50868
1577755230,48287,48287
1577757139,47897,47897
1577759061,48051,48051
1577761020,47909,47909
1577762891,47756,47756
1577764867,45800,45800
1577766739,45076,45076
1577768904,44214,44214
1577770813,43389,43389
1577772775,42639,42639
1577774654,42250,42250
1577776609,43311,43311
1577778507,44225,44225
1577780411,43709,43709
1577782341,41428,41428
1577784268,40055,40055
1577786180,39252,39252
