DateTime,AddedIPs,RemovedIPs
1576969243,6,0
1576971144,4,3
1576973087,1,3
1576974978,2,1
1576976905,1,0
1576978822,0,4
1576980982,5,2
1576982901,9,13
1576984826,4,20
1576986731,3,10
1576988647,2,11
1576990585,3,0
1576992487,1,1
1576994425,5,11
1576996359,5,506
1576998293,2,740
1577000170,2,909
1577002113,2,611
1577004018,6,626
1577005948,6,617
1577007872,3,762
1577009777,7,746
1577011692,6,949
1577013644,7,922
1577015544,2,785
1577017447,0,581
1577019388,2,817
1577021287,0,646
1577023494,7,902
1577025386,4,494
1577027312,2,8
1577029236,7,1
1577031150,2,5
1577033054,22,5
1577035007,14,1
1577036897,64,6
1577038812,3,2
1577040752,70,41
1577042654,222,5
1577044591,155,2
1577046493,2,2
1577049384,49,2
1577051565,21,3
1577053459,3,2
1577055386,3,5
1577057285,6,3
1577060185,275,5
1577062337,291,2
1577064255,367,5
1577066190,474,3
1577068094,130,11
1577070987,236,8
1577073140,279,4
1577075048,259,2
1577077002,428,5
1577078886,222,1
1577081785,238,11
1577083944,283,8
1577085868,220,5
1577087790,305,2
1577089693,188,4
1577092573,288,13
1577094748,181,2
1577096648,258,7
1577098589,261,4
1577100487,239,2
1577103396,344,5
1577105536,12,2
1577107455,2,0
1577109394,3,4
1577111292,3,1
1577113243,4,1
1577115167,2,5
1577117325,1,2
1577119226,4,10
1577121136,4,6
1577123062,4,54
1577125008,6,1
1577127159,6,7
1577129074,1,26
1577130993,1,2
1577132906,2,0
1577134864,5,3
1577136739,10,3
1577138937,3,4
1577140840,4,1
1577142760,4,2
1577144653,18,0
1577146595,6,178
1577148490,3,259
1577150411,5,347
1577152371,16,432
1577154251,3,149
1577156197,7,178
1577158342,5,155
1577160500,3,213
1577162416,2,169
1577164355,5,314
1577166274,7,282
1577168181,2,313
1577170090,12,267
1577172029,20,209
1577173937,10,335
1577175872,5,205
1577177770,8,243
1577179950,3,198
1577181878,3,146
1577183793,3,267
1577185707,1,270
1577187626,7,384
1577189558,2,228
1577191454,4,39
1577193375,20,36
1577195313,26,4
1577197212,2,4
1577199133,2,52
1577201073,5,15
1577202977,4,170
1577204891,2,135
1577206839,6,2
1577208750,3,4
1577210946,3,6
1577212813,6,7
1577214749,4,6
1577216669,2,90
1577218828,4,1
1577220754,2,8
1577222655,2,12
1577224582,4,4
1577226504,5,1
1577228467,2,3
1577230338,0,37
1577232277,1,5
1577234189,4,5
1577236366,3,10
1577238255,3,26
1577240174,26,2
1577242112,24,12
1577244011,4,3
1577245933,6,4
1577247868,2,3
1577249786,4,2
1577251709,3,5
1577253652,2,5
1577255567,4,7
1577257489,1,13
1577259615,5,2
1577261536,0,10
1577263472,3,26
1577265388,3,8
1577267301,0,1
1577269228,5,4
1577271132,1,1
1577273053,2,6
1577274993,3,9
1577276891,2,5
1577279781,2,30
1577281948,0,30
1577283848,1,1
1577285784,4,4
1577287685,1,2
1577289661,5,5
1577291552,3,4
1577293699,1,4
1577295613,8,4
1577297557,141,2
1577299450,2,6
1577301613,9,3
1577303528,4,1
1577305467,5,6
1577307369,2,1
1577309332,1,3
1577311230,5,3
1577313197,7,1
1577315083,3,1
1577316967,7,0
1577318918,3,3
1577320821,3,5
1577322737,5,3
1577324667,0,6
1577326573,2,22
1577328510,4,33
1577330419,4,3
1577332336,6,4
1577334270,1,3
1577336171,2,8
1577338091,1,5
1577340059,3,4
1577341963,3,4
1577344118,2,5
1577346031,5,3
1577348200,4,1
1577350336,3,5
1577352253,2,2
1577354179,2,2
1577356101,2,4
1577358041,5,3
1577359966,3,4
1577361871,1,2
1577363792,2,3
1577365693,7,1
1577367617,4,3
1577369556,4,0
1577371454,3,1
1577373615,3,3
1577375531,2,2
1577377471,5,0
1577379372,2,4
1577381544,1,1
1577383513,2,151
1577385373,3,5
1577387334,2,3
1577389215,0,4
1577391164,5,4
1577393056,8,0
1577395231,3,1
1577397141,4,2
1577399060,3,4
1577400980,5,6
1577402894,3,4
1577406014,8,7
1577407929,3,1
1577409848,4,4
1577411767,8,3
1577413707,5,7
1577416585,50,24
1577418750,4,9
1577420651,4,3
1577422589,0,2
1577424489,1,1
1577427375,1,11
1577429529,4,2
1577431456,4,5
1577433386,22,3
1577435286,1,9
1577437235,7,1
1577439155,18,9
1577441324,43,18
1577443215,20,24
1577445386,43,27
1577447534,6,24
1577449478,4,15
1577451372,3,6
1577453293,2,3
1577456207,1,6
1577458089,3,5
1577460284,2,2
1577462197,3,1
1577464087,9,7
1577466037,3,2
1577467952,1,3
1577470100,1,3
1577472020,3,2
1577474212,3,3
