DateTime,Entries,UniqueIPs
1576969994,19512,19512
1576971866,19513,19513
1576973796,19516,19516
1576975952,19445,19445
1576977853,19375,19375
1576979789,19332,19332
1576981691,18188,18188
1576983810,11867,11867
1576985779,7754,7754
1576987711,5196,5196
1576989620,4959,4959
1576991791,4962,4962
1576993693,5015,5015
1576995633,4931,4931
1576997543,5006,5006
1576999454,4992,4992
1577001394,4962,4962
1577003292,4947,4947
1577005351,4937,4937
1577007166,4923,4923
1577009084,4926,4926
1577011220,4965,4965
1577013144,3870,3870
1577015085,2024,2024
1577016992,2031,2031
1577019140,2017,2017
1577021056,2011,2011
1577022995,1937,1937
1577025153,1946,1946
1577027315,2064,2064
1577029276,2289,2289
1577031153,3496,3496
1577033058,4766,4766
1577035012,5730,5730
1577036900,6812,6812
1577038816,6810,6810
1577040755,7459,7459
1577042658,9811,9811
1577044598,9849,9849
1577046497,9835,9835
1577048493,9820,9820
1577050364,9969,9969
1577052271,9969,9969
1577054175,9958,9958
1577056140,9928,9928
1577058017,9923,9923
1577060188,9914,9914
1577062340,9911,9911
1577064258,9912,9912
1577066193,9906,9906
1577068097,9902,9902
1577070123,9891,9891
1577071995,9883,9883
1577073899,9878,9878
1577075777,9871,9871
1577077720,9863,9863
1577079731,9857,9857
1577081796,9901,9901
1577083948,14252,14252
1577085873,14245,14245
1577087794,14252,14252
1577089697,14617,14617
1577092577,14618,14618
1577094754,14610,14610
1577096652,14672,14672
1577098592,14963,14963
1577100521,14964,14964
1577103634,14959,14959
1577105538,14954,14954
1577107458,14946,14946
1577109397,14943,14943
1577111294,14943,14943
1577114191,14938,14938
1577116354,14445,14445
1577118254,13733,13733
1577120222,12954,12954
1577123064,12032,12032
1577125012,11989,11989
1577127163,11549,11549
1577129095,9497,9497
1577130998,9458,9458
1577132926,9457,9457
1577134993,10180,10180
1577136990,10245,10245
1577138941,10243,10243
1577140844,10249,10249
1577142769,10258,10258
1577144656,10813,10813
1577146598,10839,10839
1577148493,10853,10853
1577150414,10857,10857
1577152396,11707,11707
1577154254,11706,11706
1577156200,11717,11717
1577158345,11713,11713
1577160504,11716,11716
1577162421,11726,11726
1577164359,11729,11729
1577166413,11433,11433
1577168229,11133,11133
1577170094,11972,11972
1577172033,13562,13562
1577173941,14945,14945
1577175876,14724,14724
1577177774,14661,14661
1577179954,14658,14658
1577181932,14671,14671
1577183796,14442,14442
1577185710,14182,14182
1577187630,14167,14167
1577189562,14168,14168
1577191458,14161,14161
1577193407,14148,14148
1577195317,14138,14138
1577197215,14127,14127
1577199180,14065,14065
1577201076,14048,14048
1577202981,14048,14048
1577204894,14054,14054
1577206937,14057,14057
1577208752,14058,14058
1577210949,14058,14058
1577212815,14056,14056
1577214751,14037,14037
1577216672,9796,9796
1577218832,9795,9795
1577220756,8949,8949
1577222657,8231,8231
1577224584,8191,8191
1577226506,8194,8194
1577229380,8149,8149
1577231307,7505,7505
1577233217,7484,7484
1577235132,7470,7470
1577237070,7450,7450
1577238989,6575,6575
1577241149,6550,6550
1577243318,6534,6534
1577245215,6516,6516
1577247153,6496,6496
1577249050,6478,6478
1577251007,6454,6454
1577252896,6449,6449
1577254828,6505,6505
1577256731,5970,5970
1577258656,5967,5967
1577260588,4600,4600
1577262489,2929,2929
1577264605,1829,1829
1577266828,1810,1810
1577268982,1779,1779
1577271134,1751,1751
1577273054,1744,1744
1577274994,1736,1736
1577276892,1719,1719
1577278890,1707,1707
1577280774,1703,1703
1577282675,1699,1699
1577284840,1798,1798
1577286997,1782,1782
1577289141,1762,1762
1577291079,1744,1744
1577292973,1728,1728
1577295145,1721,1721
1577297088,1710,1710
1577298999,1685,1685
1577300903,1680,1680
1577302823,1671,1671
1577304773,1663,1663
1577306667,1651,1651
1577308930,1641,1641
1577310756,1631,1631
1577312694,1618,1618
1577314595,1609,1609
1577316500,1605,1605
1577319626,1591,1591
1577321528,1581,1581
1577323456,1570,1570
1577325396,1570,1570
1577327287,1582,1582
1577330422,1571,1571
1577332339,1575,1575
1577334274,1571,1571
1577336174,1569,1569
1577338094,1579,1579
1577340252,1579,1579
1577342191,1941,1941
1577344122,1635,1635
1577346034,1786,1786
1577348204,1847,1847
1577350340,1867,1867
1577352257,1883,1883
1577354183,1891,1891
1577356104,1899,1899
1577359226,1920,1920
1577361132,1937,1937
1577363067,1956,1956
1577364994,1975,1975
1577367138,1983,1983
1577369314,1888,1888
1577371211,1900,1900
1577373161,1906,1906
1577375067,1924,1924
1577377227,1937,1937
1577379129,1959,1959
1577381070,1969,1969
1577382970,1985,1985
1577384912,2010,2010
1577386921,2042,2042
1577388740,2058,2058
1577390678,2069,2069
1577392592,2086,2086
1577394753,2096,2096
1577396662,2115,2115
1577398622,2138,2138
1577400489,2148,2148
1577402436,2162,2162
1577404332,2175,2175
1577406271,2189,2189
1577408171,2199,2199
1577410108,2216,2216
1577412995,2261,2261
1577414893,2275,2275
1577416827,2294,2294
1577418753,2304,2304
1577420653,2324,2324
1577422591,2340,2340
1577424491,2357,2357
1577426450,2370,2370
1577428361,1428,1428
1577430283,1419,1419
1577432174,1680,1680
1577434140,2226,2226
1577436018,2211,2211
1577437946,3442,3442
1577439876,4792,4792
1577441794,5633,5633
1577443939,7407,7407
1577445853,7553,7553
1577447792,7543,7543
1577449944,7546,7546
1577451912,7545,7545
1577453796,7546,7546
1577455732,7550,7550
1577457643,7548,7548
1577459817,7554,7554
1577461727,7548,7548
1577463612,7551,7551
1577465541,7544,7544
1577467462,7550,7550
1577469374,7546,7546
1577471553,7536,7536
1577473709,7532,7532
1577475616,7527,7527
1577477546,7529,7529
1577479456,7528,7528
1577481627,7528,7528
1577483556,7522,7522
1577485456,7507,7507
1577487441,7503,7503
1577489302,7454,7454
1577492415,7442,7442
1577494326,7442,7442
1577496253,7440,7440
1577498197,7435,7435
1577500087,7421,7421
1577502036,7410,7410
1577503945,7415,7415
1577506118,7411,7411
1577508022,7407,7407
1577509947,7403,7403
1577511848,7407,7407
