DateTime,Entries,UniqueIPs
1576967292,20064,20064
1576969345,19621,19621
1576971146,19624,19624
1576973152,19626,19626
1576974981,19607,19607
1576976909,19522,19522
1576978825,19472,19472
1576980984,19403,19403
1576982904,13630,13630
1576984895,9854,9854
1576986734,6469,6469
1576988649,5122,5122
1576990587,5129,5129
1576992489,5184,5184
1576995634,5104,5104
1576997543,5182,5182
1576999455,5203,5203
1577001395,5175,5175
1577003292,5158,5158
1577005371,5146,5146
1577007367,5133,5133
1577009309,5138,5138
1577011220,5174,5174
1577013145,4082,4082
1577015085,2238,2238
1577016993,2245,2245
1577019140,2234,2234
1577021057,2232,2232
1577022996,2157,2157
1577025153,2162,2162
1577027315,2277,2277
1577029276,2496,2496
1577031155,3695,3695
1577033058,4950,4950
1577035013,5912,5912
1577036900,6982,6982
1577038817,6982,6982
1577040756,7628,7628
1577042660,9980,9980
1577044599,10018,10018
1577046497,10005,10005
1577048512,9986,9986
1577050365,10131,10131
1577052273,10128,10128
1577054175,10128,10128
1577056140,10103,10103
1577058018,10092,10092
1577060189,10080,10080
1577062340,10073,10073
1577064259,10073,10073
1577066194,10068,10068
1577068098,10065,10065
1577071244,10050,10050
1577073144,10040,10040
1577075051,10028,10028
1577077005,10025,10025
1577078890,10012,10012
1577080876,10000,10000
1577082760,14143,14143
1577084702,14385,14385
1577086816,14370,14370
1577088983,14545,14545
1577091138,14729,14729
1577093054,14732,14732
1577094995,14723,14723
1577096896,14789,14789
1577098910,15077,15077
1577100800,15085,15085
1577102927,15075,15075
1577104824,15072,15072
1577106738,15063,15063
1577108672,15067,15067
1577110588,15053,15053
1577112492,15051,15051
1577114442,15061,15061
1577116355,14565,14565
1577118255,13855,13855
1577120223,13078,13078
1577122139,12539,12539
1577124063,12099,12099
1577125969,12109,12109
1577127862,11160,11160
1577130014,9564,9564
1577131936,9560,9560
1577133878,9773,9773
1577136042,10507,10507
1577137933,10345,10345
1577139860,10339,10339
1577142996,10379,10379
1577144892,10927,10927
1577146812,10945,10945
1577148753,10959,10959
1577150651,10971,10971
1577153003,11824,11824
1577155231,11827,11827
1577157163,11829,11829
1577159056,11825,11825
1577161244,11847,11847
1577163131,11859,11859
1577165081,11857,11857
1577168230,11265,11265
1577170095,12109,12109
1577172034,13697,13697
1577173942,15076,15076
1577175877,14859,14859
1577177775,14800,14800
1577179955,14802,14802
1577181933,14812,14812
1577183797,14583,14583
1577185711,14326,14326
1577187632,14310,14310
1577189563,14308,14308
1577191459,14301,14301
1577193408,14286,14286
1577195318,14273,14273
1577197216,14265,14265
1577199181,14198,14198
1577201077,14178,14178
1577202982,14179,14179
1577204895,14184,14184
1577206966,14188,14188
1577208976,14191,14191
1577210950,14192,14192
1577212816,14194,14194
1577214752,14182,14182
1577216672,9958,9958
1577218833,9958,9958
1577220757,9119,9119
1577222658,8405,8405
1577224585,8365,8365
1577226507,8367,8367
1577228524,8352,8352
1577230339,7686,7686
1577232314,7663,7663
1577234191,7640,7640
1577236367,7624,7624
1577238256,6742,6742
1577240175,6726,6726
1577242113,6708,6708
1577244012,6698,6698
1577245935,6670,6670
1577247869,6642,6642
1577249789,6625,6625
1577251710,6608,6608
1577253720,6599,6599
1577255568,6474,6474
1577257500,6123,6123
1577259617,5741,5741
1577261538,4099,4099
1577263473,2038,2038
1577265389,1971,1971
1577267303,1961,1961
1577269230,1934,1934
1577271134,1909,1909
1577273054,1902,1902
1577274995,1896,1896
1577276893,1878,1878
1577278909,1866,1866
1577280775,1862,1862
1577282678,1892,1892
1577284841,1990,1990
1577286997,1974,1974
1577289142,1950,1950
1577291081,1935,1935
1577292974,1920,1920
1577295146,1915,1915
1577297088,1902,1902
1577298999,1875,1875
1577300903,1863,1863
1577302823,1854,1854
1577304773,1846,1846
1577306668,1837,1837
1577308930,1826,1826
1577310758,1817,1817
1577312695,1799,1799
1577314596,1793,1793
1577316500,1788,1788
1577319627,1769,1769
1577321529,1757,1757
1577323456,1742,1742
1577325397,1743,1743
1577327287,1750,1750
1577330423,1735,1735
1577332339,1741,1741
1577334275,1736,1736
1577336175,1732,1732
1577338095,1747,1747
1577340274,1751,1751
1577342192,2109,2109
1577344123,1801,1801
1577346036,1950,1950
1577348205,2004,2004
1577350341,2024,2024
1577352258,2033,2033
1577354184,2039,2039
1577356104,2052,2052
1577358152,2069,2069
1577359969,2085,2085
1577361917,2105,2105
1577363794,2122,2122
1577365695,2144,2144
1577367620,2151,2151
1577369558,2018,2018
1577371457,2032,2032
1577373617,2044,2044
1577375533,2063,2063
1577377474,2067,2067
1577379374,2086,2086
1577381546,2097,2097
1577383521,2126,2126
1577385374,2154,2154
1577387336,2178,2178
1577389216,2193,2193
1577391166,2203,2203
1577393060,2214,2214
1577395233,2229,2229
1577397142,2251,2251
1577399062,2277,2277
1577400984,2286,2286
1577402896,2312,2312
1577406016,2332,2332
1577407931,2346,2346
1577409850,2363,2363
1577411770,2385,2385
1577413709,2402,2402
1577415688,2426,2426
1577417555,2445,2445
1577419495,2454,2454
1577421615,2475,2475
1577423786,2506,2506
1577425936,2511,2511
1577427854,1807,1807
1577429806,1564,1564
1577431690,1528,1528
1577433704,2380,2380
1577435556,2355,2355
1577437487,3275,3275
1577439368,4622,4622
1577441326,5620,5620
1577443217,6841,6841
1577445389,7675,7675
1577447538,7660,7660
1577449486,7656,7656
1577451376,7660,7660
1577453296,7657,7657
1577455397,7669,7669
1577457385,7666,7666
1577459334,7679,7679
1577461249,7678,7678
1577463147,7674,7674
1577465080,7675,7675
1577466997,7680,7680
1577468902,7674,7674
1577470817,7666,7666
1577472754,7663,7663
1577474686,7661,7661
1577476576,7661,7661
1577478495,7656,7656
1577481628,7657,7657
1577483557,7648,7648
1577485458,7633,7633
1577487441,7633,7633
1577489303,7599,7599
1577492417,7588,7588
1577494326,7590,7590
1577496254,7589,7589
1577498199,7587,7587
1577500088,7573,7573
1577502984,7566,7566
1577504909,7575,7575
1577506827,7560,7560
1577508733,7563,7563
1577510676,7559,7559
