DateTime,AddedIPs,RemovedIPs
1576974276,101,204
1576976180,84,124
1576978113,102,152
1576980056,78,140
1576981982,86,148
1576983904,101,142
1576985784,108,151
1576987714,79,142
1576989624,90,136
1576991799,78,141
1576993698,74,152
1576995649,76,157
1576997548,88,145
1576999465,72,136
1577001400,70,158
1577003297,94,134
1577005513,373,158
1577007373,81,164
1577009315,108,122
1577011224,96,115
1577013149,122,76
1577015089,113,88
1577016997,100,75
1577019144,91,87
1577021062,99,83
1577023024,89,98
1577025160,80,84
1577027321,97,110
1577029280,87,94
1577031159,74,70
1577033062,83,92
1577035017,80,72
1577036905,93,67
1577038851,91,76
1577040760,299,973
1577042666,638,87
1577044604,2894,105
1577046503,1431,100
1577048696,1940,84
1577050818,1655,70
1577052740,1774,53
1577054675,2069,58
1577056601,1691,89
1577058491,2061,97
1577060441,1993,99
1577062346,2038,71
1577064264,1694,122
1577066199,1945,75
1577068104,1625,75
1577070207,1822,114
1577072417,1879,127
1577074347,1911,67
1577076302,2476,77
1577078177,406,67
1577080331,67,70
1577082253,84,66
1577084200,89,93
1577086090,75,55
1577088077,95,59
1577089961,80,87
1577091904,89,328
1577094018,95,85
1577095935,89,113
1577097885,109,94
1577099788,68,114
1577101692,149,142
1577103643,124,93
1577105542,100,72
1577107461,63,83
1577109400,80,87
1577111338,74,72
1577113293,100,84
1577115172,107,85
1577117329,97,100
1577119233,75,73
1577121140,95,78
1577123068,108,89
1577125015,100,92
1577127167,108,136
1577129099,96,133
1577131008,106,88
1577132929,70,84
1577135107,125,90
1577136993,94,90
1577138945,70,72
1577140847,87,103
1577142772,95,87
1577144659,97,77
1577146609,169,92
1577148497,153,72
1577150439,79,79
1577152399,108,90
1577154279,70,59
1577156204,65,85
1577158348,88,84
1577160517,83,100
1577162425,87,99
1577164362,105,73
1577166504,434,402
1577168451,285,863
1577170348,114,2575
1577172281,89,1325
1577174170,86,1763
1577176340,77,1498
1577178517,113,1889
1577180413,108,1650
1577182367,144,1688
1577184251,103,1793
1577186183,91,1855
1577188115,73,1993
1577190037,70,1435
1577192175,78,2196
1577194343,98,1777
1577196529,139,1805
1577198413,109,1836
1577200355,89,1372
1577202257,83,2158
1577204174,95,2284
1577206096,121,235
1577208022,116,95
1577209935,97,101
1577211862,111,96
1577213803,103,106
1577215706,72,85
1577218837,158,126
1577220759,116,103
1577222661,81,102
1577224588,90,79
