DateTime,Entries,UniqueIPs
1576974276,6631,6631
1576976180,6591,6591
1576978113,6541,6541
1576980056,6479,6479
1576981982,6417,6417
1576983904,6376,6376
1576985784,6333,6333
1576987714,6270,6270
1576989624,6224,6224
1576991799,6161,6161
1576993698,6083,6083
1576995649,6002,6002
1576997548,5945,5945
1576999465,5881,5881
1577001400,5793,5793
1577003297,5753,5753
1577005513,5968,5968
1577007373,5885,5885
1577009315,5871,5871
1577011224,5852,5852
1577013149,5898,5898
1577015089,5923,5923
1577016997,5948,5948
1577019144,5952,5952
1577021062,5968,5968
1577023024,5959,5959
1577025160,5955,5955
1577027321,5942,5942
1577029280,5935,5935
1577031159,5939,5939
1577033062,5930,5930
1577035017,5938,5938
1577036905,5964,5964
1577038851,5979,5979
1577040760,5305,5305
1577042666,5856,5856
1577044604,8645,8645
1577046503,9976,9976
1577048696,11832,11832
1577050818,13417,13417
1577052740,15138,15138
1577054675,17149,17149
1577056601,18751,18751
1577058491,20715,20715
1577060441,22609,22609
1577062346,24576,24576
1577064264,26148,26148
1577066199,28018,28018
1577068104,29568,29568
1577070207,31276,31276
1577072417,33028,33028
1577074347,34872,34872
1577076302,37271,37271
1577078177,37610,37610
1577080331,37607,37607
1577082253,37625,37625
1577084200,37621,37621
1577086090,37641,37641
1577088077,37677,37677
1577089961,37670,37670
1577091904,37431,37431
1577094018,37441,37441
1577095935,37417,37417
1577097885,37432,37432
1577099788,37386,37386
1577101692,37393,37393
1577103643,37424,37424
1577105542,37452,37452
1577107461,37432,37432
1577109400,37425,37425
1577111338,37427,37427
1577113293,37443,37443
1577115172,37465,37465
1577117329,37462,37462
1577119233,37464,37464
1577121140,37481,37481
1577123068,37500,37500
1577125015,37508,37508
1577127167,37480,37480
1577129099,37443,37443
1577131008,37461,37461
1577132929,37447,37447
1577135107,37482,37482
1577136993,37486,37486
1577138945,37484,37484
1577140847,37468,37468
1577142772,37476,37476
1577144659,37496,37496
1577146609,37573,37573
1577148497,37654,37654
1577150439,37654,37654
1577152399,37672,37672
1577154279,37683,37683
1577156204,37663,37663
1577158348,37667,37667
1577160517,37650,37650
1577162425,37638,37638
1577164362,37670,37670
1577166504,37702,37702
1577168451,37124,37124
1577170348,34663,34663
1577172281,33427,33427
1577174170,31750,31750
1577176340,30329,30329
1577178517,28553,28553
1577180413,27011,27011
1577182367,25467,25467
1577184251,23777,23777
1577186183,22013,22013
1577188115,20093,20093
1577190037,18728,18728
1577192175,16610,16610
1577194343,14931,14931
1577196529,13265,13265
1577198413,11538,11538
1577200355,10255,10255
1577202257,8180,8180
1577204174,5991,5991
1577206096,5877,5877
1577208022,5898,5898
1577209935,5894,5894
1577211862,5909,5909
1577213803,5906,5906
1577215706,5893,5893
1577218837,5925,5925
1577220759,5938,5938
1577222661,5917,5917
1577224588,5928,5928
1577226509,5935,5935
1577228636,5929,5929
1577230594,5957,5957
1577232767,5931,5931
1577234658,5848,5848
1577236823,5891,5891
1577238733,5888,5888
1577240682,5888,5888
1577242588,5889,5889
1577244495,5851,5851
1577246645,5853,5853
1577248591,5861,5861
1577250503,5858,5858
1577252539,5824,5824
1577254581,5867,5867
1577256515,5847,5847
1577258430,5867,5867
1577260334,5900,5900
1577262250,5898,5898
1577264187,5895,5895
1577266092,5898,5898
1577268258,5843,5843
1577270442,5820,5820
1577272340,5824,5824
1577274294,5869,5869
1577276188,5926,5926
1577278333,5996,5996
1577280252,5996,5996
1577282194,6007,6007
1577284090,6050,6050
1577287229,6113,6113
1577289153,6116,6116
1577291091,6128,6128
1577292977,6161,6161
1577295149,6150,6150
1577297093,6142,6142
1577299003,6110,6110
1577300907,6113,6113
1577302828,6118,6118
1577304777,6105,6105
1577306674,6068,6068
1577308934,6120,6120
1577310772,6232,6232
1577312759,6526,6526
1577314599,6582,6582
1577316506,6569,6569
1577318690,6598,6598
1577320827,6668,6668
1577322742,6653,6653
1577324672,6652,6652
1577326583,6663,6663
1577328514,6707,6707
1577330426,6731,6731
1577332343,6750,6750
1577334287,6777,6777
1577336190,6776,6776
1577338109,6649,6649
1577340303,6297,6297
1577342207,6320,6320
1577344129,6389,6389
1577346052,6463,6463
1577348218,6558,6558
1577350355,6687,6687
1577352284,6754,6754
1577354221,6838,6838
1577356110,6930,6930
1577358331,7010,7010
1577360434,7071,7071
1577362363,7058,7058
1577364266,7035,7035
1577366175,7018,7018
1577368115,7020,7020
1577370037,7009,7009
1577371959,6989,6989
1577373871,7061,7061
1577375774,7091,7091
1577377955,7075,7075
1577380113,7036,7036
1577382036,7025,7025
1577383962,7040,7040
1577385854,7026,7026
1577387797,7019,7019
1577389732,7011,7011
1577391613,7004,7004
1577393566,7000,7000
1577395463,6939,6939
1577397384,6784,6784
1577399301,6481,6481
1577401353,6445,6445
1577403156,6436,6436
1577405101,6401,6401
1577406990,6355,6355
1577408914,6369,6369
1577410849,6376,6376
1577412753,6371,6371
1577414668,6366,6366
1577416589,6358,6358
1577418759,6393,6393
1577420657,6420,6420
1577422605,6451,6451
1577424495,6474,6474
1577426637,6487,6487
1577428817,6461,6461
1577430747,6381,6381
1577432674,6285,6285
1577434582,6231,6231
1577436774,6125,6125
1577438654,6083,6083
1577440600,6764,6764
1577442494,6725,6725
1577444578,6646,6646
1577446813,6589,6589
1577448764,6560,6560
1577450651,6595,6595
1577452816,6659,6659
1577454731,6678,6678
1577456650,6724,6724
1577458939,6754,6754
1577460777,6649,6649
1577462924,6759,6759
1577464830,6856,6856
1577467004,6916,6916
1577468905,6984,6984
1577470831,7024,7024
1577472758,7051,7051
1577474690,7101,7101
1577476579,7144,7144
1577478497,7162,7162
1577481631,7188,7188
1577483559,7239,7239
1577485468,7282,7282
1577487444,7305,7305
1577489314,7289,7289
1577491457,7287,7287
1577493617,7252,7252
1577495536,7233,7233
1577497462,7224,7224
1577499388,7205,7205
1577501290,7187,7187
1577503215,7152,7152
1577505142,7109,7109
1577507052,7076,7076
1577508995,7051,7051
1577511163,7026,7026
1577513310,7039,7039
1577515251,7029,7029
1577517149,7050,7050
1577519058,7068,7068
1577521048,7106,7106
1577522899,7133,7133
1577524811,7133,7133
1577526769,6383,6383
1577528663,6337,6337
1577530585,6329,6329
1577532499,6327,6327
1577534698,6339,6339
1577536593,6345,6345
1577538548,6325,6325
1577540431,6324,6324
1577542589,6297,6297
1577544494,6303,6303
1577546423,6276,6276
1577548349,6243,6243
1577550271,6189,6189
1577552177,6129,6129
1577554114,6121,6121
1577556246,6064,6064
1577558433,6069,6069
1577560345,6092,6092
1577562271,6138,6138
1577564171,6163,6163
1577566335,6222,6222
1577568259,6246,6246
1577570297,6240,6240
1577572342,6254,6254
1577574548,6322,6322
1577576683,6305,6305
1577578593,6328,6328
1577580498,6368,6368
1577582442,6437,6437
1577584348,6504,6504
1577586259,6562,6562
1577588201,6590,6590
1577590112,6618,6618
1577592258,6686,6686
1577594193,6719,6719
1577596113,6769,6769
1577598022,6799,6799
1577599966,6819,6819
1577601859,6867,6867
1577603778,6910,6910
1577605732,6931,6931
1577607857,6954,6954
1577609785,6987,6987
1577611713,7019,7019
1577613805,7024,7024
1577616018,7047,7047
1577617936,7054,7054
1577619924,7144,7144
1577621785,7344,7344
1577623996,7841,7841
1577625895,8565,8565
1577627773,11237,11237
1577629795,12099,12099
1577631866,12734,12734
1577633792,14076,14076
1577635790,15304,15304
1577637629,16396,16396
1577639796,18286,18286
1577641716,20007,20007
1577643655,21703,21703
1577645536,23482,23482
1577647490,25479,25479
1577649378,27192,27192
1577651547,28949,28949
1577653822,30323,30323
1577655640,31912,31912
1577657788,33629,33629
1577659958,34799,34799
1577661883,35620,35620
1577663793,37152,37152
1577665710,38317,38317
1577667885,40365,40365
1577670069,40589,40589
1577672012,40687,40687
1577673873,40762,40762
1577675794,40772,40772
1577677700,40776,40776
1577679633,40782,40782
1577681536,40981,40981
1577683456,40951,40951
1577685402,40924,40924
1577687328,40901,40901
1577689587,41038,41038
1577691650,41091,41091
1577693791,41077,41077
1577695708,41033,41033
1577697646,41182,41182
1577699536,41181,41181
1577701463,41265,41265
1577703419,41349,41349
1577705293,41510,41510
1577707459,41292,41292
1577709616,40886,40886
1577711539,40411,40411
1577713476,37942,37942
1577715620,36608,36608
1577717550,35893,35893
1577719452,34523,34523
1577721389,33387,33387
1577723296,32471,32471
1577725328,30762,30762
1577727265,29058,29058
1577729090,27559,27559
1577731068,25666,25666
1577732934,23936,23936
1577734813,21975,21975
1577736756,20418,20418
1577738900,18369,18369
1577740825,17491,17491
1577742755,15731,15731
1577744785,14057,14057
1577746615,13260,13260
1577748547,12653,12653
1577750474,10971,10971
1577752347,10125,10125
1577754348,8025,8025
1577756424,7890,7890
1577758338,7788,7788
1577760283,7713,7713
1577762179,7785,7785
1577764343,7835,7835
1577766278,7870,7870
1577768179,7690,7690
1577770101,7737,7737
1577772346,7780,7780
1577774193,7783,7783
1577776192,7612,7612
1577778066,7664,7664
1577779968,7670,7670
1577781859,7699,7699
1577783799,7549,7549
1577785726,7559,7559
1577787632,7527,7527
1577789547,7444,7444
1577791470,7280,7280
1577793399,7331,7331
1577795576,7395,7395
1577797560,7425,7425
1577799404,7447,7447
1577801333,7455,7455
1577803235,7514,7514
1577805408,7540,7540
1577807296,7524,7524
1577809465,7519,7519
1577811386,7593,7593
1577813297,7628,7628
1577815492,7640,7640
1577817393,7642,7642
1577819322,7696,7696
1577821254,7752,7752
1577823150,7810,7810
1577825080,7815,7815
1577827226,7783,7783
1577829145,7755,7755
1577831072,7734,7734
1577832990,7706,7706
1577834968,7700,7700
1577837127,7624,7624
1577838990,7618,7618
1577841196,7645,7645
1577843060,7646,7646
1577844993,7596,7596
1577846901,7543,7543
1577848876,7445,7445
1577850755,7373,7373
1577852698,7258,7258
1577854572,7234,7234
1577856543,7196,7196
1577858624,7129,7129
1577860619,7103,7103
1577862497,7122,7122
1577864413,7093,7093
1577866346,7137,7137
1577868270,7274,7274
1577870190,7333,7333
1577872113,7349,7349
1577874011,7369,7369
1577875944,7368,7368
1577877852,7372,7372
1577879816,7456,7456
1577881970,7439,7439
1577883888,7430,7430
1577885773,7450,7450
1577887945,7527,7527
1577889862,7596,7596
1577891784,7610,7610
1577893943,7660,7660
1577895886,7696,7696
1577897805,7639,7639
1577899728,7643,7643
1577901884,7649,7649
1577904019,7669,7669
1577905943,7682,7682
1577907874,7540,7540
1577909805,7517,7517
1577911959,7475,7475
1577913852,7502,7502
1577916324,7492,7492
1577918205,7481,7481
1577920369,7400,7400
1577922271,7306,7306
1577924183,7331,7331
1577926105,7321,7321
1577928029,7241,7241
1577929948,7438,7438
1577931851,7723,7723
1577933778,7738,7738
1577935706,7758,7758
1577938829,7749,7749
1577940734,7708,7708
1577942649,7629,7629
1577944590,7617,7617
1577946491,7611,7611
1577949623,7583,7583
1577951535,7545,7545
1577953475,7472,7472
1577955376,7303,7303
1577957288,7275,7275
1577960208,7206,7206
1577962104,7195,7195
1577964109,7373,7373
