DateTime,Entries,UniqueIPs
1576966107,2948,2948
1576968015,2928,2928
1576970022,2916,2916
1576971875,2909,2909
1576973803,2933,2933
1576975956,2952,2952
1576977857,2968,2968
1576979793,2931,2931
1576981697,2926,2926
1576983915,2908,2908
1576985785,2903,2903
1576987715,2889,2889
1576989626,2892,2892
1576991800,2887,2887
1576993699,2887,2887
1576995650,2897,2897
1576997552,2903,2903
1576999466,2920,2920
1577001407,2900,2900
1577003298,2911,2911
1577005514,3214,3214
1577007374,3192,3192
1577009316,3170,3170
1577011225,3158,3158
1577013150,3195,3195
1577015090,3209,3209
1577016998,3199,3199
1577019145,3186,3186
1577021063,3193,3193
1577023025,3184,3184
1577025161,3191,3191
1577027323,3156,3156
1577029296,3149,3149
1577031160,3171,3171
1577033064,3181,3181
1577035018,3182,3182
1577036906,3217,3217
1577038852,3223,3223
1577040761,2366,2366
1577042670,2409,2409
1577044606,2421,2421
1577046506,2424,2424
1577048698,2414,2414
1577050820,2409,2409
1577052741,2410,2410
1577054677,2413,2413
1577056603,2403,2403
1577058492,2369,2369
1577060443,2361,2361
1577062347,2348,2348
1577064265,2337,2337
1577066201,2357,2357
1577068105,2352,2352
1577070301,2348,2348
1577072422,2352,2352
1577074351,2366,2366
1577076305,2378,2378
1577078180,2383,2383
1577080333,2362,2362
1577082257,2349,2349
1577084202,2352,2352
1577086091,2350,2350
1577089229,2329,2329
1577091142,2028,2028
1577093058,1992,1992
1577094999,2011,2011
1577096901,2020,2020
1577100033,1976,1976
1577101933,1988,1988
1577103851,2005,2005
1577105793,2008,2008
1577107694,1992,1992
1577109767,1982,1982
1577112053,1976,1976
1577114194,1998,1998
1577116364,1992,1992
1577118261,1985,1985
1577120232,2010,2010
1577122146,2006,2006
1577124273,1971,1971
1577126427,2000,2000
1577128351,1937,1937
1577130274,1941,1941
1577132183,1933,1933
1577134469,1942,1942
1577136280,1965,1965
1577138172,1969,1969
1577140113,1972,1972
1577143000,1991,1991
1577144898,2000,2000
1577146818,2003,2003
1577148758,2027,2027
1577150658,2022,2022
1577153146,2004,2004
1577155238,1996,1996
1577157168,2015,2015
1577159068,2036,2036
1577161249,2032,2032
1577163135,2018,2018
1577165086,2024,2024
1577167507,2040,2040
1577169377,2046,2046
1577171308,2041,2041
1577173218,2050,2050
1577175157,2038,2038
1577177052,2050,2050
1577178976,2075,2075
1577180913,2071,2071
1577182817,2068,2068
1577184735,2070,2070
1577186708,2083,2083
1577188576,2083,2083
1577190739,2086,2086
1577192910,2088,2088
1577194829,2099,2099
1577196754,2103,2103
1577198654,2104,2104
1577200584,2096,2096
1577202513,2084,2084
1577204429,2123,2123
1577206343,2144,2144
1577208274,2145,2145
1577210184,2145,2145
1577212091,2167,2167
1577215236,2156,2156
1577217157,2148,2148
1577219072,2150,2150
1577221020,2149,2149
1577222903,2131,2131
1577225047,2142,2142
1577227005,2138,2138
1577228913,2155,2155
1577230822,2155,2155
1577232768,2153,2153
1577234659,2134,2134
1577236824,2162,2162
1577238734,2187,2187
1577240683,2216,2216
1577242589,2209,2209
1577244496,2179,2179
1577246707,2158,2158
1577248594,2155,2155
1577250504,2137,2137
1577252564,2207,2207
1577254582,2213,2213
1577256517,2211,2211
1577258452,2232,2232
1577260336,2235,2235
1577262252,2239,2239
1577264188,2237,2237
1577266093,2240,2240
1577268275,2231,2231
1577270446,2232,2232
1577272341,2232,2232
1577274295,2241,2241
1577276189,2249,2249
1577278334,2297,2297
1577280253,2301,2301
1577282195,2306,2306
1577284095,2305,2305
1577286273,2287,2287
1577288436,2290,2290
1577290589,2274,2274
1577292519,2246,2246
1577294422,2222,2222
1577296332,2225,2225
1577298291,2192,2192
1577300170,2184,2184
1577302389,2186,2186
1577304503,2190,2190
1577306413,2169,2169
1577308356,2168,2168
1577310254,2162,2162
1577312271,2173,2173
1577314338,2175,2175
1577316269,2185,2185
1577318194,2196,2196
1577320092,2192,2192
1577322978,2161,2161
1577324889,2147,2147
1577326809,2140,2140
1577328751,2152,2152
1577330670,2160,2160
1577332593,2160,2160
1577334752,2171,2171
1577337608,2126,2126
1577339531,2115,2115
1577341472,2112,2112
1577343378,2094,2094
1577345321,2109,2109
1577347472,2129,2129
1577349635,2158,2158
1577351788,2140,2140
1577353954,2141,2141
1577355851,2149,2149
1577357778,2150,2150
1577359688,2127,2127
1577362858,2072,2072
1577364730,2038,2038
1577366674,2028,2028
1577368594,2012,2012
1577370741,2010,2010
1577372916,2010,2010
1577374813,2001,2001
1577376757,2002,2002
1577378657,2002,2002
1577380571,1997,1997
1577382491,2004,2004
1577384434,2020,2020
1577386356,2018,2018
1577388271,2025,2025
1577390173,2042,2042
1577392091,2059,2059
1577395234,2045,2045
1577397144,2041,2041
1577399067,2046,2046
1577400986,2035,2035
1577402902,2013,2013
1577406018,1990,1990
1577407934,1984,1984
1577409853,1991,1991
1577411773,1994,1994
1577413712,1987,1987
1577415862,1979,1979
1577418023,1988,1988
1577419938,2005,2005
1577421883,2008,2008
1577423788,2004,2004
1577425941,2008,2008
1577427856,1997,1997
1577429810,1991,1991
1577431695,1975,1975
1577433845,1975,1975
1577436022,1959,1959
1577437948,1966,1966
1577439881,2735,2735
1577441797,2772,2772
1577443942,2782,2782
1577445856,2805,2805
1577447795,2848,2848
1577449948,2874,2874
1577451919,2881,2881
1577453799,2915,2915
1577455736,2924,2924
1577457649,2977,2977
1577459820,3006,3006
1577461732,3046,3046
1577463616,3071,3071
1577465546,3084,3084
1577467467,3095,3095
1577469378,3098,3098
1577471559,3093,3093
1577473485,3105,3105
1577475382,3098,3098
1577477295,3081,3081
1577479218,3080,3080
1577481149,3095,3095
1577483171,3103,3103
1577484983,3097,3097
1577486892,3117,3117
1577488826,3145,3145
1577490733,3168,3168
1577492664,3173,3173
1577494584,3185,3185
1577496491,3175,3175
1577498545,3181,3181
1577500350,3180,3180
1577502314,3181,3181
1577504172,3175,3175
1577506121,3172,3172
1577508025,3190,3190
1577509950,3193,3193
1577511852,3201,3201
1577513787,3230,3230
1577515703,3233,3233
1577517612,3235,3235
1577519539,3243,3243
1577521462,3241,3241
1577523379,3238,3238
1577525299,3207,3207
1577528418,2391,2391
1577530333,2367,2367
1577532252,2373,2373
1577534727,2353,2353
1577536596,2350,2350
1577538549,2349,2349
1577540435,2336,2336
1577542591,2321,2321
1577544496,2312,2312
1577546424,2289,2289
1577548351,2276,2276
1577550273,2257,2257
1577552180,2247,2247
1577554118,2253,2253
1577556284,2246,2246
1577558434,2248,2248
1577560346,2276,2276
1577562272,2311,2311
1577564172,2312,2312
1577566337,2313,2313
1577568260,2304,2304
1577570298,2293,2293
1577572346,2280,2280
1577574202,2280,2280
1577576192,2264,2264
1577578115,2275,2275
1577580027,2280,2280
1577581954,2284,2284
1577583853,2299,2299
1577585794,2298,2298
1577587690,2285,2285
1577589641,2283,2283
1577591557,2277,2277
1577593475,2255,2255
1577595370,2242,2242
1577597292,2230,2230
1577599468,2210,2210
1577601390,2199,2199
1577603312,2195,2195
1577605213,2190,2190
1577607407,2168,2168
1577609289,2168,2168
1577611210,2171,2171
1577613156,2175,2175
1577615053,2176,2176
1577617000,2170,2170
1577618889,2160,2160
1577621787,2316,2316
1577625159,2550,2550
1577627051,2543,2543
1577629119,2689,2689
1577630945,2824,2824
1577633081,2802,2802
1577634971,2763,2763
1577636897,2962,2962
1577638948,2945,2945
1577640991,2929,2929
1577642900,2906,2906
1577644818,2893,2893
1577646780,2871,2871
1577648655,2845,2845
1577650832,2829,2829
1577652732,2837,2837
1577654653,2997,2997
1577656933,2986,2986
1577658767,2981,2981
1577660727,3025,3025
1577662600,3185,3185
1577664492,3171,3171
1577666411,3132,3132
1577668354,3117,3117
1577670250,3095,3095
1577672442,3264,3264
1577674359,3274,3274
1577676255,3275,3275
1577678181,3278,3278
1577680095,3308,3308
1577682991,3462,3462
1577684893,3472,3472
1577686850,3469,3469
1577688733,3535,3535
1577690671,3675,3675
1577692573,3671,3671
1577694506,3664,3664
1577697388,3848,3848
1577699291,3851,3851
1577701238,3863,3863
1577703185,3932,3932
1577705058,4096,4096
1577707009,3919,3919
1577708894,3916,3916
1577711078,3667,3667
1577713218,3625,3625
1577715171,3522,3522
1577717056,3305,3305
1577718993,3296,3296
1577720902,3305,3305
1577722834,3129,3129
1577724738,3141,3141
1577726657,3153,3153
1577728601,3148,3148
1577730496,3138,3138
1577732682,3138,3138
1577734592,3158,3158
1577736525,3158,3158
1577738495,3165,3165
1577740342,2983,2983
1577742264,2984,2984
1577744189,2978,2978
1577746338,2973,2973
1577748285,2767,2767
1577750200,2836,2836
1577752105,2839,2839
1577754358,2835,2835
1577756425,2824,2824
1577758340,2718,2718
1577760309,2641,2641
1577762181,2673,2673
1577764345,2727,2727
1577766280,2739,2739
1577768181,2563,2563
1577770102,2565,2565
1577772379,2556,2556
1577774195,2544,2544
1577776193,2365,2365
1577778069,2356,2356
1577779970,2363,2363
1577781860,2367,2367
1577783801,2191,2191
1577785727,2190,2190
1577787633,2179,2179
1577789549,2116,2116
1577791471,1958,1958
1577793400,1961,1961
1577795577,1971,1971
1577797562,1972,1972
1577799407,1966,1966
1577801334,1962,1962
1577803239,1969,1969
1577805409,1969,1969
1577807297,1972,1972
1577809466,1946,1946
1577811390,1976,1976
1577813300,1966,1966
1577815494,1969,1969
1577817394,1974,1974
1577819324,2000,2000
1577821256,2079,2079
1577823151,2158,2158
1577825081,2157,2157
1577827228,2147,2147
1577829147,2154,2154
1577831073,2153,2153
1577832991,2168,2168
1577834970,2259,2259
1577837184,2222,2222
1577838992,2223,2223
1577841198,2296,2296
1577843062,2349,2349
1577845016,2331,2331
1577846903,2313,2313
1577848877,2269,2269
1577850756,2221,2221
1577852699,2199,2199
1577854573,2212,2212
1577856545,2239,2239
1577858652,2229,2229
1577860634,2223,2223
1577862499,2237,2237
1577864445,2253,2253
1577866347,2309,2309
1577868271,2419,2419
1577870191,2474,2474
1577872115,2483,2483
1577874013,2488,2488
1577875945,2481,2481
1577877854,2473,2473
1577879817,2565,2565
1577881975,2539,2539
1577883918,2515,2515
1577885775,2519,2519
1577887946,2609,2609
1577889864,2708,2708
1577891785,2727,2727
1577893945,2728,2728
1577895888,2736,2736
1577897806,2669,2669
1577899729,2664,2664
1577901886,2669,2669
1577904021,2694,2694
