DateTime,Entries,UniqueIPs
1576976182,2652,2652
1576978116,2601,2601
1576980121,2548,2548
1576981985,2490,2490
1576983918,2454,2454
1576985787,2419,2419
1576987716,2355,2355
1576989628,2286,2286
1576991802,2212,2212
1576993700,2148,2148
1576995654,2070,2070
1576997554,1999,1999
1576999468,1932,1932
1577001410,1860,1860
1577003300,1786,1786
1577005516,1706,1706
1577007376,1635,1635
1577009318,1590,1590
1577011226,1557,1557
1577013152,1557,1557
1577015092,1548,1548
1577017001,1575,1575
1577019147,1594,1594
1577021065,1634,1634
1577023027,1640,1640
1577025163,1643,1643
1577027325,1647,1647
1577029299,1645,1645
1577031162,1641,1641
1577033066,1642,1642
1577035043,1659,1659
1577036909,1663,1663
1577038854,1683,1683
1577040767,1702,1702
1577042673,1704,1704
1577044608,1699,1699
1577046508,1699,1699
1577048731,1714,1714
1577050822,1736,1736
1577052743,1761,1761
1577054679,1795,1795
1577056605,1796,1796
1577058494,1808,1808
1577060445,1818,1818
1577062395,1840,1840
1577064268,1816,1816
1577066204,1819,1819
1577068108,1819,1819
1577070315,1799,1799
1577072427,1785,1785
1577074355,1811,1811
1577076310,1818,1818
1577078183,1825,1825
1577080337,1842,1842
1577082262,1864,1864
1577084205,1865,1865
1577086095,1887,1887
1577088227,1912,1912
1577090418,1920,1920
1577092339,1953,1953
1577094284,1964,1964
1577096180,1981,1981
1577098336,2016,2016
1577100255,2023,2023
1577102192,2030,2030
1577104108,2050,2050
1577106113,2059,2059
1577107961,2050,2050
1577109809,2031,2031
1577112073,2020,2020
1577114195,2030,2030
1577116366,2031,2031
1577118263,2031,2031
1577120235,2023,2023
1577122148,2028,2028
1577124292,2039,2039
1577126431,2022,2022
1577128354,2025,2025
1577130277,2030,2030
1577132185,2026,2026
1577134472,2056,2056
1577136283,2101,2101
1577138175,2091,2091
1577140116,2066,2066
1577142074,2047,2047
1577144183,2060,2060
1577146343,2107,2107
1577148253,2167,2167
1577150201,2165,2165
1577152088,2182,2182
1577154029,2200,2200
1577155982,2186,2186
1577157878,2171,2171
1577159772,2142,2142
1577161940,2130,2130
1577164102,2152,2152
1577166037,2431,2431
1577168235,2746,2746
1577170098,2768,2768
1577172039,2779,2779
1577173946,2782,2782
1577175882,2782,2782
1577177777,2781,2781
1577179959,2766,2766
1577181936,2822,2822
1577183800,2832,2832
1577185714,2853,2853
1577187636,2843,2843
1577189567,2809,2809
1577191462,2782,2782
1577193411,2786,2786
1577195321,2829,2829
1577197219,2858,2858
1577199184,2902,2902
1577201081,2903,2903
1577202985,2919,2919
1577204900,2914,2914
1577208045,2940,2940
1577209936,2948,2948
1577211865,2952,2952
1577213804,2964,2964
1577215708,2958,2958
1577218840,2999,2999
1577220762,3011,3011
1577222662,2987,2987
1577224589,2957,2957
1577226511,2953,2953
1577228704,2936,2936
1577230595,2972,2972
1577232769,2968,2968
1577234660,2901,2901
1577236825,2900,2900
1577238735,2872,2872
1577240684,2852,2852
1577242590,2850,2850
1577244497,2848,2848
1577246711,2863,2863
1577248594,2873,2873
1577250504,2886,2886
1577252586,2784,2784
1577254583,2826,2826
1577256517,2816,2816
1577258453,2839,2839
1577260337,2876,2876
1577262253,2891,2891
1577264189,2897,2897
1577266094,2904,2904
1577268277,2873,2873
1577270447,2844,2844
1577272342,2846,2846
1577274296,2873,2873
1577276190,2919,2919
1577278335,2942,2942
1577280254,2946,2946
1577282196,2955,2955
1577284096,3009,3009
1577286302,3073,3073
1577288437,3068,3068
1577290590,3090,3090
1577292520,3142,3142
1577294423,3178,3178
1577296333,3176,3176
1577298292,3167,3167
1577300171,3160,3160
1577302390,3173,3173
1577304504,3153,3153
1577306414,3123,3123
1577308357,3139,3139
1577310255,3241,3241
1577312294,3513,3513
1577314339,3630,3630
1577316270,3618,3618
1577318195,3607,3607
1577320093,3613,3613
1577322979,3674,3674
1577324889,3701,3701
1577326810,3731,3731
1577328752,3761,3761
1577330671,3781,3781
1577332594,3802,3802
1577334753,3809,3809
1577336628,3795,3795
1577338601,3714,3714
1577340503,3403,3403
1577342414,3446,3446
1577344622,3538,3538
1577346495,3594,3594
1577348428,3680,3680
1577350358,3781,3781
1577352305,3865,3865
1577354224,3955,3955
1577356113,4033,4033
1577358359,4137,4137
1577360436,4219,4219
1577362365,4238,4238
1577364268,4250,4250
1577366177,4272,4272
1577368117,4286,4286
1577370039,4275,4275
1577371961,4246,4246
1577373873,4311,4311
1577375776,4339,4339
1577377958,4334,4334
1577380115,4292,4292
1577382060,4266,4266
1577383964,4271,4271
1577385857,4260,4260
1577387802,4260,4260
1577389734,4259,4259
1577391616,4236,4236
1577393569,4220,4220
1577395466,4170,4170
1577397387,4022,4022
1577399303,3736,3736
1577401486,3744,3744
1577403373,3728,3728
1577405558,3726,3726
1577407455,3715,3715
1577409399,3719,3719
1577411292,3718,3718
1577413213,3727,3727
1577415168,3717,3717
1577417059,3709,3709
1577418995,3722,3722
1577420896,3734,3734
1577423094,3775,3775
1577425231,3789,3789
1577427136,3784,3784
1577429075,3763,3763
1577430979,3673,3673
1577433145,3586,3586
1577435056,3465,3465
1577436990,3384,3384
1577438893,3314,3314
1577440967,3248,3248
1577442776,3163,3163
1577444677,3082,3082
1577446815,2989,2989
1577448765,2923,2923
1577450653,2924,2924
1577452817,2951,2951
1577454734,2955,2955
1577456651,2989,2989
1577459062,3004,3004
1577460979,2901,2901
1577462925,2989,2989
1577464832,3044,3044
1577467005,3094,3094
1577468908,3153,3153
1577470854,3191,3191
1577472760,3205,3205
1577474692,3237,3237
1577476581,3279,3279
1577478498,3290,3290
1577480550,3295,3295
1577482362,3306,3306
1577484516,3360,3360
1577486414,3361,3361
1577488345,3378,3378
1577490278,3406,3406
1577492189,3403,3403
1577494095,3370,3370
1577496031,3357,3357
1577497933,3345,3345
1577499858,3324,3324
1577501795,3290,3290
1577503702,3268,3268
1577505706,3228,3228
1577507575,3200,3200
1577509531,3144,3144
1577511404,3137,3137
1577513312,3140,3140
1577515253,3124,3124
1577517151,3134,3134
1577519059,3155,3155
1577521050,3198,3198
1577522901,3234,3234
1577524812,3262,3262
1577526772,3279,3279
1577528665,3271,3271
1577530587,3267,3267
1577532500,3270,3270
1577534755,3284,3284
1577536597,3293,3293
1577538551,3283,3283
1577540437,3291,3291
1577542592,3278,3278
1577544520,3279,3279
1577546426,3265,3265
1577548352,3233,3233
1577550274,3210,3210
1577552181,3176,3176
1577554119,3163,3163
1577556288,3117,3117
1577558435,3114,3114
1577560348,3116,3116
1577562274,3129,3129
1577564174,3159,3159
1577566338,3225,3225
1577568262,3265,3265
1577570299,3258,3258
1577572371,3265,3265
1577574273,3317,3317
1577576193,3310,3310
1577578116,3313,3313
1577580029,3349,3349
1577581955,3387,3387
1577583855,3446,3446
1577585796,3507,3507
1577587692,3560,3560
1577589642,3593,3593
1577591559,3654,3654
1577593477,3728,3728
1577595372,3784,3784
1577597294,3824,3824
1577599501,3862,3862
1577601391,3913,3913
1577603314,3963,3963
1577605215,3980,3980
1577607408,4017,4017
1577609290,4047,4047
1577611212,4077,4077
1577613158,4079,4079
