DateTime,Entries,UniqueIPs
1576971623,42999,42999
1576973567,43009,43009
1576975477,43019,43019
1576977411,43027,43027
1576979319,43031,43031
1576981243,43038,43038
1576983134,43044,43044
1576985067,43042,43042
1576987003,43028,43028
1576988895,43034,43034
1576992056,43024,43024
1576993932,43026,43026
1576995853,41831,41831
1576997816,39930,39930
1576999692,38173,38173
1577001731,36178,36178
1577003561,34352,34352
1577005519,32457,32457
1577007379,30553,30553
1577009321,28581,28581
1577011252,26127,26127
1577013154,24240,24240
1577015095,22124,22124
1577017003,20367,20367
1577019150,18053,18053
1577021068,16345,16345
1577023030,14122,14122
1577025165,12525,12525
1577027327,12469,12469
1577029301,12472,12472
1577031165,12550,12550
1577033069,12547,12547
1577035046,12532,12532
1577036911,12516,12516
1577038857,12519,12519
1577040770,12684,12684
1577042675,13569,13569
1577044610,14264,14264
1577046511,14264,14264
1577048734,14268,14268
1577050825,14272,14272
1577052746,14266,14266
1577054682,14263,14263
1577056607,14252,14252
1577058496,14244,14244
1577060448,14824,14824
1577062398,15870,15870
1577064272,16955,16955
1577066207,18164,18164
1577068111,18906,18906
1577070319,19957,19957
1577072431,20966,20966
1577074358,21792,21792
1577078186,23620,23620
1577080340,24741,24741
1577082265,25582,25582
1577084208,26535,26535
1577086099,27400,27400
1577088334,28321,28321
1577090423,29453,29453
1577092342,30379,30379
1577094288,31303,31303
1577096202,32112,32112
1577098340,33273,33273
1577100268,34195,34195
1577102195,35177,35177
1577104121,35692,35692
1577107248,35692,35692
1577109146,35689,35689
1577111069,35689,35689
1577113002,35703,35703
1577114897,35690,35690
1577117062,35698,35698
1577119014,35602,35602
1577120919,35592,35592
1577122829,35577,35577
1577125019,35563,35563
1577127171,35551,35551
1577129103,35385,35385
1577131013,35296,35296
1577132933,35282,35282
1577135160,35263,35263
1577136998,35414,35414
1577138979,35575,35575
1577140851,35666,35666
1577142775,35721,35721
1577144663,35758,35758
1577146613,35354,35354
1577148501,34305,34305
1577150443,33252,33252
1577152433,32034,32034
1577154292,31307,31307
1577156220,30336,30336
1577158352,29487,29487
1577160289,28688,28688
1577162194,27587,27587
1577164105,26588,26588
1577166103,25486,25486
1577168239,23837,23837
