DateTime,AddedIPs,RemovedIPs
1576975479,100,49
1576977412,55,49
1576979321,52,36
1576981244,30,52
1576983135,25,47
1576985069,34,44
1576987004,39,38
1576988897,48,30
1576992058,74,75
1576993933,65,47
1576995854,55,37
1576997818,62,40
1576999693,60,43
1577001751,36,37
1577003564,63,38
1577005520,26,42
1577007380,29,56
1577009322,25,42
1577011253,38,51
1577013155,41,41
1577015096,43,54
1577017004,46,38
1577019151,55,39
1577021069,55,49
1577023031,42,35
1577025166,61,42
1577027329,43,45
1577029302,31,33
1577031166,215,45
1577033070,31,28
1577035047,45,61
1577036912,54,39
1577038858,44,29
1577040772,211,32
1577042676,962,50
1577044622,775,32
1577046512,34,44
1577048735,55,49
1577050827,51,61
1577052747,26,53
1577054683,44,45
1577056609,35,57
1577058498,32,55
1577060449,39,67
1577062400,46,67
1577064273,49,36
1577066208,55,33
1577068112,47,23
1577070320,23,32
1577072432,37,31
1577074359,39,33
1577076344,37,45
1577078188,29,43
1577080341,51,68
1577082267,34,36
1577084209,38,48
1577086100,36,44
1577088337,43,46
1577090424,50,73
1577092343,42,16
1577094311,47,28
1577096204,33,32
1577098341,69,33
1577100270,53,42
1577102196,36,41
1577104122,28,46
1577107250,79,197
1577109148,28,42
1577111071,39,27
1577113003,34,26
1577114899,41,27
1577117070,50,35
1577119015,24,281
1577120921,16,60
1577122832,13,66
1577125020,14,63
1577127172,18,56
1577129105,23,466
1577131014,17,259
1577132935,14,58
1577135174,31,83
1577137000,139,55
1577138982,122,53
1577140852,97,41
1577142776,58,61
1577144664,64,52
1577146614,59,40
1577148502,75,46
1577150445,88,50
1577152434,85,194
1577154293,62,58
1577156222,60,39
1577158353,85,49
1577160295,73,40
1577162196,90,56
1577164106,66,60
1577166124,72,214
1577168241,76,765
1577170102,54,327
1577172044,67,44
1577173950,81,41
1577175887,62,38
1577177781,47,42
1577179964,74,59
1577181940,42,65
1577183804,70,59
1577185718,63,83
1577187642,56,46
1577189572,46,41
1577191465,46,45
1577193430,588,53
1577195326,415,51
1577197223,59,60
1577199188,55,60
1577201085,50,59
1577202988,59,109
1577204905,56,94
1577207121,55,21
1577208983,55,22
1577210954,35,21
1577212821,56,18
1577214756,56,24
1577216701,46,38
1577218847,81,107
1577220767,49,181
1577222666,55,68
1577224593,67,68
1577226537,50,86
1577228728,63,68
1577230599,86,49
1577232772,82,68
1577234663,59,63
1577236829,71,69
1577238739,36,73
1577240688,52,60
1577242593,50,54
1577244501,64,57
1577246721,65,88
1577248599,114,65
1577250555,42,66
1577252612,44,59
1577254587,52,72
1577256535,48,47
1577258456,36,60
1577260340,33,66
1577262256,55,59
1577264193,42,99
1577266097,55,60
1577268283,55,61
1577270451,60,69
1577272345,60,60
1577274335,50,121
1577276193,67,251
1577278338,46,342
1577280257,53,610
1577282199,53,287
1577284119,35,85
1577286337,128,58
1577288440,60,74
1577290595,55,63
1577292532,43,36
1577294426,47,51
1577296336,56,37
1577298295,54,49
1577300174,60,61
1577302402,337,55
1577304507,70,58
1577306417,64,76
1577308360,59,51
1577310258,48,50
1577312297,59,60
1577314341,72,65
1577316273,65,87
1577318198,60,64
1577320097,56,68
1577322982,92,95
1577324893,47,43
1577326814,72,47
1577328755,81,41
1577330674,61,57
1577332597,57,39
1577334756,36,250
1577336747,57,90
1577338606,53,51
1577340505,64,53
1577342417,56,48
1577344627,67,45
1577346499,56,42
1577348431,48,48
1577350382,39,50
1577352311,41,56
1577354238,51,47
1577356118,59,45
1577358370,61,63
1577360450,50,46
1577362369,47,51
1577364272,45,49
1577366181,48,39
