DateTime,Entries,UniqueIPs
1576975479,9520,9520
1576977412,9526,9526
1576979321,9542,9542
1576981244,9520,9520
1576983135,9498,9498
1576985069,9488,9488
1576987004,9489,9489
1576988897,9507,9507
1576992058,9506,9506
1576993933,9524,9524
1576995854,9542,9542
1576997818,9564,9564
1576999693,9581,9581
1577001751,9580,9580
1577003564,9605,9605
1577005520,9589,9589
1577007380,9562,9562
1577009322,9545,9545
1577011253,9532,9532
1577013155,9532,9532
1577015096,9521,9521
1577017004,9529,9529
1577019151,9545,9545
1577021069,9551,9551
1577023031,9558,9558
1577025166,9577,9577
1577027329,9575,9575
1577029302,9573,9573
1577031166,9743,9743
1577033070,9746,9746
1577035047,9730,9730
1577036912,9745,9745
1577038858,9760,9760
1577040772,9939,9939
1577042676,10851,10851
1577044622,11594,11594
1577046512,11584,11584
1577048735,11590,11590
1577050827,11580,11580
1577052747,11553,11553
1577054683,11552,11552
1577056609,11530,11530
1577058498,11507,11507
1577060449,11479,11479
1577062400,11458,11458
1577064273,11471,11471
1577066208,11493,11493
1577068112,11517,11517
1577070320,11508,11508
1577072432,11514,11514
1577074359,11520,11520
1577076344,11512,11512
1577078188,11498,11498
1577080341,11481,11481
1577082267,11479,11479
1577084209,11469,11469
1577086100,11461,11461
1577088337,11458,11458
1577090424,11435,11435
1577092343,11461,11461
1577094311,11480,11480
1577096204,11481,11481
1577098341,11517,11517
1577100270,11528,11528
1577102196,11523,11523
1577104122,11505,11505
1577107250,11387,11387
1577109148,11373,11373
1577111071,11385,11385
1577113003,11393,11393
1577114899,11407,11407
1577117070,11422,11422
1577119015,11165,11165
1577120921,11121,11121
1577122832,11068,11068
1577125020,11019,11019
1577127172,10981,10981
1577129105,10538,10538
1577131014,10296,10296
1577132935,10252,10252
1577135174,10200,10200
1577137000,10284,10284
1577138982,10353,10353
1577140852,10409,10409
1577142776,10406,10406
1577144664,10418,10418
1577146614,10437,10437
1577148502,10466,10466
1577150445,10504,10504
1577152434,10395,10395
1577154293,10399,10399
1577156222,10420,10420
1577158353,10456,10456
1577160295,10489,10489
1577162196,10523,10523
1577164106,10529,10529
1577166124,10387,10387
1577168241,9698,9698
1577170102,9425,9425
1577172044,9448,9448
1577173950,9488,9488
1577175887,9512,9512
1577177781,9517,9517
1577179964,9532,9532
1577181940,9509,9509
1577183804,9520,9520
1577185718,9500,9500
1577187642,9510,9510
1577189572,9515,9515
1577191465,9516,9516
1577193430,10051,10051
1577195326,10415,10415
1577197223,10414,10414
1577199188,10409,10409
1577201085,10400,10400
1577202988,10350,10350
1577204905,10312,10312
1577207121,10346,10346
1577208983,10379,10379
1577210954,10393,10393
1577212821,10431,10431
1577214756,10463,10463
1577216701,10471,10471
1577218847,10445,10445
1577220767,10313,10313
1577222666,10300,10300
1577224593,10299,10299
1577226537,10263,10263
1577228728,10258,10258
1577230599,10295,10295
1577232772,10309,10309
1577234663,10305,10305
1577236829,10307,10307
1577238739,10270,10270
1577240688,10262,10262
1577242593,10258,10258
1577244501,10265,10265
1577246721,10242,10242
1577248599,10291,10291
1577250555,10267,10267
1577252612,10252,10252
1577254587,10232,10232
1577256535,10233,10233
1577258456,10209,10209
1577260340,10176,10176
1577262256,10172,10172
1577264193,10115,10115
1577266097,10110,10110
1577268283,10104,10104
1577270451,10095,10095
1577272345,10095,10095
1577274335,10024,10024
1577276193,9840,9840
1577278338,9544,9544
1577280257,8987,8987
1577282199,8753,8753
1577284119,8703,8703
1577286337,8773,8773
1577288440,8759,8759
1577290595,8751,8751
1577292532,8758,8758
1577294426,8754,8754
1577296336,8773,8773
1577298295,8778,8778
1577300174,8777,8777
1577302402,9059,9059
1577304507,9071,9071
1577306417,9059,9059
1577308360,9067,9067
1577310258,9065,9065
1577312297,9064,9064
1577314341,9071,9071
1577316273,9049,9049
1577318198,9045,9045
1577320097,9033,9033
1577322982,9030,9030
1577324893,9034,9034
1577326814,9059,9059
1577328755,9099,9099
1577330674,9103,9103
1577332597,9121,9121
1577334756,8907,8907
1577336747,8874,8874
1577338606,8876,8876
1577340505,8887,8887
1577342417,8895,8895
1577344627,8917,8917
1577346499,8931,8931
1577348431,8931,8931
1577350382,8920,8920
1577352311,8905,8905
1577354238,8909,8909
1577356118,8923,8923
1577358370,8921,8921
1577360450,8925,8925
1577362369,8921,8921
1577364272,8917,8917
1577366181,8926,8926
1577368143,8896,8896
1577370060,8901,8901
1577371965,8755,8755
1577373877,8745,8745
1577375780,8749,8749
1577377963,8870,8870
1577379839,8861,8861
1577382065,8846,8846
1577383968,8856,8856
1577385861,8859,8859
1577387806,8820,8820
1577389738,8831,8831
1577391620,8814,8814
1577393573,8812,8812
1577395469,8808,8808
1577397390,8806,8806
1577399307,8832,8832
1577401549,8805,8805
1577403378,8805,8805
1577405562,8792,8792
1577407459,8792,8792
1577409402,8782,8782
1577411300,8792,8792
1577413219,8750,8750
1577415172,8418,8418
1577417063,7963,7963
1577419000,7849,7849
1577420899,7855,7855
1577423138,7849,7849
1577425235,7880,7880
1577427140,7873,7873
1577429079,7880,7880
1577430982,7870,7870
1577433148,7893,7893
1577435061,7902,7902
1577436994,7904,7904
1577438896,7534,7534
1577441140,7059,7059
1577443223,6490,6490
1577445395,5959,5959
1577447548,5426,5426
1577449495,4916,4916
1577451393,4741,4741
1577453302,4754,4754
1577455518,4748,4748
1577457402,4758,4758
1577459343,4790,4790
1577461265,4821,4821
1577463157,4606,4606
1577465087,4608,4608
1577467008,4620,4620
1577468913,4644,4644
1577470861,4670,4670
1577472764,4681,4681
1577474697,4702,4702
1577476585,4686,4686
1577478502,4679,4679
1577480679,4654,4654
1577482583,4660,4660
1577484529,4652,4652
1577486418,4655,4655
1577488350,4660,4660
1577490281,4659,4659
1577492193,4674,4674
1577494098,4644,4644
1577496035,4491,4491
1577497937,4171,4171
1577499861,4173,4173
1577501800,4176,4176
1577503705,4181,4181
1577505839,4184,4184
1577508027,4190,4190
1577509951,4205,4205
1577511854,4230,4230
1577513788,4239,4239
1577515705,4228,4228
1577517614,4230,4230
1577519541,4216,4216
1577521463,4213,4213
1577523381,4235,4235
1577525301,4240,4240
1577527365,4211,4211
1577529196,4186,4186
1577531095,4197,4197
1577533004,4189,4189
1577535200,4181,4181
1577537056,4178,4178
1577538991,4180,4180
1577540899,4171,4171
1577542821,4177,4177
1577544745,4188,4188
1577546659,4204,4204
1577548570,4199,4199
1577550501,4192,4192
1577552533,4190,4190
1577554352,4194,4194
1577556292,4155,4155
1577558439,4144,4144
1577560350,4152,4152
1577562277,4117,4117
1577564177,4129,4129
1577566342,4115,4115
1577568265,4126,4126
1577570303,4117,4117
1577572375,4131,4131
1577574330,4128,4128
1577576218,4131,4131
1577578120,4120,4120
1577580032,4120,4120
1577581959,4148,4148
1577583858,4157,4157
1577585799,4154,4154
1577587695,4142,4142
1577589656,4147,4147
1577591562,4136,4136
1577593480,4141,4141
1577595386,4146,4146
1577597297,4118,4118
1577599510,4090,4090
1577601394,4096,4096
1577603318,4112,4112
1577605218,4107,4107
1577607412,4110,4110
1577609294,4126,4126
1577611215,4139,4139
1577613162,4152,4152
1577615067,4145,4145
1577617006,4143,4143
1577618894,4160,4160
1577621086,4196,4196
1577623276,4591,4591
1577625163,4820,4820
1577627055,5445,5445
1577629124,5452,5452
1577631009,5462,5462
1577633085,5457,5457
1577634974,5455,5455
1577636901,5450,5450
1577639089,5463,5463
1577640995,5455,5455
1577642904,5448,5448
