DateTime,AddedIPs,RemovedIPs
1577544995,4,1
1577545940,4,1
1577546648,6,1
1577547372,0,3
1577548087,5,1
1577548822,1,2
1577549781,4,5
1577550490,4,1
1577551216,4,4
1577551926,3,4
1577552899,3,4
1577553608,0,3
1577554339,2,2
1577555056,2,2
1577555768,1,3
1577556508,1,3
1577557233,1,4
1577557950,1,2
1577558663,1,2
1577559379,1,0
1577560100,2,2
1577560821,4,7
1577561559,3,2
1577562261,0,2
1577562982,0,1
1577563700,2,1
1577564419,1,0
1577565157,0,1
1577565867,4,1
1577566584,4,2
1577567308,1,2
1577568018,1,1
1577568751,0,5
1577569492,3,0
1577570178,3,2
1577571155,0,7
1577571865,3,0
1577572583,3,1
1577573302,1,3
1577574020,0,5
1577574992,4,1
1577575706,2,1
1577576668,1,3
1577577376,3,2
1577578578,6,5
1577579287,2,4
1577580009,6,2
1577580729,5,9
1577581458,1,3
1577582181,2,1
1577582890,3,3
1577583610,8,6
1577584332,2,4
1577585308,3,5
1577586008,9,6
1577586739,8,3
1577587448,10,8
1577588170,5,11
1577588887,4,5
1577589607,5,8
1577590336,4,5
1577591049,6,4
1577591775,6,2
1577592517,4,14
1577593460,5,4
1577594180,3,2
1577594900,5,5
1577595620,3,5
1577596371,3,3
1577597059,1,2
1577597781,4,0
1577598500,1,1
1577599226,6,3
1577599956,2,2
1577600670,1,8
1577601379,4,4
1577602103,1,1
1577602818,3,2
1577604268,3,1
1577604982,1,1
1577605704,1,2
1577606422,2,0
1577607390,4,3
1577608099,2,4
1577608826,4,2
1577609549,3,1
1577610273,2,1
1577610982,4,4
1577611701,3,4
1577612425,5,0
1577613146,4,2
1577614107,6,5
1577614817,2,0
1577615561,4,2
1577616264,3,2
1577616988,0,4
1577617698,2,0
1577618424,1,5
1577619147,1,5
1577619868,1,0
1577620579,2,9
1577621308,2,5
1577622017,4,0
1577622747,1,3
1577623463,3,5
1577624432,5,1
1577625147,3,1
1577625859,3,1
1577626581,1,3
1577627300,5,0
1577628017,2,3
1577629001,0,5
1577629698,1,2
1577630421,2,5
1577631143,1,1
1577632116,1,1
1577633063,3,0
1577633779,3,1
1577634498,2,5
1577635228,2,1
1577636447,5,5
1577637145,0,2
1577637860,5,4
1577638576,2,3
1577639311,1,3
1577640271,3,0
1577640980,0,1
1577641702,2,0
1577642439,1,0
1577643147,2,2
1577643859,1,2
1577644583,3,1
1577645302,4,3
1577646017,4,3
1577646750,1,4
1577647461,1,3
1577648191,5,2
1577648901,2,3
1577649623,0,2
1577650343,1,4
1577651062,2,8
1577651779,1,2
1577652505,1,3
1577653223,1,4
1577654188,1,0
1577654905,4,0
1577655624,1,1
1577656343,2,2
1577657312,4,5
1577658017,3,0
1577658754,5,5
1577659464,3,0
1577660177,6,0
1577661150,3,3
1577661865,2,2
1577662590,2,3
1577663305,3,2
1577664033,0,1
1577664748,3,4
1577665458,1,5
