DateTime,Entries,UniqueIPs
1577267321,9404,9404
1577268612,9403,9403
1577270535,9399,9399
1577272219,9409,9409
1577274145,9414,9414
1577275811,9417,9417
1577277740,9414,9414
1577278570,9422,9422
1577279709,9420,9420
1577281215,9409,9409
1577282730,9411,9411
1577283860,9413,9413
1577284936,9401,9401
1577286301,9401,9401
1577287691,9402,9402
1577290211,9396,9396
1577291411,9393,9393
1577292139,9392,9392
1577293643,9391,9391
1577295308,9392,9392
1577296837,9394,9394
1577297650,9399,9399
1577301249,9347,9347
1577302944,9334,9334
1577304850,9328,9328
1577305689,9330,9330
1577306540,9302,9302
1577307368,9308,9308
1577308451,9308,9308
1577309288,9316,9316
1577310608,9321,9321
1577311249,9314,9314
1577312387,9328,9328
1577313615,9311,9311
1577314569,9318,9318
1577315714,9319,9319
1577317361,9311,9311
1577318170,9315,9315
1577319310,9306,9306
1577320941,9298,9298
1577322101,9292,9292
1577323216,9300,9300
1577324541,9289,9289
1577326449,9291,9291
1577327290,9297,9297
1577328968,9285,9285
1577330111,9282,9282
1577331740,9304,9304
1577333029,9281,9281
1577334491,9285,9285
1577337018,9272,9272
1577338212,9284,9284
1577340259,9278,9278
1577341811,9276,9276
1577343887,7967,7967
1577345288,9265,9265
1577346149,9268,9268
1577348050,9293,9293
1577349276,9284,9284
1577351648,9279,9279
1577352490,9288,9288
1577353342,9285,9285
1577355248,9284,9284
1577356508,9282,9282
1577357770,9283,9283
1577358911,9274,9274
1577360426,9269,9269
1577362210,9265,9265
1577365611,9250,9250
1577366890,9252,9252
1577369650,9254,9254
1577371038,9247,9247
1577373012,9240,9240
1577374174,9230,9230
1577374940,9232,9232
1577376604,9235,9235
1577377688,9237,9237
1577378539,9238,9238
1577379370,9241,9241
1577381288,9246,9246
1577382138,9226,9226
1577382968,9229,9229
1577384058,9228,9228
1577385620,9227,9227
1577387658,9236,9236
1577389155,9222,9222
1577390951,9223,9223
1577392210,9221,9221
1577394610,9228,9228
1577396428,9221,9221
1577398009,7967,7967
1577398448,9232,9232
1577399290,9241,9241
1577400910,9235,9235
1577402049,9233,9233
1577403740,9237,9237
1577405651,9237,9237
1577407339,9236,9236
1577408168,9240,9240
1577410090,9239,9239
1577411715,9228,9228
1577412850,9226,9226
1577413689,9234,9234
1577414543,9235,9235
1577416210,9238,9238
1577417292,9241,9241
1577418908,9251,9251
1577420113,9246,9246
1577421744,9234,9234
1577423380,9236,9236
1577424488,9242,9242
1577425810,9239,9239
1577427009,9233,9233
1577428930,9236,9236
1577430605,7967,7967
1577431690,9247,9247
1577433009,9253,9253
1577434218,9256,9256
1577435411,9250,9250
1577436970,9258,9258
1577438050,9256,9256
1577439622,9246,9246
1577441650,9248,9248
1577442905,7967,7967
1577444058,9236,9236
1577444170,9237,9237
1577445310,9232,9232
1577446431,9228,9228
1577447770,9228,9228
1577448912,9230,9230
1577450054,9244,9244
1577451762,9253,9253
1577452892,9259,9259
1577454047,9261,9261
1577455818,9278,9278
1577457011,9278,9278
1577458508,9284,9284
1577459711,9279,9279
1577461344,9284,9284
1577463250,9292,9292
1577464946,9298,9298
1577465768,9305,9305
1577467714,9306,9306
1577468556,9302,9302
