DateTime,AddedIPs,RemovedIPs
1576876213,1,1
1576877413,1,1
1576879190,1,3
1576882570,0,3
1576883713,1,0
1576890612,0,3
1576891694,1,0
1576892541,0,1
1576903338,2,0
1576904172,1,0
1576910541,1,2
1576916894,1,0
1576917737,0,2
1576921220,1,0
1576923252,1,0
1576924817,1,0
1576926851,1,0
1576928539,0,1
1576930452,1,0
1576933053,1,2
1576934416,1,1
1576938632,2,0
1576943771,0,10
1576944912,1,0
1576948514,2,0
1576951813,0,1
1576953014,0,7
1576955650,0,1
1576957220,0,1
1576959020,1,0
1576960939,1,0
1576963691,1,0
1576965374,1,2
1576966450,1,0
1576969241,2,1
1576970893,4,0
1576972122,0,2
1576973649,0,2
1576975341,0,2
1576978938,2,1
1576984013,2,1
1576985291,0,1
1576987812,1,0
1576991650,2,1
1576996932,0,1
1576998616,1,0
1577000531,4,0
1577002057,0,1
1577003414,3,1
1577004913,1,0
1577008571,1,0
1577009652,1,1
1577011106,0,2
1577012171,1,0
1577016851,0,1
1577018413,1,0
1577020214,1,0
1577021414,0,1
1577022970,6,0
1577026572,2,1
1577029213,1,9
1577030720,0,1
1577033761,1,1
1577034913,0,1
1577036532,0,1
1577040020,2,1
1577041812,0,2
1577044510,1,0
1577047213,1,2
1577049013,1,1
1577050214,2,0
1577051411,0,1
1577053691,0,1
1577055012,1,1
1577058020,1,1
1577059230,0,1
1577063271,1,0
1577064470,0,1
1577065330,2,0
1577067252,5,0
1577068934,0,1
1577070854,4,1
1577072532,1,1
1577074454,2,3
1577077290,2,0
1577078414,7,0
1577079615,4,1
1577081341,6,1
1577082613,9,1
1577083332,5,1
1577085012,6,1
1577086213,10,2
1577088853,16,0
1577090415,8,1
1577091632,10,1
1577092815,10,0
1577094014,18,1
1577095299,8,0
1577096411,7,0
1577097616,8,1
1577099421,12,1
1577101335,14,2
1577102170,3,1
1577104091,19,1
1577105772,14,3
1577106913,4,0
1577108417,1,4
1577110451,0,1
1577111559,0,1
1577114050,1,0
1577115312,0,1
1577118911,0,2
1577120172,1,1
1577121312,2,1
1577122934,1,1
1577123771,0,1
1577125691,1,0
1577127085,1,0
1577128213,0,3
1577130132,0,3
1577133731,1,3
1577135415,0,4
1577136493,1,1
1577137336,1,1
1577138846,0,3
1577140215,0,4
1577142131,0,4
1577143812,1,2
1577145637,1,1
1577146819,1,2
1577148017,1,1
1577150051,0,2
1577150891,1,1
1577153650,0,2
1577154912,1,0
1577157012,1,4
1577158093,1,1
1577159411,0,2
1577161691,0,1
1577164222,0,5
1577166613,1,0
1577168891,0,1
1577170392,0,4
1577171652,0,2
1577173340,1,3
1577175251,3,4
1577176514,1,1
1577178612,27,1
1577179812,2,0
1577182185,0,1
1577184197,1,1
1577185688,0,2
1577186890,1,0
1577188044,2,0
1577189259,0,2
1577191811,1,0
1577194943,0,3
1577196176,1,0
1577197813,1,1
1577199010,0,1
1577200213,0,1
1577202024,1,8
1577204115,0,1
1577207304,2,0
1577208614,1,0
1577211012,2,0
1577212944,0,1
1577214612,0,1
1577218454,2,2
1577222051,1,0
1577223746,0,1
1577225650,1,0
1577226490,1,1
1577228396,0,1
1577230963,0,1
1577232850,0,1
1577234418,0,1
1577236824,0,5
1577238611,0,1
1577239820,0,2
1577241013,0,2
1577241746,0,1
1577243651,0,3
1577245349,0,2
1577247251,4,0
1577248946,0,4
1577250621,0,1
1577251691,1,0
1577253012,1,9
1577254452,0,1
1577256025,0,7
1577257814,0,4
1577259752,0,7
1577261651,0,5
1577263349,0,18
1577264818,0,7
1577266214,0,8
1577267323,0,6
1577268615,0,7
1577270541,0,15
1577272221,0,8
1577274156,0,15
1577275813,1,6
1577277751,0,3
1577281226,1,0
1577282741,1,0
1577283872,0,1
1577284948,1,0
1577287693,1,0
1577290213,0,4
1577291414,0,2
1577293645,1,0
1577295312,0,1
1577296852,1,0
1577297652,44,0
1577301251,1,0
1577302957,2,0
1577305691,1,0
1577306552,1,1
1577307371,1,0
1577309290,1,0
1577313629,0,1
1577314571,2,1
1577315717,1,0
1577317374,1,2
1577320952,0,1
1577324554,1,0
1577326452,0,1
1577327292,0,1
1577328970,1,0
1577333044,1,0
1577334493,1,0
1577337020,0,1
1577338214,1,0
1577340273,3,1
1577341814,4,0
1577343929,17,1
1577345290,4,0
1577346163,6,1
1577348053,16,0
1577349279,0,1
1577351651,6,2
1577352492,1,0
1577355250,1,0
1577362212,0,1
1577365632,1,0
1577366892,1,0
1577369653,0,2
1577373015,2,0
1577374176,0,25
1577376608,0,1
1577377691,1,1
1577378555,1,2
1577381291,2,2
1577382156,0,1
1577389157,1,0
1577390954,0,2
1577396445,1,1
1577398451,0,1
1577399292,0,1
1577407370,1,0
1577410092,0,1
1577411717,1,0
1577413692,1,0
1577416213,1,0
1577418911,0,1
1577421762,0,2
1577423382,1,0
1577424491,1,0
1577428932,0,1
1577431692,0,1
1577433011,1,0
1577434220,0,1
1577441653,1,1
1577444061,1,0
1577445313,0,1
1577450056,1,1
1577451781,0,2
1577452911,1,1
1577454066,0,3
1577457015,0,2
1577459715,0,1
1577463252,1,5
1577464971,0,1
1577467735,1,0
1577468575,0,48
1577470451,0,2
1577471325,1,0
1577472912,1,2
1577474080,1,0
1577475785,0,2
1577476572,1,0
1577477651,0,2
1577479384,1,1
1577481251,1,0
1577484852,1,2
1577486006,0,1
1577488837,1,0
1577493790,0,1
1577494915,0,1
1577497251,0,1
1577498849,0,2
1577500125,1,0
1577502851,5,1
1577507330,2,0
1577508973,1,0
1577510052,1,1
1577511775,0,6
1577513712,0,7
1577515334,0,6
1577517250,0,7
1577518967,1,7
1577520912,0,3
1577522448,1,5
1577524229,2,1
1577529202,1,0
1577529775,2,0
1577531314,0,1
1577532659,1,0
1577535042,1,0
1577536846,0,1
1577542513,0,1
1577544173,0,1
1577547078,0,3
1577549652,0,1
1577551244,0,1
1577552173,2,0
1577553304,1,0
1577556660,1,1
1577559150,0,1
1577560503,1,1
1577564053,2,0
1577564934,1,0
1577566571,0,1
1577567715,0,1
1577568914,3,0
1577571251,1,0
1577572848,1,2
1577574913,1,1
1577575791,3,0
1577578516,0,1
1577579864,1,0
1577582052,1,0
1577583016,0,3
1577584510,1,0
1577589253,0,1
1577592664,1,0
1577593741,1,0
1577595173,0,1
1577596451,1,1
1577601082,1,0
1577602570,1,0
1577603651,0,2
1577606201,1,0
1577615394,0,1
1577619795,0,1
1577621651,1,1
1577624171,0,1
1577625312,5,0
1577628911,0,1
1577630130,2,0
1577634014,0,4
1577636055,1,1
1577637732,1,0
1577640016,1,0
1577641170,0,1
1577642429,0,3
1577643550,1,0
1577646029,1,1
1577648876,0,1
1577650452,1,0
1577651712,0,1
1577654052,1,0
1577657414,0,2
1577659332,2,0
1577661251,1,1
1577662815,1,0
1577664613,0,1
1577667824,1,0
1577669414,0,1
1577671821,0,2
1577673733,1,4
1577675651,2,1
1577677334,0,1
1577679014,1,1
1577680931,3,1
1577682852,1,1
1577685370,1,0
1577686512,1,0
1577687833,0,1
1577688970,1,0
1577690053,2,0
1577693650,2,1
1577695334,4,2
1577696778,2,0
1577697910,0,1
1577698932,2,2
1577702414,0,1
1577703941,1,0
1577704452,0,1
1577706133,2,0
1577708891,2,1
1577709733,1,1
1577710571,5,0
1577711712,4,0
1577712852,0,1
1577714112,12,0
1577715251,1,0
1577718240,1,1
1577722452,1,1
1577725229,0,2
1577726414,0,1
1577729413,1,0
1577732303,0,3
1577734930,0,1
1577735770,0,1
1577740114,3,3
1577741415,4,2
1577742549,3,1
1577745735,9,2
1577747651,2,0
1577748492,1,0
1577756960,2,0
1577758221,1,0
1577761816,2,1
1577766494,2,0
1577767704,1,1
1577775377,1,0
1577776512,1,0
1577778132,1,0
1577783123,0,1
1577784613,2,0
1577788090,0,1
1577792530,1,0
1577796134,1,0
1577798051,1,0
1577798890,1,0
1577800306,1,0
1577801420,1,1
1577805315,3,0
1577807710,0,6
1577812221,2,1
1577816050,0,1
1577816893,1,0
1577820613,0,1
1577821905,1,0
1577823020,0,2
1577827690,1,0
1577828896,1,1
1577830451,1,2
1577832974,1,0
1577837715,1,0
1577842934,0,2
1577844621,1,1
1577845692,1,0
1577850132,0,1
1577853733,0,2
1577856875,0,1
1577859013,1,1
1577860212,0,1
1577861788,0,1
1577866452,0,1
1577868137,0,1
1577870054,1,1
1577875333,1,1
1577878818,0,1
1577880851,0,2
1577883370,1,7
1577884515,0,12
1577886132,0,1
1577893330,1,7
1577895314,1,1
1577898155,2,0
1577906051,3,0
1577909148,0,3
1577911213,0,3
1577913013,0,3
1577915771,2,10
1577918533,0,2
1577920220,1,0
1577921293,1,0
1577922622,0,1
1577925995,0,1
1577927651,0,1
1577931313,0,2
1577932931,1,0
1577934854,1,0
1577936113,0,1
1577937373,0,1
1577938454,1,1
1577942050,1,0
1577943614,1,0
1577946492,1,2
1577949251,1,0
1577952621,4,0
1577953728,0,1
1577956450,1,0
1577958133,0,1
1577960051,1,0
1577963715,1,0
