DateTime,Entries,UniqueIPs
1577259763,1405,1405
1577261653,1408,1408
1577263358,1398,1398
1577264819,1406,1406
1577266215,1407,1407
1577267326,1412,1412
1577268617,1410,1410
1577270544,1407,1407
1577272223,1417,1417
1577274165,1422,1422
1577275816,1425,1425
1577277760,1422,1422
1577278575,1430,1430
1577279713,1427,1427
1577281236,1416,1416
1577282742,1418,1418
1577283879,1420,1420
1577284957,1408,1408
1577286333,1408,1408
1577287695,1409,1409
1577290215,1403,1403
1577291416,1400,1400
1577292155,1398,1398
1577293647,1398,1398
1577295315,1397,1397
1577297654,1404,1404
1577301253,1353,1353
1577302967,1340,1340
1577304854,1334,1334
1577305692,1336,1336
1577306563,1310,1310
1577307372,1316,1316
1577308455,1316,1316
1577309292,1324,1324
1577310612,1329,1329
1577311806,1327,1327
1577312966,1324,1324
1577314096,1325,1325
1577314573,1328,1328
1577315718,1329,1329
1577317385,1321,1321
1577318173,1325,1325
1577319314,1317,1317
1577320963,1308,1308
1577322132,1302,1302
1577323240,1310,1310
1577324560,1299,1299
1577326454,1301,1301
1577327294,1307,1307
1577328972,1294,1294
1577330115,1290,1290
1577331772,1311,1311
1577333059,1289,1289
1577334495,1293,1293
1577337022,1280,1280
1577338216,1292,1292
1577340284,1286,1286
1577341815,1284,1284
1577343941,1269,1269
1577345292,1273,1273
1577346175,1276,1276
1577348055,1300,1300
1577349281,1291,1291
1577351653,1287,1287
1577352494,1296,1296
1577353374,1293,1293
1577355252,1291,1291
1577356512,1287,1287
1577357774,1288,1288
1577358916,1279,1279
1577360452,1274,1274
1577362214,1271,1271
1577365641,1256,1256
1577366893,1258,1258
1577369655,1260,1260
1577371042,1253,1253
1577373016,1246,1246
1577374179,1236,1236
1577374967,1239,1239
1577376610,1239,1239
1577377693,1241,1241
1577378568,1243,1243
1577379374,1246,1246
1577381292,1251,1251
1577382170,1232,1232
1577382972,1235,1235
1577384062,1235,1235
1577385653,1234,1234
1577387662,1243,1243
1577389159,1229,1229
1577390957,1230,1230
1577392215,1228,1228
1577394615,1235,1235
1577396461,1228,1228
1577398037,1233,1233
1577398454,1239,1239
1577399294,1248,1248
1577400914,1242,1242
1577402054,1240,1240
1577403769,1244,1244
1577405655,1244,1244
1577407387,1243,1243
1577408172,1247,1247
1577410094,1246,1246
1577411719,1235,1235
1577412855,1233,1233
1577413693,1241,1241
1577414576,1241,1241
1577416215,1243,1243
1577417296,1246,1246
1577418913,1256,1256
1577420118,1251,1251
1577421777,1239,1239
1577423384,1241,1241
1577424492,1247,1247
1577425814,1244,1244
1577427013,1238,1238
1577428934,1240,1240
1577430611,1246,1246
1577431694,1251,1251
1577433013,1257,1257
1577434222,1260,1260
1577435415,1254,1254
1577436974,1263,1263
1577438054,1261,1261
1577439681,1252,1252
1577440573,1256,1256
1577441654,1254,1254
1577442910,1240,1240
1577444063,1242,1242
1577444174,1243,1243
1577445315,1237,1237
1577446435,1234,1234
1577447774,1234,1234
1577448917,1236,1236
1577450058,1251,1251
1577451796,1260,1260
1577452926,1266,1266
1577454083,1268,1268
1577455824,1285,1285
1577457017,1285,1285
1577458512,1291,1291
1577459716,1287,1287
1577461365,1291,1291
1577463254,1299,1299
1577464991,1305,1305
1577465773,1312,1312
1577467765,1308,1308
1577468591,1309,1309
1577470453,1327,1327
1577471327,1332,1332
1577472913,1326,1326
1577474082,1333,1333
1577475803,1347,1347
1577476574,1351,1351
1577477653,1357,1357
1577479400,1346,1346
1577481253,1351,1351
1577482875,1333,1333
1577484854,1339,1339
1577486007,1328,1328
1577487541,1325,1325
1577488854,1337,1337
1577490065,1327,1327
1577492057,1331,1331
1577493808,1331,1331
1577494933,1334,1334
1577496064,1345,1345
1577497270,1347,1347
1577498867,1350,1350
1577500142,1362,1362
1577502854,1345,1345
1577504449,1411,1411
1577505373,1369,1369
1577507365,1342,1342
1577508189,1349,1349
1577508975,1361,1361
1577510054,1356,1356
1577512572,1355,1355
1577513714,1359,1359
1577515336,1364,1364
1577517253,1339,1339
1577518990,1349,1349
1577519773,1356,1356
1577520914,1355,1355
1577522466,1348,1348
1577524231,1348,1348
1577525465,1351,1351
1577526193,1350,1350
1577527453,1359,1359
1577529204,1365,1365
1577529793,1367,1367
1577531332,1385,1385
1577532661,1382,1382
1577533389,1392,1392
1577535044,1395,1395
1577536864,1396,1396
1577538181,1385,1385
1577539410,1392,1392
1577541384,1399,1399
1577542514,1398,1398
1577544195,1402,1402
1577545820,1413,1413
1577547087,1411,1411
1577547807,1416,1416
1577549654,1418,1418
1577551268,1422,1422
1577552175,1423,1423
1577553306,1418,1418
1577554507,1413,1413
1577556662,1414,1414
1577557845,1417,1417
1577559152,1430,1430
1577560508,1425,1425
1577561368,1418,1418
1577562669,1435,1435
1577564055,1438,1438
1577564954,1442,1442
1577566573,1457,1457
1577567717,1461,1461
1577568916,1449,1449
1577570115,1453,1453
1577571253,1449,1449
1577572872,1435,1435
1577573773,1438,1438
1577575812,1426,1426
1577577090,1432,1432
1577578518,1434,1434
1577579866,1433,1433
1577582054,1435,1435
1577583044,1426,1426
1577584512,1431,1431
1577585715,1432,1432
1577587582,1416,1416
1577588173,1417,1417
1577589255,1416,1416
1577590869,1429,1429
1577592686,1417,1417
1577593771,1405,1405
1577595174,1404,1404
1577596453,1398,1398
1577597387,1396,1396
1577598205,1397,1397
1577599908,1380,1380
1577601110,1376,1376
1577602572,1379,1379
1577603653,1367,1367
1577604832,1369,1369
1577606203,1369,1369
1577607313,1366,1366
1577608459,1364,1364
1577609714,1365,1365
1577610889,1357,1357
1577612357,1341,1341
1577614013,1340,1340
1577615410,1342,1342
1577616204,1345,1345
1577617666,1336,1336
1577618976,1325,1325
1577619823,1323,1323
1577621653,1308,1308
1577623418,1313,1313
1577624173,1315,1315
1577625314,1304,1304
1577626512,1310,1310
1577627720,1312,1312
1577628913,1312,1312
1577630131,1307,1307
1577631631,1301,1301
1577632816,1309,1309
1577634016,1299,1299
1577636057,1296,1296
1577637734,1293,1293
1577638831,1289,1289
1577640019,1296,1296
1577641172,1284,1284
1577642431,1281,1281
1577643552,1286,1286
1577645114,1274,1274
1577646031,1268,1268
1577647215,1270,1270
1577648878,1253,1253
1577650453,1251,1251
1577651714,1248,1248
1577654054,1247,1247
1577657416,1242,1242
1577659335,1231,1231
1577661254,1236,1236
1577662819,1228,1228
1577664614,1225,1225
1577666533,1208,1208
1577667826,1207,1207
1577669416,1206,1206
