DateTime,AddedIPs,RemovedIPs
1577261647,29,38
1577263331,27,47
1577264814,34,18
1577266206,31,42
1577267319,20,24
1577268610,54,42
1577270529,31,97
1577272217,28,45
1577274137,44,98
1577275808,32,57
1577277733,45,63
1577278567,16,2
1577279706,32,44
1577281209,38,94
1577282723,39,54
1577283852,31,6
1577284930,28,107
1577286291,25,114
1577287689,34,4
1577290207,48,121
1577291406,25,49
1577292132,20,18
1577293640,39,25
1577295306,25,31
1577296828,40,26
1577297647,12,1
1577301247,65,67
1577302937,60,43
1577304847,36,15
1577305687,17,3
1577306533,18,73
1577307367,18,1
1577308446,20,36
1577309286,14,3
1577310606,19,68
1577311241,13,40
1577312385,15,0
1577313607,15,45
1577314567,21,2
1577315709,17,31
1577317354,37,67
1577318167,17,1
1577319307,24,31
1577320933,27,48
1577322093,23,40
1577323209,20,6
1577324533,26,35
1577326447,30,26
1577327287,17,4
1577328966,50,74
1577330108,25,33
1577331734,32,98
1577333021,43,38
1577334488,36,4
1577337016,57,91
1577338209,18,46
1577340253,48,49
1577341807,29,51
1577343883,42,45
1577345286,20,1
1577346141,12,52
1577348046,23,39
1577349274,24,37
1577351646,62,21
1577352486,20,1
1577353333,15,48
1577355246,40,26
1577356506,55,42
1577357768,14,17
1577358906,24,21
1577360417,34,41
1577362208,34,46
1577365603,65,72
1577366887,22,4
1577369648,62,143
1577371036,23,27
1577373010,39,35
1577374171,22,39
1577374935,13,11
1577376059,17,17
1577377209,27,4
1577377687,9,1
1577378533,16,89
1577379367,16,3
1577381286,49,69
1577382133,45,46
1577382966,21,2
1577384056,19,37
1577385614,40,88
1577387657,43,24
1577389153,40,45
1577390946,43,27
1577392206,31,32
1577394605,39,31
1577396413,30,44
1577398446,34,24
1577399288,25,2
1577400906,34,63
1577402047,19,23
1577403734,25,47
1577405646,27,30
1577407333,33,50
1577408166,7,2
1577410086,31,25
1577411711,29,58
1577412848,30,33
1577413688,17,1
1577414535,14,45
1577416207,37,31
1577417290,21,2
1577418906,39,54
1577420110,23,14
1577421737,26,38
1577423378,14,58
1577424486,19,0
1577425807,20,42
1577427007,21,24
1577428926,24,37
1577431687,46,21
1577433006,18,36
1577434216,21,27
1577435408,19,36
1577436966,27,11
1577438046,14,33
1577439614,36,80
1577441648,52,32
1577444168,47,50
1577445307,45,28
1577446429,27,42
1577447766,19,15
1577448907,19,28
1577450052,20,51
1577451756,28,30
1577452889,26,5
1577454035,36,40
1577455817,34,27
1577457007,22,43
1577458506,38,13
1577459707,32,30
1577461337,41,32
1577463247,24,23
1577464940,40,49
1577465767,16,2
1577467704,44,33
1577468543,19,47
1577470446,33,27
1577471298,9,2
1577472907,30,63
1577474076,32,28
1577475755,32,39
1577476566,12,0
1577477646,20,37
1577479346,31,46
1577480166,14,3
1577481246,13,24
1577482810,28,36
1577483908,25,29
1577484847,20,2
1577486001,31,38
1577487534,28,35
1577488810,20,6
1577490010,29,51
1577492051,42,22
1577493756,37,31
1577494887,19,23
1577496016,23,1
1577497217,19,53
1577498819,32,29
1577500096,12,3
1577502847,33,80
1577505367,109,64
1577506506,20,21
1577507296,16,1
1577508140,22,52
1577508967,15,0
1577510047,23,33
1577511737,30,48
1577512566,21,3
1577513707,31,24
1577515329,24,37
1577517246,23,17
1577518937,26,40
1577519767,23,1
1577520907,21,37
1577522410,31,49
1577524219,23,22
1577526138,38,63
1577527381,12,33
1577529198,45,44
1577529741,11,12
1577530840,19,29
1577532011,69,0
1577533340,39,44
1577535025,51,25
1577536811,27,51
1577536994,2,0
1577538134,16,20
1577539361,38,1
1577540536,20,51
1577541378,12,2
1577542508,7,23
1577544137,29,43
1577545758,16,17
1577547747,46,56
1577549647,50,25
1577551211,50,66
1577552442,21,42
1577555469,55,52
1577556655,17,21
1577557804,18,45
1577560499,44,42
1577561298,21,2
1577562659,28,57
1577564047,31,23
1577564902,26,3
1577566566,28,40
1577567707,17,27
1577568907,17,39
1577570109,24,17
1577571246,15,18
1577572806,19,49
1577573766,17,1
1577574906,21,23
1577577083,32,40
1577578509,20,17
1577579846,28,29
1577581820,40,49
1577582047,2,0
1577582969,10,40
1577584506,31,11
1577585709,22,25
1577587524,23,49
1577588167,8,2
1577589247,26,27
1577590807,18,63
1577592621,96,30
1577593695,26,3
1577595168,29,23
1577596447,15,23
1577597299,13,2
1577598136,18,39
1577599832,25,24
1577601027,19,31
1577602566,25,4
1577603646,19,29
1577604826,18,37
1577606196,19,11
1577607306,11,24
1577608453,21,34
1577610031,36,33
1577611211,14,0
1577612350,19,54
1577613946,21,42
1577615340,23,3
1577616142,12,32
1577617607,27,38
1577618902,35,1
1577619759,12,35
1577621647,26,23
1577623359,28,57
1577624166,16,1
1577625306,17,49
1577626506,12,37
1577627715,18,17
1577628907,24,29
1577630126,16,40
1577631623,22,29
1577632810,14,5
1577634008,20,51
1577636049,27,28
1577637727,21,42
1577638823,12,28
1577640010,31,5
1577641166,22,28
1577642423,21,33
1577643542,20,0
1577645106,26,47
1577646023,15,30
1577647209,27,1
1577648872,32,48
1577650446,19,20
1577651707,12,25
1577654047,47,37
1577657409,54,50
1577659328,35,52
1577661247,25,29
1577662807,26,42
1577664607,28,29
1577664852,7,1
1577666527,38,33
1577667820,32,28
1577669408,26,32
1577671816,43,43
1577673728,39,102
1577675647,33,13
1577677327,33,51
1577679007,31,20
1577680926,21,54
1577682847,26,27
1577684230,22,38
1577685366,23,13
1577686507,20,19
1577687829,44,23
1577688128,12,10
1577688966,17,2
1577690046,15,30
1577690886,11,0
1577693646,39,62
1577695328,23,31
1577696774,16,25
1577697906,26,2
1577698928,22,60
1577700023,27,28
1577701208,34,1
1577702408,20,106
1577703937,39,47
1577704447,16,2
1577706128,44,43
1577706970,19,1
1577708887,33,24
1577709729,11,66
1577710567,9,4
1577711708,18,16
1577712844,25,17
1577714108,22,6
1577715247,71,14
1577716806,172,36
1577718236,33,29
1577719809,26,72
1577721307,26,9
1577722446,25,19
1577723286,67,0
1577724966,99,38
1577725223,9,21
1577726408,80,0
1577727608,65,29
1577729407,80,20
1577730501,40,2
1577732284,31,36
1577733609,35,38
1577734926,33,46
1577735766,21,1
1577737687,32,30
1577740110,37,58
1577741410,38,24
1577742544,20,8
1577743807,32,24
1577745729,36,36
1577747646,57,26
1577748488,24,1
1577751609,53,48
1577752807,29,34
1577754614,36,32
1577755807,22,26
1577756956,30,8
1577758216,30,12
1577760127,53,45
1577761807,46,30
1577763728,39,112
1577765707,47,23
1577766487,13,2
1577767700,25,32
1577769016,24,16
1577770927,27,43
1577771768,16,4
1577772908,21,16
1577774526,25,38
1577775372,15,1
1577776507,11,25
1577778127,32,41
1577779817,17,41
1577783119,46,69
1577784608,17,33
1577785806,21,9
1577787247,19,21
1577788086,22,1
1577789766,45,76
1577791686,47,32
1577792526,18,20
1577794448,27,21
1577796128,48,33
1577798046,52,25
1577798886,13,0
1577800302,30,32
1577801416,18,22
1577803327,35,36
1577804166,10,0
1577805309,18,17
1577807706,61,34
1577810408,56,59
1577812216,46,23
1577814127,43,45
1577816046,39,28
1577816888,10,1
1577817729,39,48
1577819255,51,22
1577820607,60,19
1577821901,37,14
1577823016,33,12
1577824207,39,28
1577826608,36,31
1577827686,25,4
1577828892,20,38
1577830447,24,14
1577831706,53,31
1577832966,31,18
1577834109,16,30
1577835727,34,40
1577836567,10,5
1577837707,24,36
1577839058,15,31
1577841012,41,39
1577842929,36,38
1577844616,19,32
1577845687,15,6
1577847366,26,43
1577848508,26,22
1577850127,28,49
1577851806,39,20
1577853727,40,39
1577855648,33,33
1577856870,26,30
1577859009,55,64
1577860206,22,26
1577861783,28,13
1577862908,16,20
1577863686,11,0
1577864529,11,36
1577865366,18,2
1577866447,51,25
1577867286,23,1
1577868130,22,41
1577870048,58,31
1577871607,21,56
1577872568,18,0
1577873708,18,25
1577875328,33,52
1577876166,7,1
1577877307,38,25
1577878811,24,47
1577879766,7,3
1577880847,14,17
1577883366,33,49
1577884509,17,21
1577886127,33,236
1577887816,15,29
1577889008,16,31
1577890562,13,8
1577891707,20,27
1577893326,23,79
1577894166,14,1
1577895306,14,52
1577896927,16,104
1577898151,26,69
1577899686,41,3
1577902208,57,101
1577903406,19,50
1577906046,57,50
1577907307,17,43
1577909144,33,32
1577909647,6,0
1577911207,26,51
1577913008,36,15
1577914208,23,44
1577915766,43,15
1577916909,31,34
1577918528,201,59
1577920216,170,30
1577921287,78,1
1577922618,88,45
1577923806,55,26
1577924887,42,2
1577925990,41,48
1577927646,52,24
1577928487,43,0
1577930167,74,60
1577931308,33,35
1577932927,54,64
1577934847,63,23
1577936108,60,57
1577937368,63,20
1577938447,42,18
1577940307,53,49
1577942046,51,20
1577943608,62,33
1577944566,33,2
1577946487,61,21
1577947327,35,38
1577949246,54,27
1577950086,39,4
1577952617,78,51
1577953724,30,3
1577954527,41,34
1577956447,63,22
1577957286,14,3
1577958127,16,49
1577960047,55,29
1577961609,45,56
1577962566,25,1
1577963708,33,34
