DateTime,Entries,UniqueIPs
1577261647,11663,11663
1577263331,11643,11643
1577264814,11659,11659
1577266206,11648,11648
1577267319,11644,11644
1577268610,11656,11656
1577270529,11590,11590
1577272217,11573,11573
1577274137,11519,11519
1577275808,11494,11494
1577277733,11476,11476
1577278567,11490,11490
1577279706,11478,11478
1577281209,11422,11422
1577282723,11407,11407
1577283852,11432,11432
1577284930,11353,11353
1577286291,11264,11264
1577287689,11294,11294
1577290207,11221,11221
1577291406,11197,11197
1577292132,11199,11199
1577293640,11213,11213
1577295306,11207,11207
1577296828,11221,11221
1577297647,11232,11232
1577301247,11230,11230
1577302937,11247,11247
1577304847,11268,11268
1577305687,11282,11282
1577306533,11227,11227
1577307367,11244,11244
1577308446,11228,11228
1577309286,11239,11239
1577310606,11190,11190
1577311241,11163,11163
1577312385,11178,11178
1577313607,11148,11148
1577314567,11167,11167
1577315709,11153,11153
1577317354,11123,11123
1577318167,11139,11139
1577319307,11132,11132
1577320933,11111,11111
1577322093,11094,11094
1577323209,11108,11108
1577324533,11099,11099
1577326447,11103,11103
1577327287,11116,11116
1577328966,11092,11092
1577330108,11084,11084
1577331734,11018,11018
1577333021,11023,11023
1577334488,11055,11055
1577337016,11021,11021
1577338209,10993,10993
1577340253,10992,10992
1577341807,10970,10970
1577343883,10967,10967
1577345286,10986,10986
1577346141,10946,10946
1577348046,10930,10930
1577349274,10917,10917
1577351646,10958,10958
1577352486,10977,10977
1577353333,10944,10944
1577355246,10958,10958
1577356506,10971,10971
1577357768,10968,10968
1577358906,10971,10971
1577360417,10964,10964
1577362208,10952,10952
1577365603,10945,10945
1577366887,10963,10963
1577369648,10882,10882
1577371036,10878,10878
1577373010,10882,10882
1577374171,10865,10865
1577374935,10867,10867
1577376059,10867,10867
1577377209,10890,10890
1577377687,10898,10898
1577378533,10825,10825
1577379367,10838,10838
1577381286,10818,10818
1577382133,10817,10817
1577382966,10836,10836
1577384056,10818,10818
1577385614,10770,10770
1577387657,10789,10789
1577389153,10784,10784
1577390946,10800,10800
1577392206,10799,10799
1577394605,10807,10807
1577396413,10793,10793
1577398446,10803,10803
1577399288,10826,10826
1577400906,10797,10797
1577402047,10793,10793
1577403734,10771,10771
1577405646,10768,10768
1577407333,10751,10751
1577408166,10756,10756
1577410086,10762,10762
1577411711,10733,10733
1577412848,10730,10730
1577413688,10746,10746
1577414535,10715,10715
1577416207,10721,10721
1577417290,10740,10740
1577418906,10725,10725
1577420110,10734,10734
1577421737,10722,10722
1577423378,10678,10678
1577424486,10697,10697
1577425807,10675,10675
1577427007,10672,10672
