DateTime,AddedIPs,RemovedIPs
1576941148,10,16
1576943048,13,13
1576945211,9,12
1576947130,9,10
1576949060,13,20
1576950970,9,14
1576952886,12,11
1576954835,14,15
1576956731,20,20
1576958660,20,10
1576960583,17,20
1576962517,15,14
1576964442,10,11
1576966334,15,18
1576968262,11,9
1576970427,12,20
1576972329,12,14
1576974262,14,15
1576976167,9,8
1576978101,8,23
1576980008,8,0
1576981951,21,31
1576984123,11,9
1576986013,6,20
1576987932,6,0
1576989864,14,7
1576991784,10,37
1576993687,8,0
1576995619,9,25
1576997530,20,0
1576999448,14,14
1577001379,9,13
1577003286,15,15
1577005215,8,16
1577007152,11,20
1577011215,7,22
1577013140,5,3
1577015072,15,7
1577019134,13,22
1577021050,16,13
1577022982,16,12
1577025147,11,25
1577027308,5,0
1577029225,12,27
1577031141,14,0
1577033051,12,12
1577034986,13,12
1577036892,22,18
1577038807,14,11
1577040741,21,16
1577042649,20,17
1577044580,16,18
1577046489,10,14
1577048416,20,19
1577050350,19,16
1577052256,16,11
1577054170,11,13
1577056118,17,18
1577058011,8,17
1577060181,15,20
1577062333,11,17
1577064251,15,0
1577066179,8,0
1577068088,15,9
1577070012,15,10
1577071950,10,14
1577073853,10,16
1577075770,7,10
1577077709,7,17
1577079616,6,16
1577081782,8,11
1577083933,7,19
1577085853,14,10
1577087780,10,21
1577089690,11,12
1577091618,6,10
1577093557,9,15
1577095454,10,16
1577097376,3,14
1577099326,6,19
1577101219,6,16
1577103392,3,19
1577105529,12,0
1577107449,5,22
1577109381,18,18
1577111287,15,15
1577113223,10,8
1577115157,8,0
1577117308,12,27
1577119211,11,0
1577121133,14,20
1577123050,11,18
1577124981,8,42
1577127154,4,13
1577129053,13,0
1577130980,9,19
1577132888,10,0
1577134837,11,29
1577136736,16,0
1577138930,12,32
1577140829,10,17
1577142757,11,0
1577144650,8,14
1577146584,7,30
1577148487,4,0
1577150408,9,0
1577152341,8,24
1577154248,4,0
1577156179,9,17
1577162411,12,29
1577164345,17,15
1577166251,21,13
1577168179,10,11
1577170087,20,13
1577172026,13,13
1577173932,19,12
1577175861,15,10
1577179947,2,19
1577181859,6,8
1577183779,8,10
1577185702,22,10
1577187619,12,11
1577189548,14,17
1577191451,12,17
1577193372,12,16
1577195302,12,0
1577197208,14,11
1577199129,16,0
1577201062,11,16
1577202969,18,0
1577204889,17,4
1577206816,20,13
1577208747,18,5
1577210939,12,18
1577214738,16,11
1577216665,3,12
1577218815,6,15
1577220750,17,16
1577222653,5,12
1577224567,14,11
1577226500,5,7
1577228434,8,18
1577230336,11,13
1577232255,10,17
1577234179,8,12
1577238250,6,21
1577240172,10,10
1577242102,12,13
1577244007,6,0
1577245931,4,12
1577247858,6,13
1577249768,6,8
1577251699,10,9
1577253620,11,16
1577255555,10,20
1577257455,1,10
1577259612,14,12
1577261533,30,7
1577263461,16,11
1577265384,11,7
1577269217,8,17
1577271128,9,4
1577273049,4,7
1577274981,10,6
1577276887,7,7
1577278818,17,15
1577280762,12,16
1577282653,11,16
1577284816,2,14
1577286990,8,9
1577289129,16,10
