DateTime,AddedIPs,RemovedIPs
1576941148,31,40
1576943048,48,36
1576945211,46,47
1576947130,37,44
1576949060,29,35
1576950970,35,34
1576952886,35,33
1576954835,56,34
1576956731,62,56
1576958660,56,60
1576960583,65,56
1576962517,50,63
1576964442,52,51
1576966334,63,53
1576968262,61,62
1576970427,59,62
1576972329,47,60
1576974262,49,51
1576976167,48,49
1576978101,42,41
1576980008,49,45
1576981951,55,47
1576984123,49,55
1576986013,43,52
1576987932,42,42
1576989864,44,42
1576991784,48,42
1576993687,40,51
1576995619,44,40
1576997530,49,45
1576999448,44,46
1577001379,50,44
1577003286,44,50
1577005215,37,46
1577007152,39,36
1577011215,32,43
1577013140,20,30
1577015072,51,23
1577019134,47,45
1577021050,52,46
1577022982,49,55
1577025147,42,51
1577027308,44,40
1577029225,52,43
1577031141,58,47
1577033051,60,63
1577034986,63,61
1577036892,54,64
1577038807,56,53
1577040741,51,54
1577042649,50,51
1577044580,62,51
1577046489,43,62
1577048416,49,43
1577050350,58,49
1577052256,49,60
1577054170,38,48
1577056118,53,39
1577058011,42,50
1577060181,43,45
1577062333,39,42
1577064251,44,41
1577066179,28,44
1577068088,43,30
1577070012,62,42
1577071950,45,59
1577073853,37,43
1577075770,37,39
1577077709,42,33
1577079616,40,46
1577081782,42,41
1577083933,41,35
1577085853,44,45
1577087780,54,46
1577089690,51,52
1577091618,45,54
1577093557,43,42
1577095454,39,41
1577097376,27,45
1577099326,31,28
1577101219,22,30
1577103392,15,22
1577105529,38,15
1577107449,28,37
1577109381,40,27
1577111287,50,39
1577113223,28,51
1577115157,45,29
1577117308,41,43
1577119211,40,41
1577121133,50,42
1577123050,32,51
1577124981,41,30
1577127154,23,40
1577129053,40,25
1577130980,42,41
1577132888,42,41
1577134837,22,42
1577136736,55,22
1577138930,42,53
1577140829,40,43
1577142757,47,38
1577144650,47,50
1577146584,39,47
1577148487,39,41
1577150408,46,37
1577152341,39,46
1577154248,32,37
1577156179,37,33
1577162411,57,37
1577164345,51,57
1577166251,48,49
1577168179,38,51
1577170087,55,36
1577172026,51,55
1577173932,47,52
1577175861,49,47
1577179947,12,50
1577181859,39,12
1577183779,20,36
1577185702,52,22
1577187619,40,50
1577189548,52,43
1577191451,47,50
1577193372,49,47
1577195302,38,51
1577197208,50,38
1577199129,61,51
1577201062,53,62
1577202969,63,48
1577204889,49,64
1577206816,50,49
1577208747,40,50
1577210939,34,40
1577214738,48,34
1577216665,30,47
1577218815,36,34
1577220750,50,36
1577222653,34,46
1577224567,43,36
1577226500,40,43
1577228434,41,40
1577230336,34,39
1577232255,45,33
1577234179,38,47
1577238250,31,40
1577240172,40,33
1577242102,35,39
1577244007,35,35
1577245931,36,32
1577247858,38,36
1577249768,27,38
1577251699,44,29
1577253620,44,44
1577255555,38,39
1577257455,11,42
1577259612,51,13
1577261533,72,51
1577263461,45,67
1577265384,33,49
1577269217,29,36
1577271128,32,28
1577273049,20,33
1577274981,32,19
1577276887,26,30
1577278818,41,26
1577280762,29,43
1577282653,25,28
1577284816,17,25
1577286990,28,18
1577289129,33,24
1577291065,35,34
1577292967,32,35
1577295139,34,30
1577297055,51,35
1577298985,47,52
1577300897,28,47
1577302816,38,27
1577306658,33,41
1577308814,43,34
1577310740,41,42
1577312651,29,41
1577314582,33,27
1577316494,39,34
1577318422,37,40
1577320350,44,32
1577322254,40,46
1577324174,40,40
1577326348,34,42
1577328253,26,34
1577330416,37,27
1577332332,39,36
1577334260,34,35
1577336167,43,38
1577338088,36,42
1577340027,36,36
1577341939,54,36
1577344116,51,55
1577346021,41,51
1577348180,42,39
1577350334,42,43
1577352251,48,41
1577354167,50,51
1577356098,55,49
1577358016,37,55
1577359955,48,35
1577361853,54,46
1577363779,53,55
1577365690,54,52
1577367615,54,57
1577369545,65,54
1577371449,61,64
1577373611,44,63
1577375529,57,39
1577377460,54,60
1577379369,62,54
1577381538,56,63
1577383480,68,55
1577385370,54,63
1577387322,51,53
1577391153,56,56
1577393054,52,54
1577397129,51,52
1577399054,57,54
1577400978,57,61
1577402892,61,55
1577406745,60,61
1577408910,64,53
1577410823,56,70
1577412740,57,53
1577414653,58,60
1577416582,53,56
1577418731,54,51
1577420648,52,56
1577422579,57,54
1577424487,50,55
1577426417,57,48
1577428349,61,60
1577430253,63,61
1577432171,54,60
1577434128,55,55
1577436014,54,58
1577437942,36,58
1577439861,29,35
1577441788,16,28
1577443934,28,15
1577445849,33,30
1577447779,24,34
1577449939,36,24
1577451864,46,32
1577453784,24,43
1577455711,59,29
1577457631,52,57
1577459804,49,52
1577461715,59,49
1577463608,50,57
1577465529,67,53
1577467450,59,67
1577469368,57,59
1577471548,64,57
1577473696,39,61
1577475611,39,39
1577477535,44,37
1577479450,42,45
1577481621,55,45
1577483538,41,55
1577485449,56,41
1577487427,45,56
1577489296,43,45
1577491216,49,44
1577493137,50,47
1577495059,45,51
1577497217,42,47
1577499139,39,39
1577501051,46,39
1577504888,48,49
1577506808,39,46
1577508728,48,40
1577510648,50,47
1577512568,30,47
1577514490,47,35
1577516414,48,45
1577518401,45,50
1577520254,47,40
1577522169,54,52
1577524091,50,54
1577526010,46,49
1577528183,22,48
1577530088,26,21
1577532009,20,26
1577533931,20,21
1577535848,33,18
1577537770,63,33
1577539689,55,62
1577541623,57,55
1577543539,53,56
1577545477,63,52
1577547369,61,64
1577549318,56,58
1577551212,55,55
1577555288,56,61
1577557230,40,55
1577559128,48,41
1577561058,43,46
1577562979,45,41
1577564888,61,44
1577566823,65,65
1577568748,50,60
1577570661,46,54
1577572579,40,45
1577574538,50,41
1577576664,37,45
1577578574,36,41
1577580489,43,39
1577582408,46,43
1577584329,45,40
1577586247,33,50
1577588167,36,29
1577590102,34,39
1577592012,42,33
1577593934,51,44
1577596104,45,51
1577598011,50,45
1577599952,46,49
1577601850,41,47
1577603771,44,42
1577605701,47,44
1577607850,51,45
1577609769,49,53
1577611698,29,48
1577615547,20,29
1577617461,22,22
1577619625,27,22
1577621537,15,28
1577623459,36,15
1577625615,27,36
1577627531,24,24
1577629458,21,26
1577631617,34,20
1577633537,38,31
1577635699,69,41
1577637609,52,64
1577639784,52,51
1577641699,51,53
1577643623,56,52
1577645528,60,55
1577649370,58,59
1577651536,42,62
1577653700,39,45
1577655620,29,37
1577657778,38,29
1577659944,41,36
1577661862,45,41
1577663778,51,46
1577665696,35,51
1577667639,44,37
1577669543,38,40
1577671482,37,40
1577673371,38,35
1577675322,46,40
1577677211,48,47
1577681287,44,50
1577683225,51,45
1577685126,39,47
1577687053,51,41
1577688982,50,48
1577692811,49,48
1577694745,52,51
1577696659,43,47
1577698822,17,51
1577702668,13,19
1577704568,10,13
1577706520,16,10
1577708422,10,16
1577710336,27,9
1577712249,36,28
1577714187,54,36
1577716347,49,47
1577718516,45,52
1577720417,48,42
1577722337,51,50
1577724263,35,52
1577726180,50,38
1577728087,43,50
1577730022,42,42
1577731933,41,37
1577733864,44,45
1577735770,46,44
1577737946,49,41
1577739868,37,50
1577741770,33,40
1577743718,37,33
1577745611,46,37
1577749460,44,45
1577751371,40,47
1577753286,36,39
1577755219,36,35
1577757135,41,37
1577759051,47,42
1577760977,48,45
1577762887,42,51
1577764836,47,41
1577766735,44,44
1577768900,46,41
1577770810,35,47
1577772756,41,38
1577774650,43,44
1577776581,54,43
1577778499,43,53
1577780407,59,44
1577782329,43,57
1577784264,20,47
1577786168,13,19
1577788096,19,13
1577790018,13,19
1577791952,20,13
1577793859,36,19
1577795779,67,34
1577797702,66,64
1577799608,68,68
1577801777,57,68
1577803700,53,53
1577805850,49,59
1577808032,46,45
1577809946,49,47
1577811856,42,53
1577813769,51,41
1577815714,46,45
1577817610,36,51
1577819539,39,36
1577821461,74,39
1577823368,44,73
1577825532,40,43
1577827459,27,44
1577829368,48,25
1577831286,43,48
1577833276,42,42
1577835394,45,44
1577837556,26,43
1577841613,32,28
1577843529,45,33
1577845461,32,43
1577847367,42,33
1577849290,42,41
1577851211,36,38
1577853134,19,36
1577855069,21,23
1577856970,44,18
1577858918,32,41
1577861063,37,37
1577862975,32,39
1577864904,42,31
1577866808,40,42
1577868738,49,41
1577870659,17,49
1577874486,19,19
1577876442,22,17
1577878340,39,22
1577880300,50,37
1577882430,33,47
1577884345,42,35
1577886251,38,41
1577888187,37,37
1577890089,47,42
1577892030,35,47
1577893933,32,33
1577895855,21,34
1577897785,29,21
1577899694,15,30
1577901613,18,16
