DateTime,AddedIPs,RemovedIPs
1576120151,3,2
1576123751,2,0
1576127356,6,2
1576130963,3,0
1576134562,0,1
1576138164,2,1
1576141765,2,1
1576145366,2,3
1576148961,2,5
1576152564,2,2
1576156166,1,0
1576159768,0,2
1576163366,2,3
1576170569,3,2
1576174167,1,2
1576177770,1,0
1576181367,1,7
1576184961,0,4
1576188560,0,2
1576192160,2,4
1576195763,4,1
1576199362,0,1
1576202965,1,0
1576206564,2,1
1576217366,1,1
1576220963,2,2
1576224566,2,1
1576228170,3,0
1576231770,1,0
1576235371,3,2
1576238973,2,1
1576242572,2,3
1576246170,1,1
1576249774,2,2
1576253375,1,1
1576260577,2,1
1576264172,2,7
1576267760,2,27
1576271363,2,1
1576274966,1,0
1576278564,1,1
1576285762,3,2
1576289361,1,1
1576292961,0,1
1576296560,1,2
1576300160,3,0
1576303763,2,0
1576307362,2,0
1576310958,3,4
1576314557,1,2
1576318153,1,4
1576321751,1,1
1576325347,2,5
1576328949,3,1
1576332549,2,0
1576336145,0,4
1576339747,1,2
1576343348,2,1
1576346946,2,2
1576350546,0,1
1576357746,2,1
1576361348,2,0
1576364944,0,2
1576368544,2,1
1576372142,1,3
1576375738,0,3
1576379338,1,2
1576382948,27,1
1576386548,3,2
1576390153,4,2
1576393751,2,4
1576397348,0,1
1576400945,1,3
1576404545,0,2
1576408145,1,1
1576411740,1,3
1576415336,1,3
1576418932,0,2
1576422532,1,2
1576426129,0,1
1576429724,0,3
1576433322,0,3
1576436920,1,2
1576440521,0,2
1576444114,1,3
1576447715,0,1
1576451310,0,22
1576454904,0,19
1576458505,0,2
1576462105,2,1
1576465706,3,1
1576469301,1,1
1576472900,2,0
1576476499,2,2
1576480101,3,1
1576483701,1,2
1576487301,1,2
1576490897,1,2
1576494497,1,1
1576498094,1,2
1576501690,1,2
1576505291,1,3
1576508892,2,3
1576512490,0,1
1576516086,2,5
1576519692,3,2
1576523290,1,2
1576526893,3,1
1576530541,6,2
1576534100,4,3
1576537699,1,3
1576541306,3,1
1576544903,2,2
1576548499,4,4
1576552099,0,3
1576555699,3,2
1576559296,3,6
1576562893,2,1
1576566450,3,105
1576570048,2,3
1576573647,1,2
1576577245,2,2
1576580846,4,4
1576584444,3,3
1576588052,3,1
1576591653,4,1
1576595258,4,3
1576598859,2,2
1576602454,1,3
1576606060,3,1
1576609662,2,0
1576613264,1,0
1576616863,3,1
1576620465,3,1
1576624068,6,1
1576627671,1,1
1576631275,3,0
1576634879,4,0
1576638483,4,1
1576642085,4,4
1576645679,2,9
1576649277,3,4
1576652880,3,3
1576656485,4,2
1576660087,3,1
1576663688,1,3
1576667288,4,1
1576670891,4,3
1576674492,2,3
1576678089,0,7
1576681687,0,4
1576685284,2,5
1576688887,2,8
1576692486,3,4
1576696080,1,9
1576699677,2,10
1576703278,3,0
1576706886,5,3
1576710489,1,0
1576714083,3,2
1576717685,3,2
1576721286,5,3
1576724888,3,1
1576728490,5,2
1576732091,8,3
1576735693,5,0
1576739309,15,0
1576742912,3,1
1576746517,6,0
1576750129,6,0
1576753731,8,1
1576757332,4,1
1576760929,3,2
1576764534,4,0
1576768134,4,3
1576771738,5,3
1576775334,6,6
1576778937,4,1
1576782533,5,4
1576786131,0,1
1576789736,2,0
1576793330,2,4
1576796930,1,2
1576800531,5,3
1576804138,5,1
1576807737,4,4
1576811330,2,7
1576814927,2,3
1576818529,5,5
1576822126,3,7
1576825727,6,4
1576829325,3,7
1576832925,7,3
1576836527,3,2
1576840127,4,5
1576843729,3,2
1576847333,5,1
1576850942,8,0
1576854543,5,1
1576858154,7,0
1576861756,3,1
1576865356,6,5
1576868962,6,2
1576872564,3,1
1576876164,4,2
1576879770,3,0
1576883375,5,1
1576886980,3,0
1576890581,1,1
1576894182,2,1
1576897785,1,0
1576901385,3,1
1576904987,1,1
1576908588,2,3
1576912186,1,2
1576915790,6,1
1576919395,4,0
1576922997,3,1
1576926599,1,0
1576930196,1,3
1576933801,5,0
1576937400,3,2
1576941007,5,1
1576944607,4,0
1576948210,2,0
1576951810,4,2
1576955418,6,1
1576959019,1,0
1576962618,0,2
1576966229,22,0
1576969831,2,0
1576973433,3,3
1576977036,1,1
1576980633,1,1
1576984240,5,2
1576987835,5,22
1576991439,4,4
1576995041,4,3
1576998640,2,2
1577002246,4,1
1577005853,5,2
1577009456,2,0
1577013059,3,1
1577016658,5,1
1577020262,2,3
1577023867,6,2
1577027468,2,0
1577031069,5,2
1577034673,3,1
1577038280,4,1
1577041882,2,1
1577045478,0,1
1577049071,0,4
1577052671,2,2
1577056272,2,3
1577059872,3,0
1577067077,4,1
1577070677,1,3
1577074283,3,1
