DateTime,AddedIPs,RemovedIPs
1575439457,3,1
1575443052,0,1
1575446651,1,2
1575450249,1,2
1575453855,1,1
1575461052,4,1
1575464662,7,0
1575468268,4,0
1575471863,0,1
1575475463,0,1
1575479061,1,1
1575482664,0,1
1575486255,1,3
1575489852,0,1
1575493449,1,4
1575497052,0,1
1575500645,1,2
1575504246,2,0
1575511452,4,1
1575515044,1,3
1575518642,0,1
1575525848,1,0
1575529439,1,3
1575533043,2,0
1575536643,1,0
1575540247,1,2
1575543840,3,2
1575547440,2,0
1575551037,0,2
1575554643,2,0
1575558237,0,2
1575561836,0,1
1575565436,0,2
1575572634,0,1
1575576234,3,1
1575583433,0,3
1575587026,0,5
1575590613,2,24
1575594214,2,1
1575597814,0,2
1575601412,1,0
1575605012,1,0
1575612215,1,0
1575615815,2,0
1575619413,1,1
1575623012,1,1
1575637414,1,1
1575644615,2,0
1575648212,1,2
1575655416,1,0
1575662624,24,0
1575666222,1,2
1575680624,1,0
1575684229,1,0
1575687826,1,0
1575691428,3,0
1575698632,1,0
1575702231,1,0
1575705832,2,2
1575713036,1,1
1575720232,1,2
1575731033,2,1
1575734634,1,0
1575741835,0,1
1575749034,1,0
1575752636,2,1
1575756240,1,0
1575770637,0,2
1575774235,0,1
1575777831,2,0
1575785031,1,2
1575788631,1,0
1575795831,0,1
1575813832,1,0
1575821030,0,1
1575824629,0,1
1575828230,0,2
1575835427,1,1
1575839029,1,1
1575842630,1,0
1575846234,10,0
1575849835,13,0
1575860637,1,0
1575871441,1,1
1575885840,1,0
1575889440,1,0
1575893040,1,0
1575896640,0,1
1575907440,1,0
1575911040,1,0
1575914641,1,0
1575918250,1,1
1575925442,1,1
1575929040,2,1
1575932641,1,1
1575936249,2,1
1575939842,1,1
1575943444,1,1
1575947039,0,2
1575950639,1,0
1575954242,2,0
1575957840,1,1
1575961401,1,44
1575965003,2,2
1575968604,2,1
1575972206,0,2
1575975802,1,0
1575979406,2,0
1575986609,1,1
1575990207,0,1
1575993805,0,1
1575997406,2,0
1576001009,0,1
1576004604,0,1
1576008206,0,1
1576011808,4,1
1576015403,0,23
1576019002,2,0
1576022603,1,7
1576026204,1,3
1576029805,2,5
1576033402,0,4
1576036995,0,5
1576040592,3,13
1576044197,0,2
1576051394,2,0
1576054992,0,1
1576058593,0,1
1576062192,1,0
1576065790,0,1
1576069377,0,10
1576072980,1,1
1576076577,1,1
1576080179,2,0
1576083781,3,3
1576087384,2,0
1576090985,1,0
1576094587,3,0
1576098189,2,1
1576101793,3,0
1576108998,4,1
1576112600,1,0
1576116202,1,3
1576119800,0,2
1576127000,2,0
1576137800,1,1
1576141401,1,1
1576145004,2,1
1576148606,1,2
1576152209,2,2
1576155809,1,0
1576159410,0,2
1576163011,0,1
1576170213,2,0
1576173812,0,1
1576177416,1,0
1576181015,1,5
1576188216,0,1
1576191817,1,1
1576195417,4,1
1576199018,0,1
1576202619,1,0
1576206221,1,1
1576217021,1,0
1576220623,1,1
1576224223,2,1
1576227826,3,0
1576235031,3,1
1576238629,1,0
1576242228,0,2
1576245825,1,1
1576249429,2,2
1576253027,0,1
1576260229,2,1
1576263834,2,1
1576267418,0,27
1576271021,2,1
1576278225,1,0
1576285421,3,1
1576289021,1,0
1576292623,0,1
1576296222,0,2
1576299818,1,1
1576303419,1,0
1576310616,0,2
1576317813,0,2
1576325012,1,1
1576328612,1,1
1576335810,0,2
1576339411,0,1
1576346611,1,0
1576357414,1,0
1576361013,1,0
1576375413,0,1
1576379009,0,2
1576382621,24,0
1576386225,1,0
1576393421,0,1
1576411422,1,0
1576433020,0,1
1576436620,1,0
1576440221,0,1
1576443820,0,1
1576447418,0,1
1576451014,0,21
1576454611,0,17
1576461813,1,0
1576476211,0,1
1576479810,2,0
1576487012,1,1
1576494210,1,1
1576497807,0,2
1576505007,1,0
1576508610,2,2
1576515812,2,2
1576519416,3,0
1576523015,0,1
1576530238,1,0
1576533818,2,2
1576537416,0,1
1576541014,1,1
1576544612,0,2
1576548214,2,3
1576555407,1,1
1576559005,1,3
1576562606,0,1
1576566204,2,1
1576569801,1,2
1576573401,1,1
1576577003,1,0
1576580601,1,3
1576584200,2,2
1576587800,1,0
1576591401,1,1
1576594999,1,1
1576598599,0,1
1576602196,1,3
1576605800,1,1
1576609398,1,0
1576616597,1,1
1576620203,2,1
