DateTime,AddedIPs,RemovedIPs
1575893387,0,1
1575896984,0,11
1575904130,3,61
1575907732,0,6
1575911327,0,1
1575914932,2,2
1575918741,1,1
1575922127,0,3
1575925722,1,3
1575929312,2,4
1575932920,5,1
1575936742,1,1
1575940125,1,0
1575943730,1,0
1575947320,3,1
1575950936,2,0
1575954727,1,1
1575958122,1,1
1575961727,0,1
1575965333,0,1
1575968923,2,1
1575972718,0,1
1575976122,1,1
1575979723,1,2
1575983320,2,2
1575987094,1,1
1575990659,2,0
1575994120,0,3
1575997730,2,1
1576001500,1,0
1576004931,1,1
1576008663,1,5
1576012123,3,1
1576015893,2,25
1576019314,3,8
1576022916,1,0
1576026632,1,16
1576030278,2,26
1576033702,2,1
1576037308,1,4
1576040877,0,74
1576048068,0,2
1576051677,1,1
1576055279,1,0
1576059041,0,2
1576062596,0,4
1576066070,1,2
1576069674,2,2
1576073436,3,2
1576076867,0,1
1576080606,4,1
1576084072,2,5
1576087841,3,3
1576091265,0,6
1576094870,1,0
1576098607,4,4
1576102247,3,1
1576109267,4,8
1576116593,1,1
1576120104,2,1
1576123677,0,1
1576127275,0,1
1576130874,1,0
1576149035,1,2
1576152577,2,0
1576156073,2,2
1576159672,0,1
1576170621,82,1
1576174140,52,2
1576177906,3,2
1576188654,1,1
1576192306,1,2
1576195734,3,3
1576199333,1,3
1576202935,0,1
1576210142,2,2
1576213730,2,1
1576217328,3,1
1576221114,0,1
1576224644,2,1
1576228123,0,1
1576235497,0,4
1576238921,1,0
1576246123,4,1
1576249889,4,3
1576253324,1,0
1576256927,2,9
1576260634,2,2
1576264297,4,1
1576267727,2,0
1576271326,0,3
1576274924,1,1
1576278742,1,1
1576282131,2,2
1576285727,2,1
1576289325,1,1
1576293098,0,1
1576296662,2,0
1576300124,1,2
1576303722,1,1
1576307498,1,1
1576310923,1,1
1576318125,0,1
1576321895,1,0
1576325324,0,1
1576328934,0,1
1576332655,1,0
1576336125,2,2
1576339749,3,3
1576343329,1,2
1576346922,0,3
1576350654,0,2
1576354120,1,1
1576357892,1,2
1576361320,0,1
1576364919,1,4
1576368658,4,2
1576372289,1,3
1576375717,0,2
1576379312,1,4
1576382911,0,1
1576390109,2,3
1576393712,3,0
1576397311,2,4
1576404648,0,1
1576408112,2,0
1576411709,1,0
1576415473,1,1
1576422631,0,2
1576426115,5,0
1576429883,2,2
1576433314,2,2
1576436917,1,1
1576440643,1,2
1576444286,3,3
1576447719,1,3
1576451323,4,3
1576454920,1,1
1576458732,0,1
1576469320,1,1
1576473082,1,1
1576476649,1,0
1576483716,0,1
1576487483,1,1
1576490909,0,3
1576494647,1,0
1576498109,1,3
1576501883,0,1
1576505310,1,3
1576508920,3,0
1576512643,3,1
1576519718,2,1
1576523323,2,0
1576526921,0,1
1576530653,3,0
1576534289,1,2
1576537716,3,4
1576541314,2,1
1576544914,2,2
1576548715,3,1
1576552122,1,0
1576555722,1,2
1576559322,4,1
1576563089,0,1
1576566656,1,1
1576573722,0,2
1576577491,1,4
1576588125,0,2
1576591888,2,1
1576595324,2,0
1576598927,1,0
1576602652,4,1
1576606291,1,4
1576609726,2,1
1576613318,0,2
1576616922,0,2
1576620729,2,2
1576624118,2,6
1576627720,2,2
1576631321,1,0
1576635088,2,1
1576638658,3,0
1576642120,1,0
1576645725,3,1
1576652923,1,0
1576660128,0,1
1576663892,1,2
1576667323,3,1
1576670932,3,0
1576674665,3,0
1576678302,1,3
1576681737,0,3
1576685335,4,4
1576688938,1,1
1576696135,7,4
1576699732,0,2
1576703338,2,1
1576707109,6,3
1576710667,2,4
1576714138,3,2
1576717730,1,0
1576724940,4,0
1576735908,0,2
1576739334,0,1
1576742932,0,1
1576746667,0,1
1576753743,3,0
1576757335,1,0
1576760942,0,1
1576768135,0,1
1576771742,8,1
1576775327,7,56
1576779058,2,71
1576782621,3,3
1576786095,2,1
1576789728,73,2
1576793481,46,0
1576796945,5,2
1576800637,2,1
1576804141,0,3
1576807907,3,1
1576811341,1,2
1576814948,1,0
1576822306,1,0
1576825747,1,0
1576829344,0,1
1576832940,0,2
1576840129,0,3
1576843739,2,3
1576847338,1,1
1576851099,2,1
1576854621,1,4
1576858139,2,1
1576861735,2,3
1576865502,0,1
1576868940,1,0
1576872656,4,2
1576876130,2,4
1576879904,2,1
1576883346,5,1
1576886938,2,0
1576890663,2,3
1576894302,1,3
1576897741,1,1
1576901346,2,0
1576912144,3,1
1576919341,1,0
1576926650,2,1
1576930137,1,1
1576933737,2,2
1576937506,3,2
1576941035,0,4
1576944530,1,1
1576948133,3,0
1576951825,2,4
1576955461,2,0
1576958944,4,1
1576962554,1,1
1576966313,1,0
1576969848,1,0
1576973351,2,1
1576976956,3,1
1576980725,2,0
1576984263,1,2
1576987757,0,1
1576991356,0,1
1576995118,1,0
1576998672,0,1
1577002148,0,1
1577009518,3,0
1577013058,0,2
1577016550,2,2
1577023918,0,1
1577027459,1,0
1577030959,0,3
1577034550,1,1
1577038324,2,2
1577041867,4,0
1577045350,1,1
1577048958,1,2
1577052720,0,1
1577056265,0,4
1577059746,3,1
1577063348,1,1
1577067115,0,2
1577070655,0,1
1577074153,1,0
1577081513,1,1
1577085065,1,0
1577095923,0,2
1577099463,0,1
1577102941,0,3
1577106543,2,0
1577110311,1,0
1577113870,2,2
1577117345,1,0
1577120946,0,3
1577124702,2,1
1577128260,1,2
1577131739,2,0
1577135343,2,1
1577139105,2,0
1577142678,4,3
1577146155,1,0
1577149747,2,0
1577153509,1,1
1577157065,2,3
1577164154,1,2
1577171346,2,0
1577175074,3,3
1577182292,1,4
1577189346,1,1
1577193065,4,2
1577196710,0,2
1577203749,1,1
1577207352,6,1
1577214548,1,7
1577218156,2,1
1577221746,1,0
1577225508,3,1
1577229081,4,0
1577232554,4,2
1577236159,0,2
1577239916,7,2
1577243362,1,1
1577247080,0,1
1577254317,2,0
1577257753,0,1
1577261361,0,2
1577265082,3,0
1577268719,0,1
1577272157,1,2
1577275750,3,3
1577279356,1,2
1577286554,5,1
1577290156,4,2
1577293769,5,3
1577297536,3,2
1577301099,13,1
1577304569,4,1
1577308167,4,3
1577311921,6,4
1577315379,6,1
1577319056,3,3
1577322586,2,0
1577329783,1,2
1577333382,2,0
1577337107,1,0
1577340741,0,1
1577344184,0,3
1577347783,1,2
1577351386,2,0
1577358576,1,1
1577362173,0,1
1577369536,1,0
1577373072,1,0
1577376586,5,3
1577380193,4,5
1577387383,5,5
1577391112,2,2
1577394583,26,29
1577398332,18,21
1577401793,14,7
1577405399,4,0
1577409114,1,0
1577412711,1,1
1577416197,1,3
1577419787,1,1
1577423395,0,1
1577430588,2,4
1577434190,1,1
1577437793,1,1
1577441547,1,2
1577445116,1,1
1577448595,2,2
1577452196,0,1
1577455944,1,0
1577459395,3,2
1577463111,0,5
1577466597,4,1
1577470320,6,2
1577473804,3,1
1577477395,1,1
1577481122,0,2
1577484752,1,5
1577488185,2,0
1577491783,1,3
1577495392,0,1
1577502581,2,5
1577509794,0,1
1577517116,3,2
1577520587,1,0
1577524185,1,1
1577527937,1,2
1577531394,1,0
1577535053,1,3
1577538588,0,2
1577542340,1,3
1577545790,2,1
1577549379,2,2
1577553108,2,2
1577556726,2,2
1577560189,4,2
1577567390,4,3
1577574576,1,8
1577578175,1,3
1577581775,0,1
1577585445,1,2
1577589031,0,2
1577592573,1,0
1577596177,0,1
1577599922,0,1
1577603372,1,1
1577607074,1,1
1577610572,1,0
1577617770,0,1
1577625102,0,1
1577628730,3,0
1577632169,0,1
1577635785,2,2
1577639371,0,1
1577646580,5,5
1577650175,2,2
1577653775,1,1
1577661095,1,0
1577668183,2,2
1577671925,0,1
1577675379,1,1
1577679102,0,2
1577686324,0,1
1577697102,1,0
1577700739,0,1
1577704179,1,2
1577707782,3,0
1577711381,5,0
1577718571,1,1
1577722185,4,1
1577725775,0,1
1577729517,0,1
1577733098,2,1
1577736594,4,2
1577740169,1,4
1577743927,2,0
1577747492,1,0
1577750969,1,2
1577754567,2,1
1577758320,0,4
1577761902,2,1
1577765366,1,1
1577768967,2,0
1577772708,1,2
1577776295,0,1
1577779763,0,2
1577787121,2,2
1577790692,1,1
1577797761,0,2
1577801520,1,2
1577805090,1,1
1577808562,1,2
1577812157,0,4
1577815914,0,4
1577819492,7,0
1577822964,1,0
1577826562,3,1
1577830334,1,1
1577833900,6,2
1577837361,2,3
1577840960,1,0
1577844723,8,4
1577848297,2,1
1577851763,1,1
1577855374,1,0
1577859124,1,0
1577866165,1,0
1577869771,1,2
1577873534,0,1
1577877096,1,1
1577880562,1,5
1577884158,0,5
1577887914,0,4
1577891479,2,0
1577894955,2,6
1577898546,2,1
1577902279,1,4
1577905868,0,3
1577909345,5,7
1577912950,2,1
1577916700,3,1
1577920271,2,3
1577923746,1,5
1577927347,1,4
1577931094,0,14
1577934661,0,8
1577938137,4,1
1577941734,0,1
1577945495,0,1
1577952539,1,2
1577956128,1,1
1577959895,0,1
1577963458,0,1
