DateTime,AddedIPs,RemovedIPs
1576070037,1,2
1576073666,2,1
1576077245,2,1
1576080851,1,5
1576084434,0,3
1576088055,1,4
1576091625,1,3
1576098849,5,4
1576102453,2,1
1576106078,4,1
1576109635,1,1
1576113220,0,11
1576116832,1,2
1576120448,0,2
1576124011,1,1
1576127611,0,4
1576131214,2,0
1576134878,1,21
1576138385,3,2
1576141997,1,1
1576145597,4,2
1576149222,4,1
1576152803,2,2
1576156401,4,1
1576160009,2,0
1576163623,4,1
1576167197,1,3
1576170811,5,4
1576174412,0,1
1576178026,2,2
1576181604,3,1
1576185204,1,0
1576188828,2,0
1576192431,0,1
1576196018,2,1
1576199624,1,0
1576203218,1,2
1576206892,2,6
1576210410,1,0
1576214001,1,1
1576217613,2,3
1576221241,17,1
1576224836,5,0
1576228419,1,1
1576232007,1,2
1576235650,0,1
1576239209,1,6
1576242836,6,1
1576246410,4,3
1576250029,2,2
1576253615,5,2
1576257223,4,2
1576260831,3,0
1576264449,2,0
1576268027,3,1
1576271629,1,1
1576275222,1,2
1576278915,1,4
1576282428,0,2
1576286039,5,1
1576289631,2,1
1576293242,2,2
1576300417,1,2
1576304015,1,1
1576307641,4,13
1576311204,2,1
1576314820,6,5
1576318417,2,0
1576322034,3,2
1576325608,3,4
1576329222,3,5
1576332826,3,0
1576336408,2,0
1576340049,4,0
1576343625,1,1
1576347227,1,2
1576350844,2,4
1576354422,2,0
1576358045,1,1
1576361630,0,12
1576365217,0,4
1576368826,0,6
1576372432,1,1
1576376006,0,1
1576379604,2,0
1576383199,2,5
1576386900,1,3
1576390414,1,1
1576394004,0,1
1576397610,2,0
1576401238,0,1
1576404838,2,0
1576408409,0,3
1576412001,2,3
1576415630,4,5
1576419209,2,3
1576422821,1,3
1576426403,4,0
1576430026,4,4
1576433610,6,3
1576437212,0,2
1576440828,1,2
1576444436,3,4
1576448014,0,3
1576451609,1,3
1576455200,2,5
1576458905,3,1
1576462418,2,0
1576466006,0,8
1576469608,5,2
1576473236,6,3
1576476837,3,1
1576480429,10,4
1576484010,2,3
1576487646,1,1
1576491229,1,5
1576494837,2,1
1576498423,1,3
1576502038,1,2
1576505618,2,1
1576509215,2,3
1576512823,2,1
1576516424,2,2
1576520015,3,2
1576523614,5,4
1576527214,1,1
1576530827,1,3
1576534452,2,1
1576538019,1,1
1576545222,4,3
1576548893,4,1
1576552422,1,0
1576556022,2,4
1576559616,0,6
1576563237,3,1
1576566824,4,17
1576570406,3,1
1576574010,2,4
1576577637,7,2
1576581217,2,1
1576584832,3,1
1576588419,1,3
1576592035,1,2
1576595613,6,2
1576599211,2,2
1576602829,2,0
1576606439,4,4
1576610014,0,4
1576613605,3,2
1576617232,13,0
1576620905,2,4
1576624422,1,1
1576631618,3,0
1576635253,2,2
1576642446,3,1
1576646026,2,2
1576649649,4,0
1576656840,3,1
1576660430,0,4
1576664037,1,5
1576667628,0,2
1576671227,5,1
1576674842,4,1
1576678447,0,2
1576682037,7,2
1576685623,1,1
1576689238,4,2
1576692918,0,4
1576696436,2,1
1576700041,4,1
1576703635,0,2
1576707272,1,2
1576710850,3,1
1576718034,1,1
1576721650,1,0
1576725233,1,0
1576728851,5,0
1576732451,2,0
1576736066,0,2
1576739650,20,2
1576743252,3,2
1576746865,2,1
1576750483,2,2
1576754054,4,3
1576757650,5,5
1576761257,3,2
1576764939,5,3
1576768461,4,7
1576772063,4,1
1576775654,6,7
1576779275,3,1
1576782872,1,3
1576786464,8,3
1576790066,3,0
1576793704,6,1
1576800893,1,2
1576804473,1,1
1576808097,1,1
