DateTime,AddedIPs,RemovedIPs
1577457321,41,0
1577458826,14,1
1577459725,2,0
1577460922,11,0
1577461222,13,0
1577462427,13,0
1577463024,16,0
1577464227,33,0
1577464823,17,0
1577466024,29,0
1577466926,11,0
1577467823,20,0
1577469023,14,0
1577469626,3,0
1577469923,0,1
1577470528,6,0
1577471421,1,0
1577473227,31,0
1577475027,2,0
1577476225,188,0
1577477727,43,0
1577478922,2,0
1577479225,34,0
1577479527,32,0
1577480429,35,0
1577481626,1,0
1577482522,12,0
1577484024,2,0
1577484922,1,0
1577485223,3,0
1577486122,1,0
1577486723,81,0
1577487022,2,0
1577488224,26,0
1577489721,8,0
1577491226,15,0
1577492121,5,0
1577492722,4,0
1577493925,1,0
1577494521,26,0
1577496623,19,0
1577498120,29,0
1577499923,7,0
1577501421,15,0
1577502622,3,0
1577503821,7,0
1577504726,11,0
1577505622,51,0
1577507422,19,0
1577508622,39,0
1577508920,10,0
1577510125,32,0
1577511322,40,0
1577512520,4,0
1577513724,4,0
1577514622,1,0
1577515522,37,0
1577516121,2,0
1577517322,1,0
1577518822,2,0
1577519423,10,0
1577520621,4,0
1577521824,2,0
1577522724,17,0
1577524222,10,0
1577524526,30,0
1577524824,0,3
1577526022,4,0
1577527226,2,0
1577528122,61,0
1577529623,1,0
1577530521,14,0
1577530825,6,0
1577532024,5,0
1577532924,46,0
1577533225,13,0
1577534723,1,0
1577535625,10,0
1577536222,1,0
1577536521,1,0
1577536823,0,1
1577538323,37,0
1577538925,4,0
1577540121,1,0
1577540724,16,0
1577541924,26,1
1577543423,7,0
1577543725,23,0
1577545823,8,0
1577546724,2,0
1577547925,45,0
1577550025,19,0
1577550626,5,0
1577551825,10,0
1577553325,55,0
1577554226,4,0
1577555721,23,0
1577556925,4,0
1577559322,128,0
1577559629,9,0
1577560223,155,0
1577560823,17,0
1577562025,2,0
1577562627,8,0
1577564423,8,0
1577564723,47,0
1577565624,2,0
1577566226,3,0
1577567424,4,0
1577568324,2,0
1577570428,12,0
1577572223,4,0
1577572522,19,0
1577573427,2,0
1577574921,3,0
1577576121,4,0
1577576421,6,0
1577577921,16,0
1577579425,8,0
1577580322,1,0
1577581820,20,0
1577582722,5,0
1577583320,3,0
1577584225,17,0
1577585723,1,0
1577586921,38,0
1577587522,2,0
1577588425,12,0
1577588723,27,0
1577589925,1,0
1577590521,6,0
1577592025,15,0
1577592923,16,0
1577593825,6,0
1577594724,8,0
1577595023,6,0
1577596822,35,0
1577597424,14,0
1577598628,23,0
1577599222,15,0
1577599524,2,0
1577601028,1,0
1577601321,3,0
1577601924,3,0
1577602521,26,0
1577604923,10,0
1577606121,4,0
1577606723,6,0
1577607322,44,0
1577607627,0,1
1577607926,34,0
1577608521,1,0
1577608823,0,1
1577609122,8,0
1577611225,2,0
1577612423,2,0
1577613626,2,0
1577614522,1,0
1577615423,26,0
1577616925,28,0
1577617822,3,0
1577618723,3,0
1577619622,1,0
1577619923,7,0
1577620226,28,0
1577621722,31,0
1577622023,2,0
1577622327,1,0
1577622623,27,0
1577623822,6,0
1577624424,1,0
1577625622,4,0
1577626226,1,0
1577628022,22,0
1577628621,1,0
1577629824,2,0
1577631026,12,0
1577632528,1,1
1577633425,9,0
1577633723,2,0
1577634629,20,0
1577635822,5,0
1577636723,5,0
1577637324,30,0
1577637922,6,0
1577638825,43,0
1577639125,130,0
1577639724,14,0
1577640624,6,0
1577641524,8,0
1577642723,17,0
1577643625,13,0
1577644522,0,1
1577645426,8,0
1577646026,4,0
1577647525,1,0
1577649024,17,0
1577650822,4,0
1577651724,13,0
1577653226,3,0
1577654723,60,0
1577655321,243,0
1577655927,5,1
1577656828,9,0
1577658324,5,0
1577659826,5,0
1577660121,2,0
1577660723,2,0
1577662226,3,0
1577664323,32,0
1577665823,11,0
1577667027,8,0
1577668222,11,0
1577669422,5,0
1577670322,37,0
1577672122,9,0
1577672723,0,1
1577673319,5,0
1577675121,28,0
1577676326,3,0
1577678721,13,0
1577679322,0,1
1577679923,4,0
1577681720,26,0
1577682025,0,1
1577682921,13,0
1577684423,10,0
1577685022,14,0
1577685924,6,0
1577688022,12,0
1577688622,1,0
1577688921,18,0
1577690421,25,1
1577691022,1,0
1577691924,2,0
1577692829,3,0
1577693722,13,0
1577695527,4,0
1577696723,19,0
1577697623,6,0
1577697925,1,0
1577698823,43,0
1577699722,20,0
1577701524,3,0
1577702424,2,0
1577703324,12,0
1577704823,2,0
1577705425,1,0
1577707226,10,0
1577707525,2,0
1577708728,5,0
1577710524,4,0
1577711123,5,0
1577712022,2,0
1577712624,3,0
1577713828,5,0
1577714723,3,0
1577715023,0,1
1577716225,2,0
1577718324,22,0
1577718923,29,0
1577719826,3,0
1577720425,21,0
1577721625,5,0
1577722223,3,0
1577722823,0,1
1577724022,7,0
1577724627,31,0
1577726126,14,0
1577727028,18,0
1577728224,27,0
1577729123,13,0
1577729727,4,0
1577730623,7,0
1577732424,25,0
1577733326,237,0
1577734224,3,0
1577735430,2,0
1577736032,16,0
1577737223,1,0
1577737829,1,0
1577739029,4,0
1577740224,18,0
1577741126,5,0
1577743230,23,1
1577744127,1,0
1577745323,35,0
1577747125,24,0
1577747724,0,1
1577748021,2,0
1577749222,2,0
1577750121,13,0
1577750426,2,0
1577752822,8,0
1577753126,29,0
1577754922,22,0
1577755822,4,0
1577756421,2,0
1577757922,13,0
1577760021,0,1
1577760322,11,0
1577760622,15,0
1577761222,3,0
1577762725,9,0
1577763626,0,1
1577764225,18,0
1577766022,6,0
1577766623,1,0
1577767524,18,0
1577769022,9,0
1577769922,6,0
1577771123,30,0
1577771722,7,0
1577772622,2,0
1577773825,11,0
1577774423,4,0
1577775922,43,0
1577777125,16,0
1577778021,5,0
1577778925,8,0
1577780125,0,2
1577780423,5,0
1577780727,40,0
1577781023,10,0
1577782223,1,0
1577783422,8,0
1577784626,1,0
1577785823,20,0
1577787324,5,0
1577788227,2,0
1577789125,7,0
1577790926,4,0
1577791224,6,0
1577791526,4,0
1577792725,2,0
1577793322,20,0
1577793923,3,0
1577795423,31,0
1577795724,5,0
1577796920,11,0
1577797524,42,1
1577799026,7,0
1577799927,28,0
1577800525,7,0
1577801726,2,0
1577802325,3,0
1577803225,3,0
1577804125,54,0
1577805625,2,0
1577806223,5,0
1577806824,1,0
1577808028,26,0
1577808926,3,0
1577810125,5,0
1577810728,0,2
1577811628,28,0
1577812826,19,0
1577814624,15,0
1577815826,231,0
1577816726,11,0
1577817323,4,0
1577819124,32,0
1577821525,57,0
1577821825,19,0
1577823023,6,0
1577824523,3,0
1577825423,1,0
1577825724,11,0
1577826622,2,0
1577827223,9,0
1577828422,12,0
1577829921,155,0
1577831425,5,0
1577832021,34,0
1577832921,41,0
1577833226,1,0
1577834421,10,0
1577835022,3,0
1577835321,17,0
1577837121,95,0
1577838023,8,0
1577838622,6,0
1577839222,3,0
1577839525,13,0
1577840121,1,0
1577841622,5,0
1577842520,3,0
1577844023,64,0
1577845222,1,0
1577846121,29,0
1577847320,2,0
1577848524,2,0
1577850626,59,0
1577851224,1,0
1577851821,9,0
1577853023,1,0
1577854521,1,1
1577855724,35,0
1577856921,14,0
1577857525,8,0
1577858424,10,0
1577859622,8,0
1577859932,28,0
1577860822,7,0
1577862621,35,0
1577863224,3,0
1577864122,11,0
1577865022,2,0
1577866523,7,0
1577867722,3,0
1577868022,15,0
1577868921,1,0
1577870423,4,0
1577871321,2,0
1577872222,3,0
1577872522,0,1
1577873123,2,0
1577874324,11,0
1577876425,21,0
1577876721,43,1
1577878225,4,0
1577878822,9,0
1577880028,12,0
1577880625,16,0
1577881824,3,0
1577883026,4,0
1577884221,11,0
1577885721,0,1
1577886923,19,0
1577887229,6,0
1577887823,3,1
1577889322,7,0
1577889930,31,0
1577891727,9,0
1577892322,1,0
1577893224,1,0
1577894730,13,0
1577895327,2,0
1577896525,18,0
1577897422,2,0
1577898623,1,0
1577900125,10,0
1577901027,14,0
1577902822,17,0
1577903427,5,0
1577904023,6,0
1577904921,13,0
1577906123,3,0
1577906722,5,0
1577907623,14,0
1577908522,3,0
1577910022,195,0
1577910924,3,0
1577911825,8,0
1577913623,1,0
1577914824,1,0
