DateTime,AddedIPs,RemovedIPs
1576548708,7,3
1576552361,6,10
1576556105,4,18
1576559956,7,6
1576563305,6,2
1576566741,3,4
1576570358,9,6
1576573923,3,6
1576577574,6,6
1576581134,3,5
1576584757,5,5
1576586199,1024,1280
1576587004,2048,5376
1576588370,8,5
1576589413,512,512
1576591983,2,4
1576595550,5,3
1576599319,4,7
1576600210,256,256
1576602724,4,7
1576606352,5,4
1576609962,5,10
1576611011,256,256
1576613558,4,3
1576619702,10,3
1576620748,4,2
1576624503,1,4
1576628040,32,1
1576629011,512,512
1576631573,5,12
1576635199,12,7
1576638721,7,26
1576642503,6,13
1576646104,7,5
1576649704,3,6
1576653143,7,9
1576656772,5,6
1576660347,262,7
1576663945,2,6
1576667542,5,11
1576671168,5,4
1576673404,512,55552
1576674752,7,5
1576675810,1792,1792
1576678353,12,3
1576681923,7,8
1576683911,256,256
1576685577,8,2
1576689151,2,7
1576692753,6,4
1576696503,4,5
1576697411,768,512
1576699961,8,10
1576701302,256,512
1576703538,6,5
1576707142,3,6
1576710012,512,512
1576710777,7,5
1576714802,12,9
1576715412,256,256
1576717997,16,5
1576719011,256,256
1576721703,7,6
1576725191,8,10
1576728729,4,30
1576732685,8,5
1576736103,4,4
1576739549,1,9
1576743148,4,5
1576746737,7,10
1576750353,10,2
1576754103,3,2
1576757545,5,3
1576759804,61440,11264
1576761185,5,6
1576764751,5,9
1576768370,7,3
1576771946,2,2
1576775560,4,6
1576777511,1024,1024
1576779143,4,5
1576782761,1,11
1576783811,256,0
1576786503,8,2
1576789924,7,5
1576791911,0,256
1576793562,5,3
1576797133,3,2
1576799111,256,256
1576800775,14,5
1576804715,14,5
1576807962,4,4
1576811581,5,6
1576815224,4,11
1576818883,7,10
1576822867,4,5
1576826403,7,3
1576829541,5,8
1576833171,6,6
1576836903,7,10
1576837813,1792,2048
1576840378,10,8
1576843953,10,4
1576846205,3328,76032
1576847568,11,6
1576848905,256,256
1576851175,5,4
1576854757,4,6
1576856048,256,256
1576858346,5,4
1576862102,4,7
1576863911,512,256
1576865528,5,9
1576869152,3,7
1576872728,9,3
1576876369,4,4
1576879942,4,1
1576883704,1,4
1576887122,10,1
1576888498,256,256
1576890813,15,4
1576894373,19,4
1576897956,7,4
1576899902,65536,265216
1576901703,3,26
1576905592,9,7
1576908722,4,12
1576912320,3,9
1576915914,7,4
1576919545,10,8
1576923131,4,3
1576926763,11,7
1576930389,7,7
1576933919,7,21512
1576937535,5,6
1576941104,6,10
1576944746,7,9
1576948318,7,14
1576949412,1024,1280
1576952103,11,4
1576955568,4,4
1576959116,4,7
1576961112,256,256
1576962726,7,6
1576966304,11,4
1576969949,4,4
1576973656,11,5
1576977127,3,6
1576980743,7,20
1576984288,8,23
1576984665,256,0
1576987925,7,3
1576991537,5,4
1576995142,4,5
1576998903,3,5
1577002318,3,7
1577005922,3,8
1577009510,8,6
1577013109,7,6
1577016706,8,2
1577017623,768,768
1577020329,5,2
1577023899,4,4
1577027501,4,3
1577031124,5,4
1577034704,6,4
1577035812,256,256
1577038325,1,4
1577041895,1,5
1577043012,256,256
1577045541,2,5
1577049079,5,5
1577050212,256,256
1577052764,5,4
1577053812,256,256
1577056294,5,3
1577059928,5,6
1577061013,256,256
1577063582,15,3
1577067102,6,3
1577070754,3,7
1577074280,5,10
1577075412,256,256
1577077906,4,3
1577079012,256,256
1577081515,5,9
1577085135,6,7
1577088712,5,12
1577092293,9,7
1577095888,9,6
1577099523,6,2
1577103114,9,6
1577105404,1024,4096
1577106691,5,5
1577107870,1024,768
1577110514,4,5
1577113878,3,5
1577115602,256,256
1577117506,7,6
1577121111,5,5
1577124694,2,8
1577128290,5,4
1577130312,256,256
1577131914,5,5
1577133011,256,256
1577135503,5,4
1577139116,4,2
1577142690,5,4
1577146544,23,3
1577147703,256,256
1577150027,6,3
1577153610,7,8
1577157119,6,15
1577160717,7,3
1577164803,4,4
1577167883,5,6
1577171702,3,5
1577175109,4,7
1577178677,4,6
1577182319,4,14
1577185887,9,3
1577189509,7,6
1577193112,4102,18436
1577194271,1024,1024
1577196660,10,6
1577200331,5,5
1577203875,7,9
1577205913,256,512
1577207503,5,7
1577208612,512,256
1577211122,5,7
1577214693,6,7
1577215812,0,256
1577218302,5,5
1577219412,256,0
1577221909,7,2
1577225480,8,3
1577229105,5,7
1577232744,5,4
1577232915,256,256
1577236352,22,7
1577239917,10,8
1577243545,10,17
1577247114,10,17
1577250741,8,6
1577254300,5,6
1577257902,8,4
1577261526,5,8
1577265108,6,4
1577268716,7,3
1577272342,7,15
1577275916,10,3
1577278529,256,12032
1577279530,6,8
1577283105,3,2
1577286758,5,6
1577290314,4,16
1577293928,10,9
1577297599,7,8
1577298612,0,256
1577301099,8,7
1577304710,3,5
1577308327,13,4
1577311939,6,4
1577314812,256,0
1577315494,6,4
1577319133,7,3
1577322011,256,256
1577322695,15,5
1577326316,14,5
1577329927,5,10
1577333539,7,34
1577337131,6,5
1577340903,5,10
1577344503,6,7
1577348103,5,7
1577351550,3,5
1577355144,7,2
1577358729,4,4
1577360832,768,768
1577362570,2,3
1577363412,256,256
1577365917,6660,770
1577367911,256,256
1577369711,4,3
1577373302,3,9
1577376903,10,3
1577380330,4,4
1577383802,256,256
1577383953,6,8
1577387578,4,6
1577391133,2,5
1577394903,4,3
1577398503,7,4
