DateTime,Entries,UniqueIPs
1577667639,113535,9398384
1577668293,113540,9398389
1577669013,113543,9398392
1577669543,113535,9398385
1577669973,113536,9398386
1577670692,113532,9398382
1577671482,113528,9398378
1577671952,113526,9398379
1577672373,113533,9398386
1577673150,113534,9398387
1577673371,113520,9398373
1577673605,113539,9398392
1577673813,113535,9398388
1577674532,113537,9398390
1577675322,113531,9398385
1577675973,113520,9398375
1577676692,113508,9398363
1577677211,113494,9398344
1577677413,113500,9398350
1577678132,113497,9398347
1577678853,113501,9398351
1577679573,113498,9398348
1577680293,113490,9398340
1577681012,113500,9398607
1577681287,113471,9398578
1577681733,113470,9398577
1577682453,113469,9398576
1577683225,113467,9398571
1577683444,113468,9398572
1577683893,113471,9398576
1577684613,113469,9398574
1577685126,113476,9398582
1577685334,113472,9398578
1577686054,113459,9398565
1577686773,113459,9398565
1577687053,113451,9398557
1577687492,113453,9398559
1577688259,113480,9398586
1577688982,113500,9398606
1577689894,113494,9398600
1577690613,113496,9398602
1577691573,113485,9398591
1577692293,113487,9398593
1577692811,113498,9398604
1577693253,113501,9398607
1577694213,113500,9398606
1577694745,113493,9398598
1577695174,113500,9398605
1577696133,113501,9398606
1577696659,113508,9398614
1577696854,113504,9398610
1577697573,113516,9398622
1577698293,113522,9398628
1577698822,113515,9398620
1577699013,113516,9398622
1577699733,113523,9398629
1577700453,113527,9398633
1577701173,113525,9398631
1577701892,113521,9398627
1577702668,113508,9398613
1577703127,113517,9398622
1577703333,113515,9398620
1577704052,113518,9398623
1577704568,113520,9398625
1577704773,113514,9398619
1577705493,113514,9398619
1577706214,113520,9398625
1577706520,113519,9398624
1577706932,113520,9398625
1577707653,113520,9398626
1577708422,113503,9398609
1577709092,113502,9398608
1577709813,113504,9398610
1577710336,113504,9398610
1577710533,113505,9398611
1577711253,113507,9398613
1577711973,113511,9398617
1577712249,113506,9398612
1577712693,113501,9398607
1577713412,113504,9398609
1577714187,113511,9398616
1577715093,113508,9398613
1577715813,113510,9398615
1577716347,113514,9398618
1577716823,113522,9398626
1577717493,113533,9398638
1577718021,113543,9398648
1577718516,113538,9398643
1577719174,113533,9398638
1577719892,113537,9398642
1577720417,113561,9398666
1577720614,113566,9398671
1577721334,113564,9398669
1577722052,113568,9398674
1577722337,113570,9398672
1577722773,113566,9398668
1577723494,113567,9398669
1577724263,113572,9398675
1577724933,113574,9398677
1577725653,113653,9398757
1577726180,113664,9398768
1577726373,113638,9398740
1577727124,113634,9398736
1577727813,113630,9398732
1577728087,113639,9398740
1577728533,113638,9398739
1577729253,113633,9398734
1577730022,113630,9398731
1577730692,113630,9398731
1577731413,113628,9398729
1577731933,113635,9398735
1577732133,113628,9398727
1577732906,113645,9398745
1577733864,113634,9398735
1577734532,113636,9398737
1577735254,113639,9398740
1577735770,113628,9398729
1577735972,113631,9398732
1577736694,113632,9398733
1577737412,113634,9398735
1577737946,113636,9398737
1577738374,113635,9398735
1577739094,113641,9398741
1577739868,113649,9398748
1577740533,113652,9398752
1577741253,113659,9398758
1577741770,113652,9398752
1577741972,113661,9398761
1577742692,113659,9398759
1577743718,113649,9398750
1577744373,113677,9398779
1577745093,113674,9398776
1577745611,113687,9398789
1577745813,113686,9398788
1577746533,113685,9398787
1577747252,113690,9398792
1577747529,113709,9398811
1577747974,113676,9398777
1577748746,113676,9398777
1577749460,113653,9398751
1577750134,113652,9398750
1577750852,113652,9398750
1577751371,113645,9398742
1577751573,113648,9398745
1577752293,113653,9398749
1577753013,113652,9398749
1577753286,113646,9398740
1577753733,113644,9398738
1577754453,113630,9398724
1577755219,113645,9398739
1577755894,113641,9398735
1577756612,113656,9398750
1577757135,113643,9398737
1577757333,113652,9398746
1577758053,113652,9398746
1577758773,113644,9398738
1577759051,113647,9398740
1577759493,113646,9398739
