DateTime,AddedIPs,RemovedIPs
1577532722,6,0
1577533922,1,0
1577535722,1,0
1577536322,3,0
1577537522,2,0
1577538122,6,0
1577538721,2,0
1577539321,2,0
1577539322,1,0
1577539922,1,0
1577540522,2,0
1577541122,1,0
1577542322,2,0
1577543523,3,0
1577544123,1,0
1577544723,2,0
1577545322,5,0
1577545922,2,0
1577546522,2,0
1577547123,9,0
1577548322,1,0
1577548922,3,0
1577549522,1,0
1577550123,1,0
1577550722,2,0
1577551322,6,0
1577552522,1,0
1577553122,1,0
1577553722,6,0
1577554322,2,0
1577555522,9,0
1577557323,2,0
1577559122,1,0
1577559722,4,0
1577560322,3,0
1577560922,1,0
1577561522,2,0
1577562722,1,0
1577563322,3,0
1577564523,5,0
1577565723,8,0
1577566322,1,0
1577568722,2,0
1577569322,3,0
1577569922,3,0
1577570522,1,0
1577571122,4,0
1577571722,1,0
1577572922,1,0
1577573522,3,0
1577574526,981,331
1577575922,3,0
1577576522,2,0
1577578322,1,0
1577578922,2,1
1577579522,2,0
1577580122,2,0
1577581322,0,1
1577582522,1,0
1577583122,2,0
1577583722,2,0
1577584322,0,1
1577587322,3,1
1577588523,3,0
1577589122,1,0
1577590322,1,0
1577592122,1,0
1577592722,10,0
1577594522,1,0
1577595122,5,0
1577596922,1,0
1577597522,3,0
1577598122,0,1
1577599322,3,0
1577601121,1,0
1577601722,1,0
1577602322,1,0
1577602922,3,0
1577603523,1,0
1577604122,1,0
1577604722,1,0
1577605322,1,0
1577605922,0,1
1577606522,2,0
1577607122,1,0
1577608922,3,1
1577609522,1,0
1577610122,5,1
1577611322,1,0
1577611922,2,0
1577613122,2,0
1577613722,1,0
1577614922,1,0
1577616122,2,1
1577616722,2,0
1577617322,2,0
1577618522,1,0
1577619722,4,0
1577621522,2,0
1577622722,2,0
1577623322,2,0
1577623922,1,0
1577624522,2,0
1577625122,3,0
1577625722,2,0
1577628122,1,0
1577628722,1,0
1577629922,6,1
1577631122,1,0
1577631722,1,0
1577632322,1,0
1577632922,1,0
1577633522,2,0
1577634122,1,0
1577634722,2,0
1577635322,1,0
1577636522,1,0
1577638322,5,0
1577639522,4,0
1577640123,4,0
1577640722,1,0
1577641922,1,0
1577643122,1,0
1577643722,1,0
1577644922,2,0
1577646122,1,0
1577648522,3,0
1577649722,4,0
1577650322,1,0
1577650922,1,0
1577651522,3,0
1577652122,3,0
1577652722,1,0
1577654522,2,1
1577655122,6,0
1577656322,3,0
1577656923,4,0
1577658122,1,0
1577658722,1,0
1577659322,2,0
1577660522,1,0
1577661122,2,0
1577661643,1048,275
1577661722,3,0
1577662922,1,0
1577664123,1,0
1577665322,2,0
1577665922,8,0
1577666522,3,1
1577667122,1,1
1577668922,2,0
1577669522,6,0
1577670122,1,0
1577672522,0,1
1577673122,2,0
1577673722,2,0
1577674922,1,0
1577676122,2,0
1577676722,2,0
1577677321,2,0
1577677922,4,0
1577678522,2,0
1577680323,23,0
1577681522,9,0
1577682122,0,1
1577683923,4,0
