DateTime,AddedIPs,RemovedIPs
1576987932,17,19
1576989864,15,17
1576991784,18,17
1576993687,23,16
1576995619,32,19
1576997530,16,23
1576999447,10,21
1577001379,21,28
1577003285,16,22
1577005215,19,24
1577007152,16,18
1577009054,18,29
1577011215,13,21
1577013139,10,817
1577015071,22,20
1577016983,461,0
1577019133,15,20
1577021049,11,23
1577022981,15,34
1577025146,18,18
1577027307,9,19
1577029224,5,11
1577031141,9,16
1577033050,7,28
1577034984,14,24
1577036890,19,16
1577038806,10,9
1577040739,9,23
1577042647,9,19
1577044578,11,23
1577046488,10,21
1577048414,12,22
1577050349,10,24
1577052254,6,14
1577054168,14,23
1577056116,4,20
1577058010,6,17
1577060181,413,0
1577062332,23,15
1577064250,14,23
1577066178,24,31
1577068087,24,14
1577070012,21,16
1577071950,17,9
1577073852,22,8
1577075770,25,29
1577077708,12,20
1577079615,9,19
1577081781,14,11
1577083932,10,19
1577085852,16,19
1577087779,11,22
1577089689,8,16
1577091617,20,22
1577093555,12,24
1577095453,9,13
1577097375,11,23
1577099325,9,807
1577101217,17,17
1577103391,395,0
1577105528,17,17
1577107448,24,15
1577109379,10,14
1577111285,15,18
1577113221,8,20
1577115155,7,10
1577117306,8,22
1577119209,10,8
1577121131,10,15
1577123048,9,19
1577124979,28,28
1577127152,27,20
1577129050,36,12
1577130977,27,22
1577132886,21,19
1577134835,16,24
1577136734,14,18
1577138927,26,17
1577140827,39,12
1577142754,24,11
1577144650,21,14
1577146584,350,0
1577148487,44,8
1577150408,34,16
1577152341,31,12
1577154248,27,12
1577156178,42,18
1577158339,34,12
1577160497,24,21
1577162411,22,8
1577164344,18,13
1577166251,8,17
1577168178,20,25
1577170087,25,16
1577172025,36,11
1577173931,19,17
1577175860,28,15
1577177767,24,21
1577179946,21,24
1577181858,31,15
1577183778,19,14
1577185701,12,611
1577187618,23,15
1577189547,342,0
1577191450,16,10
1577193371,30,14
1577195301,19,13
1577197207,22,14
1577199128,18,17
1577201060,16,14
1577202968,17,21
1577204887,10,15
1577206815,10,15
1577208745,12,10
1577210937,8,18
1577212808,12,16
1577214737,6,8
1577216663,7,19
1577218814,21,13
1577220748,8,12
1577222650,14,20
1577224565,11,11
1577226497,6,13
1577228432,7,12
1577230336,6,13
1577232255,300,0
1577234179,17,12
1577236349,28,12
1577238250,11,12
1577240171,27,17
1577242102,20,14
1577244006,29,12
1577245930,15,20
1577247858,18,15
1577249767,22,9
1577251698,12,9
1577253620,22,17
1577255554,19,12
1577257454,14,8
1577259611,23,20
1577261532,15,8
1577263460,14,9
1577265383,18,13
1577267296,14,9
1577269216,17,16
1577271127,14,7
1577273048,22,1045
1577274980,34,21
1577276886,595,0
1577278817,12,48
1577280760,10,27
1577282652,6,31
1577284814,14,34
1577286989,10,41
1577289128,15,18
1577291063,5,18
1577292965,5,28
1577295137,11,18
1577297053,5,21
1577298983,11,25
1577300895,7,35
1577302814,16,30
1577304739,4,31
1577306656,14,19
1577308812,14,35
1577310738,10,24
1577312649,6,22
1577314579,9,24
1577316491,8,8
1577318423,544,0
1577320350,19,20
1577322254,22,40
1577324174,16,31
1577326347,21,33
1577328253,16,26
1577330415,31,38
1577332331,22,13
1577334259,13,17
1577336166,20,27
1577338087,7,15
1577340027,12,22
1577341939,11,21
1577344116,10,34
1577346021,23,30
1577348180,17,35
1577350333,15,23
1577352250,18,29
1577354167,11,26
1577356097,10,20
1577358015,14,735
1577359954,16,20
1577361853,428,0
1577363777,11,18
1577365689,17,14
1577367614,19,23
1577369543,7,14
1577371448,22,21
1577373609,14,24
1577375528,8,14
1577377459,19,20
1577379368,18,21
1577381537,16,16
1577383478,20,18
1577385368,19,17
1577387320,18,16
1577389210,20,29
1577391151,24,16
1577393052,15,16
1577395226,19,20
1577397127,23,20
1577399052,16,15
1577400976,22,15
1577402890,17,17
1577404815,377,0
1577406745,20,12
1577408910,24,16
1577410823,31,18
1577412740,26,13
1577414653,14,20
1577416582,33,17
1577418731,24,15
1577420648,22,18
1577422579,22,19
1577424487,19,12
1577426416,24,19
1577428348,18,12
1577430253,19,10
1577432170,21,26
1577434128,27,13
1577436013,25,17
1577437942,25,11
1577439860,10,23
1577441787,19,13
1577443934,28,13
1577445848,23,630
1577447778,34,20
1577449938,382,0
1577451863,29,22
1577453783,20,11
1577455710,12,9
1577457630,11,14
1577459803,20,12
1577461714,7,32
1577463606,21,13
1577465527,13,20
1577467448,13,9
1577469366,18,11
1577471546,4,19
1577473694,12,13
1577475609,12,23
1577477533,12,13
1577479449,8,21
1577481619,18,28
1577483537,15,21
1577485447,7,6
1577487425,14,14
1577489294,15,15
1577491216,348,0
1577493137,20,17
1577495059,14,20
1577497217,36,14
1577499138,24,7
1577501051,20,12
1577502973,16,12
1577504888,11,30
1577506808,13,12
1577508727,19,17
1577510648,16,9
1577512567,14,9
1577514490,11,14
1577516414,12,13
1577518400,10,17
1577520253,13,17
1577522168,17,18
1577524090,16,20
1577526009,25,24
1577528183,27,8
1577530087,7,11
1577532008,21,950
1577533930,34,26
1577535846,538,0
1577537769,18,24
1577539688,24,26
1577541622,18,23
1577543538,11,19
1577545476,17,18
1577547367,13,32
1577549317,18,13
1577551211,17,25
1577553391,12,19
1577555287,22,19
1577557228,17,36
1577559127,16,20
1577561056,8,20
1577562977,23,24
1577564886,17,25
1577566821,19,25
1577568746,16,29
1577570659,18,21
1577572577,7,28
1577574536,10,27
1577576664,13,20
1577578574,480,0
1577580489,15,13
1577582408,25,28
1577584329,13,15
1577586247,54,21
1577588166,29,21
1577590102,18,24
1577592011,22,19
1577593935,19,15
1577596104,13,20
1577598011,25,20
1577599951,19,28
1577601850,18,21
1577603771,23,23
1577605700,20,13
1577607850,20,33
1577609768,24,22
1577611697,19,31
1577613634,25,19
1577615546,13,22
1577617460,16,808
1577619624,25,34
1577621536,430,0
1577623458,29,18
1577625614,14,27
1577627529,13,23
1577629457,8,25
1577631616,5,20
1577633535,7,10
1577635698,11,12
1577637607,6,22
1577639782,9,20
1577641697,4,15
1577643621,2,21
1577645526,9,10
1577647456,8,14
1577649368,12,19
1577651534,12,21
1577653698,5,19
1577655618,8,28
1577657776,8,28
1577659942,8,12
1577661859,8,15
1577663779,7,34
1577665696,398,0
1577667639,20,19
1577669543,20,18
1577671482,20,22
1577673371,30,20
1577675321,21,14
1577677211,32,10
1577679387,24,9
1577681287,14,20
1577683224,12,18
1577685125,16,14
1577687053,15,16
1577688982,18,11
1577690897,19,12
1577692811,17,17
1577694745,10,17
1577696658,15,18
1577698822,27,29
1577700733,16,25
1577702667,10,8
1577704567,19,846
1577706519,21,16
1577708422,472,0
1577710335,16,19
1577712248,7,17
1577714186,9,15
1577716345,17,23
1577718515,19,21
1577720415,18,24
1577722335,11,15
1577724262,11,14
1577726179,12,24
1577728086,8,27
1577730021,16,26
1577731932,14,20
1577733862,10,26
1577735769,16,18
1577737944,8,26
1577739867,12,26
1577741768,15,26
1577743716,12,21
1577745609,10,17
1577747535,20,11
1577749460,12,13
1577751371,418,0
1577753286,17,17
1577755219,19,15
1577757135,31,11
1577759051,21,20
1577760977,34,19
1577762887,18,14
1577764836,41,19
1577766735,17,14
1577768900,27,14
1577770810,30,31
1577772755,26,21
1577774650,35,17
1577776580,53,25
1577778499,19,17
1577780407,30,23
1577782328,23,20
1577784263,20,25
1577786168,19,24
1577788095,26,14
1577790018,23,631
1577791951,28,14
1577793858,421,0
1577795777,45,14
1577797701,32,13
1577799607,13,19
1577801776,18,22
1577803699,21,12
1577805849,13,22
1577808030,12,33
1577809945,10,14
1577811855,12,14
1577813767,10,13
1577815713,13,15
1577817608,9,19
1577819537,6,18
1577821459,5,26
1577823367,8,19
1577825530,7,11
1577827457,6,23
1577829366,6,22
1577831284,9,9
1577833274,12,28
1577835394,7,17
1577837556,385,0
1577839448,9,12
1577841613,20,18
1577843529,11,15
1577845461,9,15
1577847366,16,16
1577849290,13,18
1577851211,25,30
1577853134,16,14
1577855069,14,12
1577856969,21,13
1577858918,16,14
1577861063,14,19
1577862974,20,24
1577864903,15,21
1577866807,18,19
1577868738,7,8
1577870658,12,21
1577872575,12,22
1577874486,21,8
1577876441,20,907
1577878339,21,27
1577880299,607,0
1577882428,20,29
1577884343,15,15
1577886250,11,15
1577888186,12,29
1577890088,9,25
1577892029,12,24
1577893932,5,25
1577895853,10,24
1577897783,8,30
1577899692,7,25
1577901611,15,29
1577903551,10,32
1577905466,9,50
1577907620,15,37
1577909538,24,24
1577911465,19,28
1577913366,16,27
1577915544,7,18
1577917458,9,24
1577919637,14,18
1577921529,16,27
1577923709,529,0
1577925611,19,19
1577927554,26,14
1577929450,19,13
1577931390,16,26
1577933291,21,23
1577935217,23,21
1577937144,24,23
1577939057,18,23
1577940979,30,28
1577942893,21,22
1577944816,21,28
1577946760,22,30
1577948651,23,45
1577950587,21,32
1577952499,26,21
1577954418,21,27
1577956349,20,22
1577958269,14,14
1577960188,18,22
1577962095,15,17
1577964029,19,700
