DateTime,AddedIPs,RemovedIPs
1577260807,228,230
1577261707,310,309
1577263507,513,598
1577264407,294,284
1577265307,313,299
1577267108,574,599
1577268906,549,617
1577270707,550,570
1577271607,220,81
1577272507,267,131
1577274306,349,267
1577275206,261,128
1577276106,159,281
1577277906,901,664
1577278805,288,226
1577279707,121,142
1577281505,419,318
1577282405,322,207
1577283305,176,210
1577285105,602,558
1577286005,383,266
1577286905,328,243
1577288705,502,328
1577289605,173,196
1577290505,225,174
1577292304,491,515
1577293205,287,193
1577295006,476,408
1577296805,375,368
1577298604,404,388
1577300404,409,414
1577302204,530,523
1577304005,545,384
1577304904,207,180
1577306704,467,406
1577307604,542,258
1577309405,617,582
1577311205,460,597
1577312104,225,262
1577313905,472,409
1577314804,188,203
1577315705,379,234
1577317505,607,553
1577318405,345,295
1577319305,847,532
1577321105,1144,859
1577322004,484,202
1577322904,303,227
1577324705,643,451
1577325605,310,253
1577326505,151,321
1577328305,565,465
1577329205,266,302
1577331004,364,249
1577332805,197,31
1577334605,170,36
1577336405,162,32
1577337305,112,17
1577339104,179,49
1577340004,126,25
1577341805,202,68
1577343604,342,81
1577344504,272,99
1577346304,285,402
1577347204,153,210
1577348103,175,270
1577349904,273,343
1577350803,126,204
1577351704,82,496
1577353504,138,560
1577354404,102,242
1577355302,87,183
1577357103,146,371
1577358003,81,234
1577358903,75,220
1577360703,106,636
1577361603,63,300
1577363403,133,1183
1577365202,123,1111
1577366102,66,472
1577367902,126,605
1577368802,125,299
1577370602,134,453
1577372402,143,545
1577374201,888,419
1577376001,405,209
1577377801,273,166
1577379601,336,133
1577380502,184,83
1577382302,1769,122
1577383201,265,62
1577384101,348,70
1577385901,499,125
1577386802,170,45
1577387702,35,175
1577389502,307,302
1577390402,188,131
1577392202,315,234
1577394002,235,207
1577395802,346,167
1577397602,293,92
1577398502,164,70
1577400302,418,101
1577401203,139,67
1577402103,129,54
1577403903,1186,90
1577404803,420,42
1577406603,611,74
1577408403,740,88
1577409304,252,40
1577411103,458,77
1577412003,213,41
1577412904,210,98
1577414703,436,82
1577415603,181,51
1577416503,215,61
1577418304,455,788
1577419204,163,304
1577420103,226,90
1577421904,447,239
1577422803,177,127
1577423704,167,139
1577425503,343,1681
1577426404,227,165
1577427304,152,214
1577429104,354,589
1577430005,256,244
1577430903,222,166
1577432704,464,175
1577433604,195,449
1577434504,251,315
1577436305,518,629
1577437204,236,241
1577438105,255,268
1577439904,611,734
1577440804,295,336
1577441704,245,368
1577443504,520,1533
1577444405,291,477
1577445305,231,497
1577447104,557,782
1577448004,435,300
1577448905,360,305
1577450704,600,585
1577451604,232,260
1577453404,435,490
1577455204,420,458
1577456104,142,205
1577457905,268,409
1577458804,158,279
1577459704,165,239
1577461505,349,332
1577462404,216,242
1577463305,204,396
1577465104,307,620
1577466005,122,315
1577466904,205,347
1577468704,346,574
1577469604,284,442
1577470505,195,313
1577472304,566,852
1577473204,271,392
1577474104,217,645
1577475904,259,677
1577476804,140,217
1577477705,151,249
1577479505,408,748
1577480405,175,542
1577482204,449,1026
1577484005,384,735
1577484905,189,363
1577486704,451,546
1577488505,566,507
1577490305,382,326
1577491205,416,172
1577492104,545,188
1577493904,1058,329
1577494805,385,202
1577495705,341,182
1577497505,675,394
1577498405,376,257
1577499305,276,172
1577501104,503,387
1577502006,293,167
1577502905,299,81
1577504705,518,203
1577505605,276,173
1577506505,282,272
1577508305,474,283
1577509205,219,149
1577510105,238,114
1577511904,440,277
1577512804,245,108
1577513705,303,128
1577515505,519,383
1577516405,334,85
1577517305,257,100
1577519104,490,428
1577520005,228,383
1577520905,282,156
1577522705,480,182
1577523605,274,145
1577524505,255,233
1577526305,417,300
1577527204,202,237
1577528105,275,276
1577529904,483,425
1577530805,266,241
1577531705,222,292
1577533505,646,644
1577534404,362,380
1577536204,753,605
1577538005,786,518
1577538904,331,299
1577540705,643,456
1577541604,288,212
1577542504,150,145
1577544304,317,278
1577546104,275,310
