DateTime,Entries,UniqueIPs
1577260807,7895,7895
1577261707,7896,7896
1577263507,7811,7811
1577264407,7821,7821
1577265307,7835,7835
1577267108,7810,7810
1577268906,7742,7742
1577270707,7722,7722
1577271607,7861,7861
1577272507,7997,7997
1577274306,8079,8079
1577275206,8212,8212
1577276106,8090,8090
1577277906,8327,8327
1577278805,8389,8389
1577279707,8368,8368
1577281505,8469,8469
1577282405,8584,8584
1577283305,8550,8550
1577285105,8594,8594
1577286005,8711,8711
1577286905,8796,8796
1577288705,8970,8970
1577289605,8947,8947
1577290505,8998,8998
1577292304,8974,8974
1577293205,9068,9068
1577295006,9136,9136
1577296805,9143,9143
1577298604,9159,9159
1577300404,9154,9154
1577302204,9161,9161
1577304005,9322,9322
1577304904,9349,9349
1577306704,9410,9410
1577307604,9694,9694
1577309405,9729,9729
1577311205,9592,9592
1577312104,9555,9555
1577313905,9618,9618
1577314804,9603,9603
1577315705,9748,9748
1577317505,9802,9802
1577318405,9852,9852
1577319305,10167,10167
1577321105,10452,10452
1577322004,10734,10734
1577322904,10810,10810
1577324705,11002,11002
1577325605,11059,11059
1577326505,10889,10889
1577328305,10989,10989
1577329205,10953,10953
1577331004,11068,11068
1577332805,11234,11234
1577334605,11368,11368
1577336405,11498,11498
1577337305,11593,11593
1577339104,11723,11723
1577340004,11824,11824
1577341805,11958,11958
1577343604,12219,12219
1577344504,12392,12392
1577346304,12275,12275
1577347204,12218,12218
1577348103,12123,12123
1577349904,12053,12053
1577350803,11975,11975
1577351704,11561,11561
1577353504,11139,11139
1577354404,10999,10999
1577355302,10903,10903
1577357103,10678,10678
1577358003,10525,10525
1577358903,10380,10380
1577360703,9850,9850
1577361603,9613,9613
1577363403,8563,8563
1577365202,7575,7575
1577366102,7169,7169
1577367902,6690,6690
1577368802,6516,6516
1577370602,6197,6197
1577372402,5795,5795
1577374201,6264,6264
1577376001,6460,6460
1577377801,6567,6567
1577379601,6770,6770
1577380502,6871,6871
1577382302,8518,8518
1577383201,8721,8721
1577384101,8999,8999
1577385901,9373,9373
1577386802,9498,9498
1577387702,9358,9358
1577389502,9363,9363
1577390402,9420,9420
1577392202,9501,9501
1577394002,9529,9529
1577395802,9708,9708
1577397602,9909,9909
1577398502,10003,10003
1577400302,10320,10320
1577401203,10392,10392
1577402103,10467,10467
1577403903,11563,11563
1577404803,11941,11941
1577406603,12478,12478
1577408403,13130,13130
1577409304,13342,13342
1577411103,13723,13723
1577412003,13895,13895
1577412904,14007,14007
1577414703,14361,14361
1577415603,14491,14491
1577416503,14645,14645
1577418304,14312,14312
1577419204,14171,14171
1577420103,14307,14307
1577421904,14515,14515
1577422803,14565,14565
1577423704,14593,14593
1577425503,13255,13255
1577426404,13317,13317
1577427304,13255,13255
1577429104,13020,13020
1577430005,13032,13032
1577430903,13088,13088
1577432704,13377,13377
1577433604,13123,13123
1577434504,13059,13059
1577436305,12948,12948
1577437204,12943,12943
1577438105,12930,12930
1577439904,12807,12807
1577440804,12766,12766
1577441704,12643,12643
1577443504,11630,11630
1577444405,11444,11444
1577445305,11178,11178
1577447104,10953,10953
1577448004,11088,11088
1577448905,11143,11143
1577450704,11158,11158
1577451604,11130,11130
1577453404,11075,11075
1577455204,11037,11037
1577456104,10974,10974
1577457905,10833,10833
1577458804,10712,10712
1577459704,10638,10638
1577461505,10655,10655
1577462404,10629,10629
1577463305,10437,10437
1577465104,10124,10124
1577466005,9931,9931
1577466904,9789,9789
1577468704,9561,9561
1577469604,9403,9403
1577470505,9285,9285
1577472304,8999,8999
1577473204,8878,8878
1577474104,8450,8450
1577475904,8032,8032
1577476804,7955,7955
1577477705,7857,7857
1577479505,7517,7517
1577480405,7150,7150
1577482204,6573,6573
1577484005,6222,6222
1577484905,6048,6048
1577486704,5953,5953
1577488505,6012,6012
1577490305,6068,6068
1577491205,6312,6312
1577492104,6669,6669
1577493904,7398,7398
1577494805,7581,7581
1577495705,7740,7740
1577497505,8021,8021
1577498405,8140,8140
1577499305,8244,8244
1577501104,8360,8360
1577502006,8486,8486
1577502905,8704,8704
1577504705,9019,9019
1577505605,9122,9122
1577506505,9132,9132
1577508305,9323,9323
1577509205,9393,9393
1577510105,9517,9517
1577511904,9680,9680
1577512804,9817,9817
1577513705,9992,9992
1577515505,10128,10128
1577516405,10377,10377
1577517305,10534,10534
1577519104,10596,10596
1577520005,10441,10441
1577520905,10567,10567
1577522705,10865,10865
1577523605,10994,10994
1577524505,11016,11016
1577526305,11133,11133
1577527204,11098,11098
1577528105,11097,11097
1577529904,11155,11155
1577530805,11180,11180
1577531705,11110,11110
1577533505,11112,11112
1577534404,11094,11094
1577536204,11242,11242
1577538005,11510,11510
1577538904,11542,11542
1577540705,11729,11729
1577541604,11805,11805
1577542504,11810,11810
1577544304,11849,11849
1577546104,11814,11814
1577547905,11856,11856
1577548804,11880,11880
1577549704,11925,11925
1577551504,12070,12070
1577552405,12797,12797
1577553304,12922,12922
1577555104,12996,12996
1577556004,12457,12457
1577556904,11693,11693
1577558705,12424,12424
1577560505,12246,12246
1577562304,12446,12446
1577563205,12474,12474
1577564105,12406,12406
1577565905,12328,12328
1577566804,12316,12316
1577567705,12054,12054
1577569505,11946,11946
1577571304,11550,11550
1577573105,11604,11604
1577574005,11658,11658
1577574905,11623,11623
1577576705,11588,11588
1577577605,11477,11477
1577578504,11357,11357
1577580305,10446,10446
1577581205,10320,10320
1577582105,10244,10244
1577583905,10435,10435
1577584805,10594,10594
1577585705,10706,10706
1577587505,10879,10879
1577589305,11104,11104
1577591105,11333,11333
1577592005,11284,11284
1577592905,11096,11096
1577594704,10708,10708
1577595605,10527,10527
1577596505,10407,10407
1577598305,10074,10074
1577599205,10008,10008
1577601005,9831,9831
1577602805,9897,9897
1577603705,10011,10011
1577605505,10044,10044
1577606405,10063,10063
1577607305,10098,10098
1577609104,10158,10158
1577610004,10126,10126
1577610905,10127,10127
1577612704,10177,10177
1577613604,10126,10126
1577614505,10061,10061
1577616304,10120,10120
1577618105,10181,10181
1577619904,9962,9962
1577620804,9927,9927
1577621705,9900,9900
1577623505,9993,9993
1577624404,10038,10038
1577626204,10142,10142
1577628005,10160,10160
1577628904,10158,10158
1577630704,10090,10090
1577631604,10064,10064
1577632505,10609,10609
1577634304,9787,9787
1577635205,9651,9651
1577637005,9207,9207
1577638805,8777,8777
1577639704,8739,8739
1577641504,8650,8650
1577642405,8604,8604
1577644204,8357,8357
1577646004,8477,8477
1577647805,8787,8787
1577649604,8948,8948
1577651405,9070,9070
1577653205,9093,9093
1577654104,9110,9110
1577655904,9105,9105
1577656805,9182,9182
1577657705,9273,9273
1577659505,9324,9324
1577660404,9247,9247
1577662204,9363,9363
1577664004,9294,9294
1577664905,9015,9015
1577666704,6724,6724
1577667605,5496,5496
1577668505,4278,4278
