DateTime,AddedIPs,RemovedIPs
1575664232,23,22
1575671427,21,21
1575674426,20,19
1575681625,18,18
1575686427,23,23
1575691226,24,23
1575694826,22,24
1575698426,20,20
1575702025,23,22
1575705626,23,23
1575709226,22,21
1575712826,21,22
1575716425,22,24
1575720026,23,22
1575727827,18,21
1575732626,20,18
1575735625,18,20
1575739827,22,20
1575747025,22,21
1575750627,20,20
1575754225,23,23
1575757826,25,23
1575761425,23,24
1575765026,21,23
1575768625,23,22
1575772826,24,23
1575777627,21,23
1575784827,19,18
1575789027,23,22
1575794427,24,25
1575799826,20,19
1575804628,24,23
1575808826,23,23
1575812425,22,23
1575818427,24,24
1575822627,20,22
1575826827,23,21
1575830425,23,22
1575835226,23,23
1575838825,20,21
1575843027,23,23
1575847827,22,22
1575851424,21,22
1575855026,21,21
1575858626,22,21
1575865826,20,21
1575869424,18,19
1575876626,21,20
1575880225,18,18
1575883827,22,21
1575891025,21,22
1575894626,25,24
1575898225,20,22
1575901826,22,22
1575905425,22,22
1575910227,24,21
1575914427,23,23
1575918026,24,25
1575925225,21,22
1575928827,23,23
1575933027,24,22
1575941427,21,22
1575945631,22,23
1575951027,20,21
1575956427,22,21
1575962427,21,22
1575967227,21,21
1575970826,23,21
1575977431,23,23
1575981627,24,24
1575987027,22,22
1575992427,20,21
1575997227,23,23
1576001427,22,22
1576007427,23,21
1576012228,22,23
1576017627,23,22
1576021225,23,24
1576026627,22,22
1576032628,20,22
1576042827,23,20
1576054228,23,23
1576059628,23,23
1576065026,24,25
1576069830,24,25
1576075227,21,21
1576085427,20,19
1576089025,24,23
1576093827,23,24
1576098626,23,23
1576102225,21,22
1576105229,24,22
1576112425,19,21
1576117227,21,22
1576126826,23,21
1576130425,18,23
1576134028,19,17
1576146625,22,20
1576150228,17,15
1576153825,22,23
1576157427,21,20
1576161025,19,21
1576168225,21,22
1576171827,22,21
1576174825,23,22
1576182025,19,22
1576185626,22,20
1576193426,22,20
1576197626,20,22
1576202426,19,20
1576209625,21,21
1576213227,23,21
1576217427,22,23
1576222227,21,20
1576226427,23,23
1576230025,22,23
1576233627,22,23
1576236625,19,21
1576240226,23,21
1576243825,21,21
1576247426,21,22
1576252227,20,19
1576256427,22,22
1576260025,24,22
1576263627,22,24
1576267226,23,22
1576274425,23,22
1576278027,21,22
1576281628,18,22
1576288825,17,13
1576296027,18,17
1576300226,21,23
1576305628,21,20
1576311027,23,23
1576316427,22,22
1576320026,24,23
1576323027,23,22
1576330225,22,23
1576333826,21,22
1576337426,21,21
1576341040,21,22
1576344625,18,20
1576348226,18,17
1576352427,20,18
1576357227,20,20
1576364426,20,19
1576367427,22,22
1576371627,22,23
1576375232,22,21
1576378225,19,23
1576381226,20,19
1576385427,20,19
1576393827,22,20
1576398639,20,22
1576405826,22,20
1576412429,20,22
1576416026,20,19
1576419626,21,20
1576423226,21,21
1576426826,19,20
1576431028,21,20
1576437627,16,17
1576445429,20,19
1576449027,22,23
1576452025,22,20
1576456234,21,25
1576459825,20,20
1576463428,24,21
1576467628,21,24
1576473037,22,20
1576476028,23,23
1576479626,23,23
1576486825,15,17
1576491027,23,21
1576497028,25,24
1576501826,18,21
1576506627,23,19
1576510225,21,24
1576513827,20,21
1576516826,23,20
1576520426,21,23
1576525827,21,20
1576533026,21,19
1576537227,19,23
1576541427,22,20
1576546829,22,21
1576550426,23,22
1576555827,19,20
1576558826,24,24
1576562427,23,24
1576566628,22,20
1576570827,20,23
1576575027,22,20
1576578626,21,22
1576582230,20,23
1576585826,20,19
1576590027,21,18
1576595427,20,21
1576600827,21,23
1576606227,22,20
1576609825,22,21
1576614027,23,24
1576618827,21,23
1576623627,21,19
1576627226,20,21
1576631427,24,23
1576637427,24,22
1576642829,20,23
1576647627,23,22
1576652427,24,23
1576656025,23,23
1576659627,23,22
1576663226,21,23
1576670425,20,20
1576675827,21,22
1576679426,21,21
1576683027,22,21
1576686626,21,20
1576690236,22,22
1576696825,18,20
1576704025,18,17
1576711825,18,19
1576715426,22,21
1576719025,21,23
1576722627,19,18
1576726225,21,21
1576729826,21,21
1576732824,23,20
1576737027,23,23
1576742427,22,23
1576746627,22,22
1576752027,20,22
