DateTime,AddedIPs,RemovedIPs
1577570522,2,0
1577571122,1,0
1577571722,3,4
1577572321,3,20
1577572922,2,0
1577573522,2,1
1577574122,1,0
1577575322,1,6
1577575922,5,3
1577576522,0,3
1577577122,1,2
1577577723,0,1
1577578322,1,0
1577578922,1,0
1577579522,2,0
1577580722,1,4
1577581922,2,0
1577582522,1,0
1577583122,3,0
1577583722,1,0
1577585310,0,1
1577587322,1,0
1577587922,0,6
1577588523,2,0
1577589122,6,1
1577590922,0,1
1577591522,1,2
1577592122,2,1
1577592722,10,2
1577593322,1,1
1577595122,0,3
1577596322,1,1
1577596922,2,0
1577597522,3,4
1577598122,2,6
1577598722,2,0
1577599322,2,6
1577600522,0,1
1577601722,1,0
1577602322,2,26
1577604722,0,2
1577605322,2,0
1577606522,2,12
1577607122,1,2
1577608322,0,2
1577608922,3,1
1577609522,3,2
1577610122,4,0
1577610722,0,2
1577611322,2,0
1577611922,2,3
1577612522,1,0
1577613122,2,3
1577613722,1,0
1577614322,1,1
1577614922,0,55
1577615523,0,1
1577616122,3,1
1577616722,7,0
1577617322,0,3
1577619122,1,0
1577619722,1,2
1577620922,1,0
1577621522,3,1
1577622122,0,9
1577622722,1,0
1577623322,0,1
1577623922,1,2
1577624522,3,2
1577625122,1,0
1577625722,2,1
1577626922,1,0
1577628122,2,0
1577629323,3,7
1577629922,3,1
1577630522,2,0
1577631122,1,1
1577631722,1,1
1577632322,1,0
1577632922,3,2
1577633522,3,0
1577634122,1,0
1577634722,1,2
1577635322,1,5
1577635922,1,0
1577636522,1,1
1577637121,2,0
1577637722,0,3
1577638322,1,2
1577638922,1,0
1577639522,6,3
1577640123,3,0
1577641322,0,14
1577642522,2,4
1577643122,2,1
1577643722,3,2
1577644922,1,10
1577646122,0,2
1577647322,1,0
1577648522,1,3
1577649722,3,1
1577650922,2,3
1577651522,5,2
1577652122,3,0
1577653322,0,4
1577654522,9,0
1577655122,1,2
1577656322,2,2
1577656923,0,1
1577658122,1,2
1577659322,3,2
1577659922,0,2
1577660522,2,0
1577661122,1,1
1577661722,2,3
1577662322,1,2
1577662922,4,1
1577663522,1,14
1577664123,3,0
1577665322,3,11
1577666522,2,2
1577667122,1,0
1577667722,3,1
1577669522,1,1
1577670122,2,0
1577671322,1,1
1577671922,0,1
1577673122,1,2
1577673722,3,0
1577674922,1,3
1577675522,0,8
1577676122,0,1
1577677321,4,1
1577677922,4,0
1577678522,1,1
1577679722,0,23
1577680323,17,0
1577680922,0,3
1577681522,10,0
1577682122,0,1
1577683321,2,3
1577683923,3,0
1577684522,1,1
1577685722,4,0
1577686922,1,6
1577687522,3,2
1577688122,2,0
1577688722,2,10
1577689922,4,31
1577690522,1,0
1577691722,0,1
1577692921,1,2
1577693522,0,7
1577694123,2,0
1577694722,0,1
1577695321,0,2
1577696523,1,0
1577698322,2,0
1577698922,1,2
1577699522,1,0
1577700122,1,0
1577700722,0,4
1577701322,1,1
1577701922,1,0
1577702522,4,1
1577703122,2,0
1577704922,0,3
1577705522,0,3
1577706122,4,0
1577707322,4,1
1577707921,0,1
1577708522,1,2
1577709122,7,0
1577709722,3,2
1577710322,5,0
1577710922,1,1
1577711522,0,2
1577712122,1,0
1577713323,1,0
1577713923,7,1
1577714522,1,0
1577715122,1,2
1577715722,1,0
1577716322,1,1
1577716922,1,3
1577717522,2,0
1577718122,4,2
1577718723,2,0
1577719322,3,0
1577719922,1,0
1577721722,1,2
1577722922,1,9
1577723522,3,0
1577724122,1,0
1577724722,8,2
1577725322,3,0
1577725922,1,2
1577726522,1,1
1577727122,2,2
1577727722,1,6
1577728922,2,1
1577729522,0,2
1577730122,4,0
1577731322,1,17
1577731922,1,1
1577732522,1,0
1577733122,1,5
1577733723,3,16
1577735522,1,3
1577736722,2,2
1577737322,0,3
1577737922,3,22
1577738522,3,1
1577739722,4,0
1577740322,3,1
1577740922,2,1
1577742122,4,9
1577742722,7,0
1577743323,3,1
1577743923,3,2
1577745122,0,3
1577746922,5,2
1577747522,2,0
1577748122,1,0
1577748722,5,2
1577749322,0,2
1577750523,0,3
1577751722,3,0
1577752322,2,2
1577752922,0,8
1577753522,2,0
1577754121,0,5
1577754722,1,1
1577755322,2,0
1577755922,2,2
1577756522,3,0
1577757722,3,2
1577758922,1,4
1577760122,2,4
1577761322,0,1
1577762522,0,2
1577763122,0,3
1577763722,13,0
1577764322,6,2
1577764922,5,1
1577765523,1,0
1577766122,2,0
1577766722,2,3
1577767922,4,5
1577768522,2,0
1577769122,2,22
1577769722,1,0
1577770322,2,1
1577770922,5,1
1577771522,3,0
1577772722,2,0
1577773322,4,0
1577773922,3,0
1577774522,4,2
1577775122,0,1
1577775722,5,6
1577776322,2,1
1577778122,6,2
1577778722,0,4
1577779322,2,0
1577779922,1,2
1577780522,5,0
1577781122,1,3
1577781722,0,4
1577783523,1,35
1577784122,9,3
1577785322,2,0
1577786522,6,4
1577787122,7,0
1577787722,4,0
1577788322,7,0
1577788922,1,4
1577789522,7,2
1577790122,1,0
1577790722,2,0
1577791322,2,0
1577791923,1,4
1577792522,2,2
1577793122,3,0
1577793723,5,2
1577794922,4,6
1577795522,2,2
1577796722,5,5
1577797922,4,1
1577798522,0,2
1577799122,1,1
1577799722,6,3
1577800322,3,0
1577800923,9,1
1577802122,4,1
1577803322,5,3
1577803922,5,0
1577804522,7,7
1577805122,3,0
1577805722,1,2
1577806921,1,0
1577807522,4,3
1577808122,3,0
1577808722,1,0
