DateTime,AddedIPs,RemovedIPs
1577614322,80,80
1577614922,80,80
1577615523,80,80
1577616122,80,80
1577616722,79,79
1577617322,78,78
1577619122,80,80
1577619722,80,80
1577620922,80,80
1577621522,80,80
1577622122,31,31
1577622722,80,80
1577623322,80,80
1577623922,80,80
1577624522,80,80
1577625122,80,80
1577625722,80,80
1577626322,80,80
1577626922,80,80
1577627522,80,80
1577628122,80,80
1577629323,80,80
1577629922,79,79
1577630522,80,80
1577631122,80,80
1577631722,80,80
1577632322,80,80
1577632922,80,80
1577633522,80,80
1577634122,80,80
1577634722,80,80
1577635322,80,80
1577635922,80,80
1577636522,58,58
1577637121,79,79
1577637722,80,80
1577638322,80,80
1577638922,80,80
1577639522,80,80
1577640123,80,80
1577641322,80,80
1577642522,80,80
1577643122,80,80
1577643722,80,80
1577644922,80,80
1577646122,80,80
1577646722,80,80
1577647322,80,80
1577648522,80,80
1577649122,80,80
1577649722,80,80
1577650922,80,80
1577651522,80,80
1577652122,80,80
1577652722,80,80
1577653322,80,80
1577654522,78,78
1577655122,80,80
1577655722,80,80
1577656322,80,80
1577656923,80,80
1577658122,80,80
1577658722,80,80
1577659322,80,80
1577659922,80,80
1577660522,80,80
1577661122,80,80
1577661722,63,63
1577662322,34,34
1577662922,80,80
1577663522,80,80
1577664123,80,80
1577664722,80,80
1577665322,80,80
1577665922,80,80
1577666522,80,80
1577667122,80,80
1577667722,80,80
1577668322,28,28
1577668922,80,80
1577669522,80,80
1577670122,80,80
1577671322,80,80
1577671922,80,80
1577673122,80,80
1577673722,80,80
1577674922,80,80
1577675522,80,80
1577676122,80,80
1577676722,80,80
1577677321,75,75
1577677922,30,30
1577678522,80,80
1577679722,80,80
1577680323,80,80
1577680922,80,80
1577681522,80,80
1577682122,80,80
1577683321,80,80
1577683923,80,80
1577684522,80,80
1577685722,80,80
1577686922,80,80
1577687522,80,80
1577688122,80,80
1577688722,80,80
1577689922,79,79
1577690522,80,80
1577691722,80,80
1577692921,80,80
1577693522,80,80
1577694123,80,80
1577694722,80,80
1577695321,80,80
1577695922,80,80
1577696523,80,80
1577697122,80,80
1577697722,80,80
1577698322,80,80
1577698922,80,80
1577699522,80,80
1577700122,80,80
1577700722,80,80
1577701322,80,80
1577701922,80,80
1577702522,80,80
1577703122,80,80
1577703722,61,61
1577704922,80,80
1577705522,80,80
1577706122,80,80
1577707322,80,80
1577707921,80,80
1577708522,73,73
1577709122,80,80
1577709722,80,80
1577710322,80,80
1577710922,80,80
1577711522,80,80
1577712122,80,80
1577712722,80,80
1577713323,80,80
1577713923,75,75
1577714522,18,18
1577715122,80,80
1577715722,80,80
1577716322,80,80
1577716922,80,80
1577717522,27,27
1577718122,80,80
1577718723,80,80
1577719322,80,80
1577719922,80,80
1577720522,76,76
1577721722,76,76
1577722922,80,80
1577723522,80,80
1577724122,80,80
1577724722,80,80
1577725322,80,80
1577725922,80,80
1577726522,80,80
1577727122,80,80
1577727722,80,80
1577728322,80,80
1577728922,80,80
1577729522,80,80
1577730122,80,80
1577731322,80,80
1577731922,80,80
1577732522,80,80
1577733122,80,80
1577733723,80,80
1577734922,80,80
1577735522,77,77
1577736122,80,80
1577736722,80,80
1577737322,80,80
1577737922,80,80
1577738522,80,80
1577739122,80,80
1577739722,80,80
1577740322,80,80
1577740922,80,80
1577742122,80,80
1577742722,75,75
1577743323,80,80
1577743923,80,80
1577745122,80,80
1577745723,80,80
1577746922,80,80
1577747522,80,80
1577748122,80,80
1577748722,80,80
1577749322,80,80
1577749922,80,80
1577750523,80,80
1577751122,19,19
1577751722,22,22
1577752322,80,80
1577752922,80,80
1577753522,80,80
1577754121,80,80
1577754722,80,80
1577755322,80,80
1577755922,80,80
1577756522,80,80
1577757722,80,80
1577758922,80,80
1577760122,80,80
1577761322,80,80
1577762522,80,80
1577763122,80,80
1577763722,80,80
1577764322,80,80
1577764922,80,80
1577765523,80,80
1577766122,80,80
1577766722,80,80
1577767322,80,80
1577767922,80,80
1577768522,79,79
1577769122,17,17
1577769722,80,80
1577770322,80,80
1577770922,80,80
1577771522,80,80
1577772722,80,80
1577773322,79,79
1577773922,80,80
1577774522,80,80
1577775122,80,80
1577775722,80,80
1577776322,80,80
1577776921,80,80
1577778122,80,80
1577778722,80,80
1577779322,80,80
1577779922,80,80
1577780522,76,76
1577781122,80,80
1577781722,80,80
1577782322,80,80
1577783523,80,80
1577784122,80,80
1577785322,80,80
1577786522,79,79
1577787122,80,80
1577787722,80,80
1577788322,75,75
1577788922,25,25
1577789522,80,80
1577790122,80,80
1577790722,80,80
1577791322,80,80
1577791923,25,25
1577792522,80,80
1577793122,80,80
1577793723,80,80
1577794322,80,80
1577794922,80,80
1577795522,80,80
1577796123,80,80
1577796722,65,65
1577797322,71,71
1577797922,76,76
1577798522,80,80
1577799122,80,80
1577799722,80,80
1577800322,80,80
1577800923,80,80
1577802122,80,80
1577803322,80,80
1577803922,80,80
1577804522,80,80
1577805122,80,80
1577805722,79,79
1577806921,79,79
1577807522,80,80
1577808122,80,80
1577808722,70,70
1577809922,80,80
1577810522,80,80
1577811122,80,80
1577811722,80,80
1577812322,80,80
1577812922,80,80
1577814122,73,73
1577814723,78,78
1577815322,80,80
1577815922,80,80
1577816522,80,80
1577817123,80,80
1577817722,80,80
1577818322,15,15
1577818922,80,80
1577819522,80,80
1577820122,80,80
1577820722,80,80
1577821322,80,80
1577821922,80,80
1577823122,80,80
1577823722,80,80
1577824922,80,80
1577825522,80,80
1577826122,80,80
1577826722,80,80
1577827322,80,80
1577827922,80,80
1577828522,80,80
1577829122,80,80
1577829722,80,80
1577830322,80,80
1577830922,80,80
1577832122,80,80
1577832722,80,80
1577833322,80,80
1577833923,80,80
1577835122,80,80
1577835723,80,80
1577836322,80,80
1577837522,79,79
1577838122,80,80
1577838722,80,80
1577839322,80,80
1577839922,80,80
1577840522,80,80
1577841122,80,80
1577841723,80,80
1577842322,80,80
1577842922,80,80
1577843522,80,80
1577844122,80,80
1577844722,80,80
1577845322,80,80
1577845921,80,80
1577846522,80,80
1577847723,80,80
1577848322,80,80
1577848922,80,80
1577850122,80,80
1577850722,80,80
1577851322,80,80
1577851922,80,80
1577852522,80,80
1577853722,80,80
1577854322,79,79
1577854922,80,80
1577855522,80,80
1577856121,79,79
1577857322,80,80
1577857922,80,80
1577858522,80,80
1577859722,80,80
1577860322,80,80
1577860922,80,80
1577861522,80,80
1577862123,80,80
1577863322,80,80
1577863922,12,12
1577864522,80,80
1577865121,80,80
1577865722,80,80
1577866322,80,80
1577866922,80,80
1577867522,80,80
1577868122,80,80
1577868722,79,79
1577869322,80,80
1577869922,80,80
1577870522,80,80
1577871122,80,80
1577871722,80,80
1577872922,78,78
1577873522,79,79
1577874122,80,80
1577874722,80,80
1577875322,80,80
1577876522,80,80
1577877122,80,80
1577877722,76,76
1577878922,45,45
1577879522,80,80
1577880122,80,80
1577880722,80,80
1577881322,80,80
1577881922,80,80
1577882522,80,80
1577883722,80,80
1577884922,74,74
1577886122,79,79
1577887322,80,80
1577887922,80,80
1577888523,80,80
1577889122,80,80
1577889723,80,80
1577890922,80,80
1577891522,80,80
1577892722,80,80
1577893322,79,79
1577894522,80,80
1577895122,76,76
1577895722,80,80
1577896322,80,80
1577896922,80,80
1577897522,80,80
1577898122,80,80
1577898722,80,80
1577899922,80,80
1577900523,23,23
1577901122,80,80
1577901722,80,80
1577902322,80,80
1577902922,23,23
1577903522,79,79
1577904122,80,80
1577904722,80,80
1577905322,80,80
1577905922,26,26
1577906522,80,80
1577907122,80,80
1577907722,80,80
1577908322,79,79
1577908922,78,78
1577910122,80,80
1577910722,80,80
1577911322,80,80
1577912522,79,79
1577913122,80,80
1577913722,23,23
1577914322,18,18
1577914922,80,80
1577915522,80,80
1577916722,80,80
1577917322,80,80
1577917922,80,80
1577918522,80,80
1577919122,30,30
1577920322,80,80
1577920922,80,80
1577921522,80,80
1577922722,80,80
1577923323,21,21
1577923922,80,80
1577925122,80,80
1577925723,80,80
1577926322,80,80
1577926921,80,80
1577927522,80,80
1577928122,79,79
1577928722,80,80
1577929322,80,80
1577929922,80,80
1577930522,80,80
1577931122,80,80
1577932322,80,80
1577932922,80,80
1577933522,80,80
1577934122,80,80
1577934722,80,80
1577935322,80,80
1577935922,80,80
1577937122,79,79
1577937722,80,80
1577938322,80,80
1577938922,80,80
1577939523,80,80
1577940122,80,80
1577940722,80,80
1577941322,80,80
1577941922,79,79
1577943122,80,80
1577943722,29,29
1577944323,35,35
1577944923,80,80
1577946122,80,80
1577947322,78,78
1577948522,80,80
1577949122,80,80
1577949722,80,80
1577950322,80,80
1577950922,80,80
1577951523,80,80
1577952122,80,80
1577953322,80,80
1577953922,80,80
1577954522,80,80
1577955722,76,76
1577956323,69,69
1577957522,80,80
1577958122,80,80
1577958722,80,80
1577959322,80,80
1577959922,80,80
1577960522,80,80
1577961122,21,21
1577961722,16,16
1577962322,80,80
1577962922,80,80
1577963521,80,80
