DateTime,Entries,UniqueIPs
1577623922,2781,2833
1577624522,2785,2837
1577625122,2787,2840
1577625722,2786,2838
1577626322,2785,2837
1577626922,2782,2834
1577627522,2782,2834
1577628122,2792,2844
1577628722,2780,2832
1577629323,2778,2830
1577629922,2777,2829
1577630522,2779,2828
1577631122,2783,2832
1577631722,2779,2828
1577632322,2784,2833
1577632922,2782,2831
1577634122,2805,2854
1577634722,2806,2854
1577635322,2808,2856
1577636522,2794,2842
1577637722,2785,2831
1577638322,2796,2842
1577638922,2786,2832
1577639522,2792,2838
1577640123,2785,2829
1577640722,2786,2830
1577641322,2792,2836
1577641922,2787,2831
1577642522,2791,2835
1577643722,2793,2837
1577644322,2790,2834
1577644922,2795,2839
1577645522,2790,2834
1577646122,2776,2820
1577647321,2778,2822
1577647922,2772,2816
1577648522,2780,2824
1577649122,2766,2810
1577649721,2762,2807
1577650322,2767,2812
1577650922,2766,2811
1577651522,2760,2806
1577652122,2763,2809
1577652722,2768,2815
1577653322,2756,2801
1577654522,2764,2811
1577655122,2773,2820
1577655722,2777,2825
1577656322,2786,2835
1577656922,2778,2827
1577657522,2783,2831
1577658122,2786,2834
1577658721,2788,2836
1577659322,2788,2836
1577659922,2787,2835
1577660522,2795,2843
1577661121,2792,2840
1577661722,2791,2839
1577662322,2785,2835
1577662921,2783,2833
1577663522,2772,2822
1577664123,2776,2826
1577664722,2767,2817
1577665922,2767,2816
1577666522,2766,2815
1577667122,2757,2804
1577667722,2758,2804
1577668322,2760,2806
1577668922,2759,2804
1577669522,2764,2810
1577670122,2764,2810
1577670722,2762,2808
1577671322,2761,2807
1577671922,2760,2806
1577672522,2756,2802
1577673122,2755,2801
1577673722,2748,2794
1577674322,2754,2800
1577674922,2747,2793
1577675522,2742,2787
1577676122,2745,2790
1577676721,2752,2798
1577677321,2748,2794
1577678522,2746,2793
1577679722,2745,2793
1577680322,2768,2816
1577680922,2776,2824
1577681522,2773,2821
1577682121,2776,2825
1577682722,2761,2810
1577683321,2765,2814
1577683922,2768,2817
1577684522,2763,2812
1577685721,2758,2806
1577686322,2748,2798
1577686922,2742,2792
1577688122,2733,2783
1577688722,2713,2762
1577689922,2715,2763
1577690522,2722,2770
1577691122,2720,2768
1577692322,2713,2762
1577692921,2720,2769
1577693522,2712,2759
1577694722,2713,2758
1577695321,2710,2754
1577695922,2716,2762
1577696522,2715,2761
1577697122,2717,2763
1577697722,2717,2763
1577698322,2728,2774
1577698922,2707,2750
1577699522,2713,2759
1577700722,2706,2749
1577701322,2711,2754
1577701922,2709,2752
1577702522,2697,2741
1577703722,2707,2753
1577704322,2700,2746
1577705521,2693,2738
1577706122,2710,2755
1577707322,2697,2740
1577707921,2703,2746
1577708522,2715,2758
1577709122,2706,2748
1577709722,2703,2746
1577710322,2709,2752
1577710922,2703,2748
1577711522,2704,2749
1577712122,2701,2746
1577712722,2711,2756
1577713322,2706,2751
1577713922,2717,2762
1577714522,2723,2770
1577715122,2727,2776
1577715722,2739,2788
1577716322,2740,2789
1577716922,2745,2794
1577717522,2755,2804
1577718122,2747,2795
1577718722,2750,2799
1577719322,2751,2800
1577719922,2751,2802
1577720522,2749,2800
1577721122,2757,2808
1577721722,2754,2805
1577722321,2740,2792
1577722922,2746,2798
1577723522,2748,2800
1577724121,2762,2814
1577724722,2766,2818
1577725322,2766,2818
1577726522,2774,2827
1577727122,2778,2832
1577727722,2773,2829
1577728322,2781,2837
1577728922,2784,2840
1577729522,2783,2839
1577730122,2788,2844
1577731322,2781,2836
1577731922,2783,2839
1577732522,2787,2843
1577733122,2785,2841
1577733722,2792,2848
1577734322,2789,2844
1577734922,2797,2852
1577735522,2795,2851
1577736122,2794,2850
1577736722,2801,2857
1577737322,2806,2862
1577737922,2785,2841
1577738521,2774,2829
1577739122,2778,2834
1577739722,2766,2821
1577740322,2777,2833
1577740922,2778,2832
1577741522,2770,2825
1577742122,2785,2840
1577742722,2793,2847
1577743322,2795,2851
1577743923,2793,2851
1577744522,2806,2864
1577745122,2803,2862
1577745722,2806,2866
1577746322,2813,2873
1577746922,2808,2868
1577747521,2802,2862
1577748122,2803,2863
1577748722,2795,2854
1577749922,2801,2860
1577750523,2794,2852
1577751722,2792,2851
1577752321,2796,2856
1577752922,2790,2850
1577753522,2784,2844
1577754722,2786,2845
1577755922,2829,2888
1577756522,2824,2882
1577757121,2829,2887
1577757722,2840,2898
1577758322,2842,2900
1577758922,2843,2901
1577759521,2842,2899
1577760122,2845,2902
1577760722,2845,2902
1577761922,2856,2913
1577762522,2847,2907
1577763122,2855,2915
1577763722,2836,2895
1577764322,2848,2907
1577764922,2860,2919
1577765523,2861,2920
1577766121,2871,2930
1577766722,2845,2903
1577767322,2839,2897
1577767922,2840,2898
1577768521,2843,2901
1577769122,2855,2913
1577769722,2856,2915
1577770322,2858,2917
1577770922,2851,2909
1577771522,2856,2916
1577772722,2863,2924
1577773322,2861,2923
1577773922,2858,2919
1577774522,2854,2915
1577775122,2857,2918
1577776322,2851,2912
1577776921,2855,2917
1577777522,2858,2920
1577778122,2867,2929
1577778722,2872,2934
1577779322,2873,2935
1577779922,2873,2935
1577781122,2874,2937
1577781722,2876,2939
1577782322,2884,2948
1577782922,2891,2953
1577783523,2895,2957
1577784121,2896,2958
1577784722,2900,2963
1577786522,2898,2959
1577787122,2901,2962
1577787722,2893,2954
1577788322,2893,2954
1577788922,2898,2959
1577789522,2899,2960
1577790122,2907,2969
1577790722,2905,2966
1577791322,2910,2971
1577791922,2919,2980
1577792522,2906,2967
1577793723,2917,2978
1577794322,2909,2969
1577794922,2926,2985
1577796123,2936,2995
1577796722,2932,2991
1577797322,2927,2986
1577797922,2933,2992
1577798522,2929,2989
1577799122,2925,2984
1577799722,2919,2978
1577800322,2932,2991
1577800922,2921,2980
1577801522,2945,3002
1577802122,2949,3007
1577802721,2963,3021
1577803322,2956,3014
1577804522,2955,3014
1577805122,2964,3024
1577805722,2952,3012
1577806921,2954,3014
1577807522,2939,2999
1577808122,2940,3000
1577808721,2935,2995
1577809322,2930,2989
1577809922,2928,2987
1577810522,2925,2984
1577811122,2926,2985
1577811722,2929,2988
1577812321,2912,2970
1577812922,2915,2973
1577814121,2905,2962
1577814723,2913,2971
1577815322,2884,2942
1577815922,2892,2950
1577816522,2887,2945
1577817722,2877,2935
1577818322,2876,2935
1577818922,2878,2937
1577819522,2877,2936
1577820121,2871,2930
1577820721,2873,2932
1577821321,2863,2921
1577821922,2864,2922
1577822522,2869,2924
1577823121,2860,2914
1577823722,2865,2919
1577824322,2872,2926
1577825522,2876,2930
1577826122,2887,2941
1577826722,2869,2923
1577827322,2882,2938
1577827922,2883,2941
1577828522,2855,2914
1577829722,2855,2913
1577830322,2868,2927
1577830922,2862,2921
1577831522,2861,2920
1577832122,2880,2939
1577832722,2869,2928
1577833322,2875,2934
1577833922,2884,2943
1577834522,2899,2958
1577835122,2899,2955
1577836322,2914,2970
1577837522,2908,2964
1577838122,2917,2972
1577838722,2929,2984
1577839322,2937,2992
1577839922,2945,3000
1577840522,2954,3009
1577841122,2950,3002
1577841722,2963,3015
1577842322,2975,3028
1577842922,2943,2996
1577843522,2948,3001
1577844122,2937,2990
1577844722,2947,3000
1577845321,2952,3008
1577845921,2949,3005
1577846522,2957,3014
1577847722,2953,3014
1577848322,2966,3027
1577848922,2971,3032
1577849522,2960,3020
1577850122,2969,3030
1577850722,2959,3019
1577851922,2966,3027
1577852522,2954,3015
1577853121,2963,3024
1577853721,2961,3025
1577854322,2974,3038
1577854921,2972,3034
1577855522,2954,3015
