DateTime,AddedIPs,RemovedIPs
1577583722,1,0
1577584322,1,3
1577584759,0,3
1577587322,2,5
1577587922,1,3
1577588522,1,0
1577589122,0,2
1577589721,0,5
1577590322,1,0
1577590922,1,0
1577591522,0,3
1577592122,1,4
1577592722,3,2
1577593322,4,9
1577594522,2,0
1577595122,6,1
1577595722,0,4
1577596322,1,0
1577596922,1,5
1577597522,0,2
1577598122,2,1
1577599322,4,3
1577600522,3,24
1577601121,1,2
1577601722,2,1
1577602322,3,0
1577602922,3,4
1577603523,1,0
1577604122,1,3
1577604722,2,4
1577605922,1,5
1577606522,2,0
1577607122,0,1
1577607722,1,0
1577608321,1,0
1577608922,1,1
1577610122,2,2
1577610721,1,1
1577611322,1,0
1577611922,0,1
1577612522,0,1
1577613122,6,1
1577613722,1,2
1577614922,2,1
1577616122,5,2
1577617322,0,1
1577617922,3,0
1577618522,1,4
1577619722,6,5
1577620321,0,4
1577621522,2,0
1577622122,0,1
1577622722,2,0
1577623322,2,2
1577623922,1,0
1577624522,0,2
1577625122,2,0
1577625722,1,1
1577626322,0,3
1577627522,1,0
1577628122,0,5
1577628722,2,0
1577629323,1,0
1577631122,0,3
1577632322,2,2
1577632922,0,4
1577634122,15,0
1577634722,3,4
1577635322,1,3
1577636522,0,3
1577637722,2,2
1577638322,5,0
1577638922,1,3
1577639522,2,4
1577640123,3,1
1577640722,1,0
1577641322,1,0
1577641922,1,1
1577642522,0,1
1577643722,2,2
1577644322,1,1
1577644922,2,0
1577645522,0,1
1577646122,1,1
1577647321,1,0
1577647922,0,3
1577648522,3,3
1577649122,0,4
1577649721,2,6
1577650322,2,0
1577650922,1,2
1577651522,2,0
1577652722,3,0
1577653322,2,8
1577654522,2,1
1577655122,3,3
1577655722,2,0
1577656322,3,0
1577656922,5,4
1577657522,1,7
1577658122,2,0
1577659922,1,0
1577660522,3,3
1577661121,2,5
1577661722,1,2
1577662322,1,6
1577662921,2,1
1577663522,0,1
1577664722,3,2
1577665922,1,6
1577666522,1,0
1577667722,0,1
1577668322,0,1
1577668922,2,0
1577669522,0,5
1577670122,2,0
1577670722,0,5
1577671322,1,5
1577671922,0,3
1577673122,0,4
1577673722,1,14
1577674322,0,2
1577674922,0,5
1577676122,3,0
1577676721,2,0
1577677321,2,7
1577678522,2,9
1577679722,0,5
1577680322,28,0
1577680922,0,6
1577681522,2,0
1577682121,0,7
1577683321,1,1
1577683922,1,7
1577685721,3,10
1577686322,1,3
1577686922,1,2
1577688122,1,10
1577688722,0,6
1577689922,4,2
1577690522,1,9
1577691122,0,2
1577692322,3,10
1577692921,5,0
1577693522,3,2
1577694722,1,5
1577695321,1,0
1577695922,2,1
1577696522,1,2
1577697722,1,5
1577698322,2,0
1577698922,1,2
1577699522,2,3
1577700722,2,0
1577701322,1,0
1577701922,1,2
1577702522,2,7
1577703722,1,0
1577704322,1,5
1577705521,1,6
1577706122,1,0
1577707322,0,7
1577707921,2,0
1577708522,3,3
1577709122,0,4
1577709722,1,2
1577710322,1,0
1577710922,0,7
1577711522,3,0
1577712122,0,3
1577712722,2,1
1577713322,0,5
1577713922,1,0
1577714522,1,1
1577715122,1,2
1577715722,5,1
1577716322,1,1
1577716922,3,2
1577717522,4,0
1577718722,1,5
1577719322,1,0
1577719922,2,0
1577720522,4,2
1577721122,1,7
1577721722,2,10
1577722321,0,2
1577722922,4,0
1577723522,2,1
1577724121,3,0
1577724722,4,2
1577726522,2,2
1577727122,3,1
1577728322,1,1
1577728922,0,1
1577729522,2,3
1577730122,0,1
1577731322,2,2
1577731922,2,1
1577732522,1,2
1577733122,1,2
1577734322,0,4
1577734922,4,0
1577735522,1,2
1577736122,3,3
1577736722,1,1
1577737322,1,0
1577737922,0,1
1577738521,1,0
