DateTime,AddedIPs,RemovedIPs
1577630522,13,13
1577631122,43,43
1577631722,41,41
1577632322,65,65
1577632922,19,19
1577634122,98,98
1577634722,35,35
1577635322,61,61
1577636522,95,95
1577637722,87,87
1577638322,58,58
1577638922,36,36
1577639522,54,54
1577640123,48,48
1577640722,24,24
1577641322,71,71
1577641922,78,78
1577642522,58,58
1577643722,90,90
1577644322,44,44
1577644922,78,78
1577645522,25,25
1577646122,48,48
1577646722,9,9
1577647321,66,66
1577647922,15,15
1577648522,92,92
1577649122,41,41
1577649721,51,51
1577650322,25,25
1577650922,20,20
1577651522,67,67
1577652122,53,53
1577652722,84,84
1577653322,74,74
1577654522,95,95
1577655122,78,78
1577655722,65,65
1577656322,61,61
1577656922,39,39
1577657522,80,80
1577658122,70,70
1577658721,78,78
1577659322,82,82
1577659922,42,42
1577660522,58,58
1577661121,65,65
1577661722,28,28
1577662322,57,57
1577662921,75,75
1577663522,56,56
1577664123,44,44
1577664722,72,72
1577665922,94,94
1577666522,52,52
1577667122,56,56
1577667722,19,19
1577668322,16,16
1577668922,39,39
1577669522,75,75
1577670122,27,27
1577670722,28,28
1577671322,53,53
1577671922,29,29
1577672522,22,22
1577673122,24,24
1577673722,16,16
1577674322,49,49
1577674922,13,13
1577675522,8,8
1577676122,70,70
1577676721,61,61
1577677321,25,25
1577678522,100,100
1577679722,70,70
1577680322,61,61
1577680922,66,66
1577681522,70,70
1577682121,59,59
1577682722,33,33
1577683321,56,56
1577683922,22,22
1577684522,57,57
1577685721,98,98
1577686322,52,52
1577686922,60,60
1577688122,60,60
1577688722,58,58
1577689922,98,98
1577690522,71,71
1577691122,54,54
1577692322,86,86
1577692921,50,50
1577693522,48,48
1577694722,94,94
1577695321,27,27
1577695922,66,66
1577696522,21,21
1577697122,51,51
1577697722,41,41
1577698322,51,51
1577698922,34,34
1577699522,75,75
1577700722,88,88
1577701322,49,49
1577701922,69,69
1577702522,82,82
1577703722,100,100
1577704322,60,60
1577705521,100,100
1577706122,87,87
1577707322,87,87
1577707921,65,65
1577708522,46,46
1577709122,22,22
1577709722,33,33
1577710322,85,85
1577710922,68,68
1577711522,72,72
1577712122,66,66
1577712722,77,77
1577713322,11,11
1577713922,68,68
1577714522,76,76
1577715122,50,50
1577715722,62,62
1577716322,14,14
1577716922,90,90
1577717522,67,67
1577718122,97,97
1577718722,31,31
1577719322,94,94
1577719922,81,81
1577720522,53,53
1577721122,83,83
1577721722,58,58
1577722321,44,44
1577722922,54,54
1577723522,80,80
1577724121,68,68
1577724722,70,70
1577725322,55,55
1577726522,99,99
1577727122,64,64
1577727722,56,56
1577728322,54,54
1577728922,79,79
1577729522,73,73
1577730122,55,55
1577731322,96,96
1577731922,75,75
1577732522,41,41
1577733122,31,31
1577733722,69,69
1577734322,48,48
1577734922,61,61
1577735522,90,90
1577736122,27,27
1577736722,58,58
1577737322,72,72
1577737922,17,17
1577738521,17,17
1577739122,60,60
1577739722,12,12
1577740322,84,84
1577740922,78,78
1577741522,61,61
1577742122,93,93
1577742722,75,75
1577743322,78,78
1577743923,79,79
1577744522,73,73
1577745122,59,59
1577745722,64,64
1577746322,95,95
1577746922,51,51
1577747521,56,56
1577748122,42,42
1577748722,75,75
1577749922,99,99
1577750523,63,63
1577751122,11,11
1577751722,82,82
1577752321,61,61
