DateTime,AddedIPs,RemovedIPs
1575855902,161,0
1575859502,213,0
1575867602,398,0
1575871202,194,0
1575874802,179,0
1575878403,208,0
1575882002,169,0
1575885602,231,0
1575889202,199,0
1575892802,212,0
1575900003,326,0
1575903602,175,0
1575907202,170,0
1575910802,167,0
1575918003,330,0
1575922502,184,0
1575926102,139,0
1575933302,346,0
1575936901,115,3687
1575940502,173,0
1575945002,239,0
1575948602,178,0
1575955802,315,0
1575959402,212,0
1575963002,225,0
1575967502,250,0
1575971102,188,0
1575978302,449,0
1575985502,412,0
1575989101,200,0
1575992702,184,0
1575996302,186,0
1575999902,159,0
1576003502,134,0
1576011602,323,0
1576015203,134,0
1576018802,140,0
1576022402,136,4199
1576026002,186,0
1576029602,184,0
1576030502,38,0
1576034102,164,0
1576041302,332,0
1576046702,258,0
1576053902,382,0
1576061102,394,0
1576064701,174,0
1576068302,213,0
1576071902,180,0
1576075502,180,0
1576079101,185,0
1576082702,150,0
1576090802,357,0
1576094402,139,0
1576098002,129,0
1576101602,129,0
1576105203,122,0
1576108803,115,4207
1576112401,153,0
1576116002,175,0
1576117802,82,0
1576121402,166,0
1576125002,172,0
1576128601,156,0
1576132202,179,0
1576134002,105,0
1576141202,398,0
1576148403,406,0
1576152003,209,0
1576155602,175,0
1576163702,408,0
1576167301,184,19
1576174502,317,0
1576178102,174,0
1576181702,125,0
1576185302,123,0
1576188902,133,0
1576192502,115,0
1576196102,116,4044
1576200602,197,0
1576204202,151,0
1576207802,156,0
1576215002,283,0
1576218602,151,0
1576222202,165,0
1576225802,172,0
1576229402,156,0
1576233002,161,0
1576236602,173,0
1576241102,231,0
1576244702,183,0
1576251902,282,0
1576255502,148,0
1576262702,382,5
1576266302,160,0
1576269902,148,0
1576273502,172,0
1576278002,184,0
1576281603,159,4102
1576285203,170,0
1576288802,164,0
1576292402,168,0
1576296002,155,0
1576299602,160,0
1576306802,296,0
1576310403,151,0
1576314002,145,0
1576317602,152,0
1576322102,191,0
1576325702,173,0
1576329302,138,0
1576332902,142,0
1576340102,283,0
1576343702,124,0
1576347302,178,0
1576350902,139,0
1576354502,129,0
1576358102,140,0
1576365303,287,0
1576368902,130,3854
1576373402,228,0
1576377002,207,0
1576384202,253,0
1576387802,124,0
1576391402,120,0
1576395902,134,0
1576399501,129,0
1576403102,162,0
1576406702,111,0
1576410302,124,0
1576413902,115,0
1576417502,104,0
1576421102,130,0
1576428302,239,0
1576435502,240,0
1576439102,115,0
1576442702,114,0
1576447202,156,0
1576450802,114,0
1576454402,142,3641
1576458003,121,0
1576461602,271,0
1576465203,182,0
1576468802,179,0
1576472402,132,0
1576476002,148,0
1576479602,204,0
1576486803,418,0
1576494002,334,0
1576497602,157,0
1576502102,202,0
1576505702,175,0
1576512902,291,0
1576516502,180,0
1576520101,128,0
1576523701,133,0
1576530902,288,0
1576534502,137,0
1576541702,240,3203
1576545302,121,0
1576548902,172,0
1576552502,209,0
1576556102,192,0
1576559702,165,0
1576563302,181,0
1576566902,183,0
1576570502,177,0
1576574102,164,0
1576577702,190,0
1576581302,188,0
1576584902,202,0
1576588502,147,0
1576592102,156,0
1576595702,164,0
1576599302,140,0
1576602902,127,0
1576606502,167,0
1576610102,167,0
1576613701,174,0
1576617301,200,0
1576620902,204,0
1576624502,170,0
1576628102,157,3730
1576631702,238,0
1576635302,230,0
1576638902,203,0
1576642502,195,0
1576646101,168,0
1576649702,216,0
1576653302,200,0
1576656902,175,0
1576660502,181,0
1576664102,158,0
1576667702,184,0
1576671302,157,0
1576674902,158,0
1576678502,160,0
1576682102,201,0
1576685702,153,0
1576689302,163,0
1576692902,111,0
1576696502,155,0
1576700102,131,0
1576703702,130,0
1576707302,152,0
1576710902,131,0
1576714502,132,4008
1576718102,162,0
1576721702,194,0
1576725302,152,0
1576728902,172,0
1576732502,174,0
1576736102,194,0
1576739702,205,0
1576743302,173,0
1576746902,184,0
1576750501,204,0
1576754102,165,0
1576757702,154,0
1576761302,213,0
1576764902,176,0
1576768502,142,0
1576772102,128,0
1576775702,152,0
1576779302,139,0
1576782901,108,0
1576786502,126,0
1576790102,108,0
1576793702,94,0
1576797302,111,0
1576800901,78,4081
1576804502,165,0
1576808102,172,0
1576811702,160,0
