DateTime,AddedIPs,RemovedIPs
1575702152,1,3
1575709353,0,2
1575712952,0,2
1575716551,1,0
1575720151,2,0
1575723752,2,1
1575727353,2,0
1575738213,1,1
1575741754,3,1
1575745413,1,2
1575748952,2,1
1575752612,1,4
1575756152,2,2
1575759813,1,2
1575763352,0,1
1575770612,0,1
1575777752,1,2
1575781412,1,1
1575785012,1,1
1575788552,0,1
1575792153,0,1
1575799353,1,2
1575806552,1,2
1575810212,0,1
1575813753,1,1
1575817413,2,0
1575820953,2,1
1575824553,0,1
1575828213,1,1
1575831753,2,0
1575835413,2,1
1575838953,2,0
1575842613,0,1
1575846213,0,2
1575860613,0,1
1575864153,1,0
1575867754,1,1
1575871353,1,2
1575878614,3,1
1575882213,1,0
1575885813,1,1
1575889353,1,1
1575896614,1,0
1575903754,2,1
1575907355,1,0
1575910954,2,2
1575918214,0,2
1575921755,1,0
1575925354,1,1
1575928954,2,1
1575936214,0,1
1575939755,2,0
1575947014,0,1
1575954154,1,1
1575957815,3,1
1575961354,1,0
1575964954,0,2
1575968555,1,0
1575979355,1,0
1575982955,0,3
1575986555,1,3
1575990155,1,2
1575993755,0,3
1576001015,1,1
1576004615,0,1
1576008215,1,2
1576011756,3,0
1576015356,1,2
1576019016,1,1
1576022615,0,4
1576026156,1,4
1576036955,0,2
1576038876,2,1
1576044156,1,3
1576047816,1,4
1576051356,0,1
1576055017,1,6
1576058617,1,0
1576065756,0,1
1576069417,2,0
1576073016,1,0
1576076557,2,1
1576083757,1,2
1576090958,2,0
1576098158,2,1
1576101757,1,1
1576105356,1,2
1576108957,2,1
1576112557,3,1
1576116157,1,0
1576119756,1,1
1576123417,0,1
1576127018,1,1
1576130617,2,3
1576134157,2,1
1576144958,2,1
1576155757,1,0
1576159417,0,2
1576163017,2,2
1576166558,3,0
1576170218,1,0
1576173757,7,1
1576177357,8,1
1576181018,1,0
1576184618,0,2
1576191758,2,0
1576195418,1,1
1576198958,1,0
1576202558,0,3
1576206158,1,1
1576212278,3,1
1576216959,4,3
1576220558,0,2
1576227820,1,3
1576231358,0,2
1576238559,2,0
1576242218,3,4
1576245759,3,1
1576249419,1,2
1576252959,1,1
1576256561,1,1
1576260159,2,3
1576263760,1,1
1576267361,2,0
1576271019,0,2
1576274559,2,1
1576278160,2,2
1576281760,0,1
1576299759,1,0
1576303359,3,3
1576314160,1,1
1576317760,1,2
1576321359,1,2
1576324959,3,1
1576328619,3,2
1576332220,2,0
1576335760,4,1
1576339360,0,2
1576342960,4,1
1576350160,2,2
1576353760,0,1
1576360960,0,1
1576371820,1,3
1576382620,1,1
1576386221,1,0
1576389760,4,3
1576400560,1,1
1576404160,1,1
1576407762,2,2
1576411421,1,2
1576418620,3,1
1576422161,1,1
1576425821,0,1
1576429421,1,3
1576432961,1,1
1576436561,1,2
1576440221,3,2
1576447421,2,3
1576451021,1,1
1576454621,1,2
1576458221,1,0
1576461761,1,0
1576465362,0,1
1576469021,1,2
1576476161,0,2
1576479761,1,1
1576483421,2,1
1576487021,1,2
1576490561,0,2
1576501361,2,2
1576505022,1,1
1576508623,1,1
1576512163,1,1
1576519423,1,1
1576522962,1,1
1576526622,2,1
1576530163,9,2
1576533763,0,1
1576537363,0,1
1576540963,3,4
1576544562,1,3
1576548162,0,1
1576555424,1,1
1576558962,1,2
1576562563,1,2
1576566163,0,3
1576569763,2,1
1576573363,1,0
1576577023,1,2
1576584164,0,2
1576587763,2,2
1576591363,1,0
1576595083,0,5
1576602165,0,1
1576605825,0,1
1576609424,1,2
1576612964,1,0
1576620163,2,1
1576623823,5,2
1576627363,3,0
1576630964,1,0
1576638165,1,1
1576645365,1,1
1576649023,1,0
1576652564,2,1
1576656224,2,0
1576659764,3,0
1576667027,0,2
1576670565,0,1
1576674164,1,1
1576681364,1,1
1576685040,0,2
1576688564,1,0
1576692164,1,1
1576699364,1,2
1576702964,2,0
1576710164,0,1
1576713764,0,1
1576717366,1,0
1576720965,0,12
1576724564,1,0
1576728165,0,8
1576731764,1,1
1576735365,0,1
1576738965,2,2
1576742565,0,1
1576746225,2,0
1576753425,1,1
1576756966,2,4
1576760565,1,2
1576764165,1,3
1576767766,2,1
1576771425,2,0
1576775026,4,3
1576778566,0,1
1576782286,2,3
1576785766,0,1
1576793026,1,1
1576796626,2,0
1576800227,1,0
1576803766,1,4
1576814567,1,0
1576818167,3,2
1576821767,2,5
1576825366,0,1
1576829027,2,2
1576832627,0,1
1576839766,0,1
1576843366,1,2
1576846966,2,4
1576850566,0,1
1576854167,0,1
1576857767,0,1
1576864966,1,7
1576872167,7,0
1576875769,8,0
1576879367,1,1
1576882968,0,2
1576886567,0,1
1576890168,0,1
1576893767,2,0
1576901027,0,1
1576904567,1,3
1576908229,1,1
1576911828,9,1
1576918968,0,1
1576926167,0,2
1576929767,0,2
1576933368,1,2
1576940567,1,1
1576947828,2,3
1576951429,0,1
1576954968,2,1
1576958628,0,1
1576962168,1,1
1576965768,2,0
1576969368,2,0
1576972968,1,0
1576983768,1,0
1576987428,4,2
1576990968,1,0
1576994568,1,1
1576998168,1,2
1577012568,1,2
1577016168,1,2
1577019829,2,1
1577023428,1,1
1577030569,0,1
1577034169,2,0
1577037769,1,1
1577041369,1,0
1577044969,1,1
1577048629,2,3
1577052229,2,1
1577055769,1,1
1577062969,2,2
1577066569,2,1
1577070169,0,1
1577073769,1,1
1577077369,1,0
1577084569,2,0
1577088169,2,1
1577091769,1,0
1577095369,2,1
1577096449,3,1
1577102569,1,3
1577106169,1,0
1577113370,1,0
1577120631,0,1
1577124171,0,2
1577138570,1,2
1577142171,2,1
1577149371,2,0
1577156570,3,1
1577163770,2,2
1577171031,1,3
1577174570,1,2
1577178171,0,1
1577181772,2,3
1577188972,0,1
1577192571,1,1
1577199772,2,2
1577203431,1,0
1577206971,3,0
1577210571,3,0
1577214171,3,1
1577217832,1,0
1577221371,1,0
1577224971,1,2
1577232172,0,1
1577235771,0,1
1577239432,1,2
1577242972,2,1
1577246633,2,1
1577250171,1,1
1577253773,1,1
1577260971,0,1
1577264573,1,2
1577271772,0,2
1577275372,0,1
1577286172,2,0
1577289772,1,1
1577293372,2,2
1577300572,0,1
1577307772,1,2
1577318573,2,1
1577322172,3,3
1577325773,11,0
1577332972,2,1
1577336573,0,1
1577340174,2,2
1577343772,3,3
1577347374,1,1
1577354573,2,1
1577361774,2,0
1577365433,1,0
1577368973,2,1
1577372573,3,5
1577376173,0,4
1577379774,1,2
1577383374,2,0
1577386974,0,1
1577390573,1,2
1577394175,1,2
1577397773,2,1
1577401374,0,1
1577404974,2,1
1577408574,10,0
1577415775,0,1
1577419375,0,1
1577422974,1,1
1577426574,0,1
1577430235,8,3
1577433774,0,1
1577440974,0,2
1577444574,1,1
1577448175,0,1
1577455374,0,1
1577458975,8,2
1577462574,1,1
1577469774,1,0
1577473374,1,2
1577476974,1,0
1577480574,3,1
1577484175,3,2
1577487775,0,1
1577491375,1,1
1577494975,1,0
1577502235,2,2
1577505775,1,1
1577512975,1,1
1577516575,3,2
1577520235,4,2
1577523775,1,0
1577527375,1,2
1577534575,1,0
1577538175,1,0
1577541775,1,0
1577548976,1,2
1577552575,0,1
1577556235,1,0
1577559775,2,1
1577563375,1,2
1577566976,1,1
1577570576,1,1
1577574178,0,2
1577577776,2,2
1577581376,3,0
1577585036,2,1
1577592176,0,1
1577595776,1,1
1577599376,1,0
1577602976,4,4
1577606576,2,2
1577610176,1,2
1577617376,1,1
1577620976,2,0
1577624576,0,5
1577628176,1,0
1577631777,1,1
1577635377,2,2
1577638977,3,1
1577642577,1,1
1577646177,1,1
1577649777,3,2
1577653377,2,1
1577656977,2,1
1577664177,0,2
1577667777,3,0
1577671377,2,3
1577674977,2,0
1577682178,2,2
1577689377,1,2
1577692977,3,1
1577696578,0,3
1577700177,1,1
1577703837,1,2
1577707378,0,2
1577710978,1,3
1577714578,1,2
1577718178,1,1
1577721778,2,3
1577725378,1,3
1577728978,2,1
1577732578,2,3
1577736178,1,1
1577739778,2,2
1577743378,1,0
1577746978,0,2
1577750578,6,4
1577750938,0,1
1577754178,1,1
1577761378,1,1
1577764979,1,1
1577768578,1,2
1577772179,0,1
1577775780,1,9
1577779380,1,2
1577782982,1,2
1577786578,13,0
1577790179,2,0
1577793779,1,1
1577797380,1,3
1577800980,1,0
1577804579,0,6
1577808179,4,0
1577811779,2,2
1577815380,1,1
1577818979,1,1
1577822579,2,1
1577829779,2,1
1577833380,2,2
1577836980,0,1
1577840579,1,0
1577844180,11,1
1577847779,2,0
1577854981,1,1
1577862180,2,3
1577865781,2,1
1577869381,2,1
1577876582,2,1
1577880182,1,2
1577883780,1,0
1577890980,0,1
1577894702,1,2
1577898182,0,1
1577901781,2,2
1577905382,1,2
1577908981,2,2
1577912582,8,1
1577916180,4,1
1577923382,3,1
1577926982,1,0
1577930582,0,1
1577934182,1,0
1577941382,1,2
1577945042,1,1
1577948582,2,3
1577952182,1,0
1577955782,0,1
