DateTime,Entries,UniqueIPs
1575702152,1014,1014
1575709353,1012,1012
1575712952,1010,1010
1575716551,1011,1011
1575720151,1013,1013
1575723752,1014,1014
1575727353,1016,1016
1575738213,1016,1016
1575741754,1018,1018
1575745413,1017,1017
1575748952,1018,1018
1575752612,1015,1015
1575756152,1015,1015
1575759813,1014,1014
1575763352,1013,1013
1575770612,1012,1012
1575777752,1011,1011
1575781412,1011,1011
1575785012,1011,1011
1575788552,1010,1010
1575792153,1009,1009
1575799353,1008,1008
1575806552,1007,1007
1575810212,1006,1006
1575813753,1006,1006
1575817413,1008,1008
1575820953,1009,1009
1575824553,1008,1008
1575828213,1008,1008
1575831753,1010,1010
1575835413,1011,1011
1575838953,1013,1013
1575842613,1012,1012
1575846213,1010,1010
1575860613,1009,1009
1575864153,1010,1010
1575867754,1010,1010
1575871353,1009,1009
1575878614,1011,1011
1575882213,1012,1012
1575885813,1012,1012
1575889353,1012,1012
1575896614,1013,1013
1575903754,1014,1014
1575907355,1015,1015
1575910954,1015,1015
1575918214,1013,1013
1575921755,1014,1014
1575925354,1014,1014
1575928954,1015,1015
1575936214,1014,1014
1575939755,1016,1016
1575947014,1015,1015
1575954154,1015,1015
1575957815,1017,1017
1575961354,1018,1018
1575964954,1016,1016
1575968555,1017,1017
1575979355,1018,1018
1575982955,1015,1015
1575986555,1013,1013
1575990155,1012,1012
1575993755,1009,1009
1576001015,1009,1009
1576004615,1008,1008
1576008215,1007,1007
1576011756,1010,1010
1576015356,1009,1009
1576019016,1009,1009
1576022615,1005,1005
1576026156,1002,1002
1576036955,1000,1000
1576038876,1001,1001
1576044156,999,999
1576047816,996,996
1576051356,995,995
1576055017,990,990
1576058617,991,991
1576065756,990,990
1576069417,992,992
1576073016,993,993
1576076557,994,994
1576083757,993,993
1576090958,995,995
1576098158,996,996
1576101757,996,996
1576105356,995,995
1576108957,996,996
1576112557,998,998
1576116157,999,999
1576119756,999,999
1576123417,998,998
1576127018,998,998
1576130617,997,997
1576134157,998,998
1576144958,999,999
1576155757,1000,1000
1576159417,998,998
1576163017,998,998
1576166558,1001,1001
1576170218,1002,1002
1576173757,1008,1008
1576177357,1015,1015
1576181018,1016,1016
1576184618,1014,1014
1576191758,1016,1016
1576195418,1016,1016
1576198958,1017,1017
1576202558,1014,1014
1576206158,1014,1014
1576212278,1016,1016
1576216959,1017,1017
1576220558,1015,1015
1576227820,1013,1013
1576231358,1011,1011
1576238559,1013,1013
1576242218,1012,1012
1576245759,1014,1014
1576249419,1013,1013
1576252959,1013,1013
1576256561,1013,1013
1576260159,1012,1012
1576263760,1012,1012
1576267361,1014,1014
1576271019,1012,1012
1576274559,1013,1013
1576278160,1013,1013
1576281760,1012,1012
1576299759,1013,1013
1576303359,1013,1013
1576314160,1013,1013
1576317760,1012,1012
1576321359,1011,1011
1576324959,1013,1013
1576328619,1014,1014
1576332220,1016,1016
1576335760,1019,1019
1576339360,1017,1017
1576342960,1020,1020
1576350160,1020,1020
1576353760,1019,1019
1576360960,1018,1018
1576371820,1016,1016
1576382620,1016,1016
1576386221,1017,1017
1576389760,1018,1018
1576400560,1018,1018
1576404160,1018,1018
1576407762,1018,1018
1576411421,1017,1017
1576418620,1019,1019
1576422161,1019,1019
1576425821,1018,1018
1576429421,1016,1016
1576432961,1016,1016
1576436561,1015,1015
1576440221,1016,1016
1576447421,1015,1015
1576451021,1015,1015
1576454621,1014,1014
1576458221,1015,1015
1576461761,1016,1016
1576465362,1015,1015
1576469021,1014,1014
1576476161,1012,1012
1576479761,1012,1012
1576483421,1013,1013
1576487021,1012,1012
1576490561,1010,1010
1576501361,1010,1010
1576505022,1010,1010
1576508623,1010,1010
1576512163,1010,1010
1576519423,1010,1010
1576522962,1010,1010
1576526622,1011,1011
1576530163,1018,1018
1576533763,1017,1017
1576537363,1016,1016
1576540963,1015,1015
1576544562,1013,1013
1576548162,1012,1012
1576555424,1012,1012
1576558962,1011,1011
1576562563,1010,1010
1576566163,1007,1007
1576569763,1008,1008
1576573363,1009,1009
1576577023,1008,1008
1576584164,1006,1006
1576587763,1006,1006
1576591363,1007,1007
1576595083,1002,1002
1576602165,1001,1001
1576605825,1000,1000
1576609424,999,999
1576612964,1000,1000
1576620163,1001,1001
1576623823,1004,1004
1576627363,1007,1007
1576630964,1008,1008
